#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2073     80.000000     76.575599      7236.124386     18.222874     3535.602721     13.169465     2830.214969     11.823186     0.930488     0.930070     21.908689     118619.260117    1614.317892    557.109453     335.841315     2.998895    0.993169    78.387007    7068.908235     17.801770     3453.900192     12.865138     2764.812888     11.549970     0.930488     0.930070     22.426943    118619.260117    1614.317892     557.109453     335.841315    2.998895    0.993169
2074     70.000000     68.813056      7123.392637     15.377443     3479.293857     11.060715     2781.125957     9.923357     0.938329     0.930408     30.308873     105709.013394    1402.228849    493.183876     296.906120     3.001460    0.993067    68.628128    7142.587563     15.418879     3488.669200     11.090520     2788.620049     9.950097     0.938329     0.930408     30.227421    105709.013394    1402.228849     493.183876     296.906120    3.001460    0.993067
2087     55.000000     54.893871      7139.449028     20.342522     3520.437978     14.608884     2817.767991     13.114554     0.948847     0.953684     17.384675     83818.306674    1086.499006    394.911713     238.885163     2.999721    0.993197    54.807978    7150.637633     20.374402     3525.955082     14.631779     2822.183867     13.135106     0.948847     0.953684     17.357473    83818.306674    1086.499006     394.911713     238.885163    2.999721    0.993197
2088     45.000000     44.918842      7163.629763     19.952451     3551.903255     14.280112     2841.053247     12.816796     0.959026     0.957096     18.162161     69676.280485    871.457855    324.779484     196.335788     2.997531    0.992939    44.870856    7171.290697     19.973789     3555.701751     14.295383     2844.091505     12.830503     0.959026     0.957096     18.142759    69676.280485    871.457855     324.779484     196.335788    2.997531    0.992939
2089     35.000000     35.047344      7176.507399     19.791356     3585.184890     14.143649     2867.370765     12.692950     0.966675     0.972257     18.539938     54714.134813    669.024661    254.515649     154.777832     2.998127    0.993048    35.040767    7177.854338     19.795071     3585.857753     14.146304     2867.908905     12.695332     0.966675     0.972257     18.536459    54714.134813    669.024661     254.515649     154.777832    2.998127    0.993048
2090     20.000000     20.005491      7186.060515     21.835264     3599.263065     15.448477     2886.303815     13.881274     0.980184     0.982213     15.386316     31664.126798    372.232832    146.757663     89.706908     2.996991    0.993210    19.980355    7195.101073     21.862735     3603.791247     15.467912     2889.934978     13.898738     0.980184     0.982213     15.366984    31664.126798    372.232832     146.757663     89.706908    2.996991    0.993210
2091     10.000000     10.204768      7256.172627     23.333490     3667.207014     16.352568     2932.399873     14.671723     0.988959     0.989936     13.867090     16477.566633    189.077295    77.045609     47.787764     2.998050    0.993339    10.187847    7268.224213     23.372244     3673.297777     16.379728     2937.270226     14.696091     0.988959     0.989936     13.844097    16477.566633    189.077295     77.045609     47.787764    2.998050    0.993339
