p,q1,q2,q3,dipole,nmr
0.057,7.29199125,5.63754136,3.41497935,17.0688,0.0156048
0.058,7.42230868,5.74120393,3.46230053,17.3691,0.0158786
0.059,7.5526261,5.8448665,3.50975109,17.6695,0.0161523
0.06,7.68294353,5.94852906,3.55732268,17.9698,0.0164261
0.061,7.81326096,6.05219163,3.60500764,18.2702,0.0166999
0.062,7.94357838,6.1558542,3.65279897,18.5706,0.0169736
0.063,8.07389581,6.25951677,3.70069021,18.8711,0.0172474
0.064,8.20421324,6.36317934,3.74867541,19.1715,0.0175212
0.065,8.33453066,6.4668419,3.79674909,19.472,0.0177949
0.066,8.46484809,6.57050447,3.84490621,19.7726,0.0180687
0.067,8.59516552,6.67416704,3.89314206,20.0731,0.0183425
0.068,8.72548294,6.77782961,3.94145233,20.3737,0.0186162
0.069,8.85580037,6.88149217,3.98983298,20.6743,0.01889
0.07,8.9861178,6.98515474,4.03828026,20.9749,0.0191638
0.071,9.11643522,7.08881731,4.08679071,21.2756,0.0194376
0.072,9.24675265,7.19247988,4.13536108,21.5763,0.0197113
0.073,9.37707008,7.29614245,4.18398834,21.877,0.0199851
0.074,9.5073875,7.39980501,4.23266968,22.1777,0.0202589
0.075,9.63770493,7.50346758,4.28140245,22.4785,0.0205326
0.076,9.76802236,7.60713015,4.33018418,22.7793,0.0208064
0.077,9.89833978,7.71079272,4.37901256,23.0801,0.0210802
0.078,10.0286572,7.81445528,4.42788541,23.3809,0.0213539
0.079,10.1589746,7.91811785,4.47680071,23.6818,0.0216277
0.08,10.2892921,8.02178042,4.52575653,23.9827,0.0219015
0.081,10.4196095,8.12544299,4.57475106,24.2836,0.0221752
0.082,10.5499269,8.22910555,4.62378262,24.5845,0.022449
0.083,10.6802443,8.33276812,4.6728496,24.8855,0.0227228
0.084,10.8105618,8.43643069,4.7219505,25.1865,0.0229965
0.085,10.9408792,8.54009326,4.77108389,25.4875,0.0232703
0.086,11.0711966,8.64375583,4.82024843,25.7886,0.0235441
0.087,11.201514,8.74741839,4.86944284,26.0896,0.0238178
0.088,11.3318315,8.85108096,4.91866592,26.3907,0.0240916
0.089,11.4621489,8.95474353,4.96791653,26.6918,0.0243654
0.09,11.5924663,9.0584061,5.01719359,26.993,0.0246392
0.091,11.7227838,9.16206866,5.06649608,27.2941,0.0249129
0.092,11.8531012,9.26573123,5.11582302,27.5953,0.0251867
0.093,11.9834186,9.3693938,5.16517349,27.8965,0.0254605
0.094,12.113736,9.47305637,5.21454661,28.1978,0.0257343
0.095,12.2440535,9.57671894,5.26394155,28.4991,0.0260081
0.096,12.3743709,9.6803815,5.31335752,28.8004,0.0262818
0.097,12.5046883,9.78404407,5.36279376,29.1017,0.0265556
0.098,12.6350057,9.88770664,5.41224954,29.403,0.0268294
0.099,12.7653232,9.99136921,5.46172419,29.7044,0.0271031
0.1,12.8956406,10.0950318,5.51121704,30.0058,0.0273769
0.101,13.025958,10.1986943,5.56072748,30.3072,0.0276507
0.102,13.1562754,10.3023569,5.6102549,30.6086,0.0279244
0.103,13.2865929,10.4060195,5.65979875,30.9101,0.0281982
