p,q1,q2,q3,dipole,nmr
1.802,234.695901,186.528722,90.9941469,550.848,0.493331
1.803,234.826218,186.632385,91.0444069,551.156,0.493604
1.804,234.956536,186.736047,91.0946668,551.463,0.493878
1.805,235.086853,186.83971,91.1449268,551.771,0.494152
1.806,235.21717,186.943372,91.1951867,552.079,0.494426
1.807,235.347488,187.047035,91.2454467,552.387,0.4947
1.808,235.477805,187.150698,91.2957067,552.694,0.494973
1.809,235.608123,187.25436,91.3459666,553.002,0.495247
1.81,235.73844,187.358023,91.3962266,553.31,0.495521
1.811,235.868758,187.461685,91.4464865,553.618,0.495795
1.812,235.999075,187.565348,91.4967465,553.925,0.496068
1.813,236.129392,187.66901,91.5470065,554.233,0.496342
1.814,236.25971,187.772673,91.5972665,554.541,0.496616
1.815,236.390027,187.876335,91.6475264,554.849,0.49689
1.816,236.520345,187.979998,91.6977864,555.156,0.497163
1.817,236.650662,188.083661,91.7480464,555.464,0.497437
1.818,236.78098,188.187323,91.7983064,555.772,0.497711
1.819,236.911297,188.290986,91.8485663,556.08,0.497985
1.82,237.041614,188.394648,91.8988263,556.387,0.498258
1.821,237.171932,188.498311,91.9490863,556.695,0.498532
1.822,237.302249,188.601973,91.9993463,557.003,0.498806
1.823,237.432567,188.705636,92.0496063,557.311,0.49908
1.824,237.562884,188.809299,92.0998663,557.618,0.499354
1.825,237.693202,188.912961,92.1501263,557.926,0.499627
1.826,237.823519,189.016624,92.2003863,558.234,0.499901
1.827,237.953836,189.120286,92.2506463,558.542,0.500175
1.828,238.084154,189.223949,92.3009063,558.849,0.500449
1.829,238.214471,189.327611,92.3511663,559.157,0.500722
1.83,238.344789,189.431274,92.4014263,559.465,0.500996
1.831,238.475106,189.534937,92.4516863,559.773,0.50127
1.832,238.605424,189.638599,92.5019463,560.081,0.501544
1.833,238.735741,189.742262,92.5522063,560.388,0.501817
1.834,238.866058,189.845924,92.6024663,560.696,0.502091
1.835,238.996376,189.949587,92.6527263,561.004,0.502365
1.836,239.126693,190.053249,92.7029863,561.312,0.502639
1.837,239.257011,190.156912,92.7532464,561.62,0.502912
1.838,239.387328,190.260575,92.8035064,561.929,0.503187
1.839,239.517646,190.364237,92.8537664,562.237,0.503461
1.84,239.647963,190.4679,92.9040264,562.544,0.503735
1.841,239.77828,190.571562,92.9542864,562.852,0.504009
1.842,239.908598,190.675225,93.0045465,563.16,0.504283
1.843,240.038915,190.778887,93.0548065,563.468,0.504556
1.844,240.169233,190.88255,93.1050665,563.776,0.50483
1.845,240.29955,190.986213,93.1553265,564.083,0.505104
1.846,240.429868,191.089875,93.2055866,564.391,0.505378
1.847,240.560185,191.193538,93.2558466,564.699,0.505651
1.848,240.690502,191.2972,93.3061067,565.007,0.505925
1.849,240.82082,191.400863,93.3563667,565.315,0.506199
1.85,240.951137,191.504525,93.4066267,565.622,0.506473
1.851,241.081455,191.608188,93.4568868,565.93,0.506746
1.852,241.211772,191.711851,93.5071468,566.238,0.50702
1.853,241.34209,191.815513,93.5574069,566.546,0.507294
1.854,241.472407,191.919176,93.6076669,566.854,0.507568
1.855,241.602724,192.022838,93.657927,567.161,0.507841
1.856,241.733042,192.126501,93.708187,567.469,0.508115
1.857,241.863359,192.230163,93.7584471,567.777,0.508389
1.858,241.993677,192.333826,93.8087071,568.085,0.508663
1.859,242.123994,192.437488,93.8589672,568.393,0.508936
1.86,242.254312,192.541151,93.9092272,568.701,0.50921
1.861,242.384629,192.644814,93.9594873,569.008,0.509484
1.862,242.514946,192.748476,94.0097474,569.316,0.509758
1.863,242.645264,192.852139,94.0600074,569.624,0.510032
1.864,242.775581,192.955801,94.1102675,569.932,0.510305
1.865,242.905899,193.059464,94.1605276,570.24,0.510579
1.866,243.036216,193.163126,94.2107876,570.548,0.510853
1.867,243.166533,193.266789,94.2610477,570.855,0.511127
1.868,243.296851,193.370452,94.3113078,571.163,0.5114
1.869,243.427168,193.474114,94.3615678,571.471,0.511674
1.87,243.557486,193.577777,94.4118279,571.779,0.511948
1.871,243.687803,193.681439,94.462088,572.087,0.512222
1.872,243.818121,193.785102,94.5123481,572.395,0.512495
1.873,243.948438,193.888764,94.5626082,572.702,0.512769
1.874,244.078755,193.992427,94.6128682,573.01,0.513043
1.875,244.209073,194.09609,94.6631283,573.318,0.513317
1.876,244.33939,194.199752,94.7133884,573.626,0.51359
1.877,244.469708,194.303415,94.7636485,573.934,0.513864
1.878,244.600025,194.407077,94.8139086,574.242,0.514138
1.879,244.730343,194.51074,94.8641687,574.55,0.514412
1.88,244.86066,194.614402,94.9144288,574.857,0.514685
1.881,244.990977,194.718065,94.9646889,575.165,0.514959
1.882,245.121295,194.821728,95.014949,575.473,0.515233
1.883,245.251612,194.92539,95.0652091,575.781,0.515507
1.884,245.38193,195.029053,95.1154692,576.089,0.515781
1.885,245.512247,195.132715,95.1657293,576.397,0.516054
1.886,245.642565,195.236378,95.2159894,576.705,0.516328
1.887,245.772882,195.34004,95.2662495,577.013,0.516602
1.888,245.903199,195.443703,95.3165096,577.32,0.516876
1.889,246.033517,195.547366,95.3667697,577.628,0.517149
1.89,246.163834,195.651028,95.4170298,577.936,0.517423
1.891,246.294152,195.754691,95.4672899,578.244,0.517697
1.892,246.424469,195.858353,95.51755,578.552,0.517971
1.893,246.554787,195.962016,95.5678102,578.86,0.518244
1.894,246.685104,196.065678,95.6180703,579.168,0.518518
1.895,246.815421,196.169341,95.6683304,579.476,0.518792
1.896,246.945739,196.273003,95.7185905,579.783,0.519066
1.897,247.076056,196.376666,95.7688507,580.091,0.519339
1.898,247.206374,196.480329,95.8191108,580.399,0.519613
1.899,247.336691,196.583991,95.8693709,580.707,0.519887
1.9,247.467009,196.687654,95.919631,581.015,0.520161
1.901,247.597326,196.791316,95.9698912,581.323,0.520434
1.902,247.727643,196.894979,96.0201513,581.631,0.520708
1.903,247.857961,196.998641,96.0704114,581.939,0.520982
1.904,247.988278,197.102304,96.1206716,582.247,0.521256
1.905,248.118596,197.205967,96.1709317,582.555,0.521529
1.906,248.248913,197.309629,96.2211918,582.862,0.521803
1.907,248.379231,197.413292,96.271452,583.17,0.522077
1.908,248.509548,197.516954,96.3217121,583.478,0.522351
1.909,248.639865,197.620617,96.3719723,583.786,0.522625
1.91,248.770183,197.724279,96.4222324,584.094,0.522898
1.911,248.9005,197.827942,96.4724926,584.402,0.523172
1.912,249.030818,197.931605,96.5227527,584.71,0.523446
1.913,249.161135,198.035267,96.5730129,585.018,0.52372
1.914,249.291453,198.13893,96.623273,585.326,0.523993
1.915,249.42177,198.242592,96.6735332,585.634,0.524267
1.916,249.552087,198.346255,96.7237933,585.942,0.524541
1.917,249.682405,198.449917,96.7740535,586.249,0.524815
1.918,249.812722,198.55358,96.8243136,586.557,0.525088
1.919,249.94304,198.657243,96.8745738,586.865,0.525362
1.92,250.073357,198.760905,96.924834,587.173,0.525636
1.921,250.203675,198.864568,96.9750941,587.481,0.52591
1.922,250.333992,198.96823,97.0253543,587.789,0.526183
1.923,250.464309,199.071893,97.0756145,588.097,0.526457
1.924,250.594627,199.175555,97.1258746,588.405,0.526731
1.925,250.724944,199.279218,97.1761348,588.713,0.527005
1.926,250.855262,199.382881,97.226395,589.021,0.527278
1.927,250.985579,199.486543,97.2766551,589.329,0.527552
1.928,251.115897,199.590206,97.3269153,589.637,0.527826
1.929,251.246214,199.693868,97.3771755,589.945,0.5281
1.93,251.376531,199.797531,97.4274357,590.253,0.528374
1.931,251.506849,199.901193,97.4776958,590.56,0.528647
1.932,251.637166,200.004856,97.527956,590.868,0.528921
1.933,251.767484,200.108518,97.5782162,591.176,0.529195
1.934,251.897801,200.212181,97.6284764,591.484,0.529469
1.935,252.028119,200.315844,97.6787366,591.792,0.529742
1.936,252.158436,200.419506,97.7289968,592.1,0.530016
1.937,252.288753,200.523169,97.779257,592.408,0.53029
1.938,252.419071,200.626831,97.8295171,592.716,0.530564
1.939,252.549388,200.730494,97.8797773,593.024,0.530837
1.94,252.679706,200.834156,97.9300375,593.332,0.531111
1.941,252.810023,200.937819,97.9802977,593.64,0.531385
1.942,252.94034,201.041482,98.0305579,593.948,0.531659
1.943,253.070658,201.145144,98.0808181,594.256,0.531932
1.944,253.200975,201.248807,98.1310783,594.564,0.532206
1.945,253.331293,201.352469,98.1813385,594.872,0.53248
1.946,253.46161,201.456132,98.2315987,595.18,0.532754
1.947,253.591928,201.559794,98.2818589,595.488,0.533027
1.948,253.722245,201.663457,98.3321191,595.796,0.533301
1.949,253.852562,201.76712,98.3823794,596.104,0.533575
1.95,253.98288,201.870782,98.4326396,596.412,0.533849
1.951,254.113197,201.974445,98.4828998,596.72,0.534123
1.952,254.243515,202.078107,98.53316,597.028,0.534396
1.953,254.373832,202.18177,98.5834202,597.336,0.53467
1.954,254.50415,202.285432,98.6336804,597.643,0.534944
1.955,254.634467,202.389095,98.6839406,597.951,0.535218
1.956,254.764784,202.492758,98.7342009,598.259,0.535491
1.957,254.895102,202.59642,98.7844611,598.567,0.535765
1.958,255.025419,202.700083,98.8347213,598.875,0.536039
1.959,255.155737,202.803745,98.8849815,599.183,0.536313
1.96,255.286054,202.907408,98.9352418,599.491,0.536586
1.961,255.416372,203.01107,98.985502,599.799,0.53686
1.962,255.546689,203.114733,99.0357622,600.107,0.537134
1.963,255.677006,203.218396,99.0860224,600.415,0.537408
1.964,255.807324,203.322058,99.1362827,600.723,0.537681
1.965,255.937641,203.425721,99.1865429,601.031,0.537955
1.966,256.067959,203.529383,99.2368031,601.339,0.538229
1.967,256.198276,203.633046,99.2870634,601.647,0.538503
1.968,256.328594,203.736708,99.3373236,601.955,0.538776
1.969,256.458911,203.840371,99.3875838,602.263,0.53905
1.97,256.589228,203.944034,99.4378441,602.571,0.539324
1.971,256.719546,204.047696,99.4881043,602.879,0.539598
1.972,256.849863,204.151359,99.5383646,603.187,0.539871
1.973,256.980181,204.255021,99.5886248,603.495,0.540145
1.974,257.110498,204.358684,99.6388851,603.803,0.540419
1.975,257.240816,204.462346,99.6891453,604.111,0.540693
1.976,257.371133,204.566009,99.7394056,604.419,0.540967
1.977,257.50145,204.669671,99.7896658,604.727,0.54124
1.978,257.631768,204.773334,99.8399261,605.035,0.541514
1.979,257.762085,204.876997,99.8901863,605.343,0.541788
1.98,257.892403,204.980659,99.9404466,605.651,0.542062
1.981,258.02272,205.084322,99.9907068,605.959,0.542335
1.982,258.153038,205.187984,100.040967,606.267,0.542609
1.983,258.283355,205.291647,100.091227,606.575,0.542883
1.984,258.413672,205.395309,100.141488,606.883,0.543157
1.985,258.54399,205.498972,100.191748,607.191,0.54343
1.986,258.674307,205.602635,100.242008,607.499,0.543704
1.987,258.804625,205.706297,100.292268,607.807,0.543978
1.988,258.934942,205.80996,100.342529,608.115,0.544252
1.989,259.06526,205.913622,100.392789,608.423,0.544525
1.99,259.195577,206.017285,100.443049,608.731,0.544799
1.991,259.325894,206.120947,100.493309,609.039,0.545073
1.992,259.456212,206.22461,100.54357,609.347,0.545347
1.993,259.586529,206.328273,100.59383,609.655,0.54562
1.994,259.716847,206.431935,100.64409,609.963,0.545894
1.995,259.847164,206.535598,100.694351,610.271,0.546168
1.996,259.977482,206.63926,100.744611,610.579,0.546442
1.997,260.107799,206.742923,100.794871,610.887,0.546715
1.998,260.238116,206.846585,100.845131,611.195,0.546989
1.999,260.368434,206.950248,100.895392,611.503,0.547263
2.0,260.498751,207.053911,100.945652,611.811,0.547537
2.001,260.629069,207.157573,100.995912,612.119,0.547811
2.002,260.759386,207.261236,101.046173,612.427,0.548084
2.003,260.889704,207.364898,101.096433,612.735,0.548358
2.004,261.020021,207.468561,101.146693,613.043,0.548632
2.005,261.150338,207.572223,101.196953,613.351,0.548906
2.006,261.280656,207.675886,101.247214,613.659,0.549179
2.007,261.410973,207.779549,101.297474,613.968,0.549453
2.008,261.541291,207.883211,101.347734,614.276,0.549727
2.009,261.671608,207.986874,101.397995,614.585,0.550002
2.01,261.801926,208.090536,101.448255,614.893,0.550276
2.011,261.932243,208.194199,101.498515,615.201,0.550549
2.012,262.06256,208.297861,101.548776,615.509,0.550823
2.013,262.192878,208.401524,101.599036,615.817,0.551097
2.014,262.323195,208.505186,101.649296,616.125,0.551371
2.015,262.453513,208.608849,101.699556,616.433,0.551645
2.016,262.58383,208.712512,101.749817,616.741,0.551918
2.017,262.714147,208.816174,101.800077,617.049,0.552192
2.018,262.844465,208.919837,101.850337,617.357,0.552466
2.019,262.974782,209.023499,101.900598,617.665,0.55274
2.02,263.1051,209.127162,101.950858,617.973,0.553013
2.021,263.235417,209.230824,102.001118,618.281,0.553287
2.022,263.365735,209.334487,102.051379,618.589,0.553561
2.023,263.496052,209.43815,102.101639,618.898,0.553835
2.024,263.626369,209.541812,102.151899,619.206,0.554108
2.025,263.756687,209.645475,102.20216,619.514,0.554382
2.026,263.887004,209.749137,102.25242,619.822,0.554656
2.027,264.017322,209.8528,102.30268,620.13,0.55493
2.028,264.147639,209.956462,102.352941,620.438,0.555203
2.029,264.277957,210.060125,102.403201,620.746,0.555477
2.03,264.408274,210.163788,102.453461,621.054,0.555751
2.031,264.538591,210.26745,102.503722,621.362,0.556025
2.032,264.668909,210.371113,102.553982,621.67,0.556298
2.033,264.799226,210.474775,102.604242,621.978,0.556572
2.034,264.929544,210.578438,102.654503,622.286,0.556846
2.035,265.059861,210.6821,102.704763,622.594,0.55712
2.036,265.190179,210.785763,102.755023,622.902,0.557393
2.037,265.320496,210.889426,102.805284,623.21,0.557667
2.038,265.450813,210.993088,102.855544,623.518,0.557941
2.039,265.581131,211.096751,102.905804,623.826,0.558215
2.04,265.711448,211.200413,102.956065,624.134,0.558488
2.041,265.841766,211.304076,103.006325,624.442,0.558762
2.042,265.972083,211.407738,103.056585,624.75,0.559036
2.043,266.102401,211.511401,103.106846,625.058,0.55931
2.044,266.232718,211.615064,103.157106,625.366,0.559583
2.045,266.363035,211.718726,103.207366,625.674,0.559857
2.046,266.493353,211.822389,103.257627,625.983,0.560131
2.047,266.62367,211.926051,103.307887,626.291,0.560405
2.048,266.753988,212.029714,103.358147,626.599,0.560678
2.049,266.884305,212.133376,103.408408,626.907,0.560952
2.05,267.014623,212.237039,103.458668,627.215,0.561226
2.051,267.14494,212.340701,103.508928,627.523,0.5615
2.052,267.275257,212.444364,103.559189,627.831,0.561773
2.053,267.405575,212.548027,103.609449,628.139,0.562047
2.054,267.535892,212.651689,103.65971,628.447,0.562321
2.055,267.66621,212.755352,103.70997,628.755,0.562595
2.056,267.796527,212.859014,103.76023,629.063,0.562868
2.057,267.926845,212.962677,103.810491,629.371,0.563142
2.058,268.057162,213.066339,103.860751,629.679,0.563416
2.059,268.187479,213.170002,103.911011,629.987,0.56369
2.06,268.317797,213.273665,103.961272,630.295,0.563963
2.061,268.448114,213.377327,104.011532,630.603,0.564237
2.062,268.578432,213.48099,104.061792,630.911,0.564511
2.063,268.708749,213.584652,104.112053,631.22,0.564785
2.064,268.839067,213.688315,104.162313,631.528,0.565058
2.065,268.969384,213.791977,104.212574,631.836,0.565332
2.066,269.099701,213.89564,104.262834,632.144,0.565606
2.067,269.230019,213.999303,104.313094,632.452,0.56588
2.068,269.360336,214.102965,104.363355,632.76,0.566153
2.069,269.490654,214.206628,104.413615,633.068,0.566427
2.07,269.620971,214.31029,104.463875,633.376,0.566701
2.071,269.751289,214.413953,104.514136,633.684,0.566975
2.072,269.881606,214.517615,104.564396,633.992,0.567248
2.073,270.011923,214.621278,104.614657,634.3,0.567522
2.074,270.142241,214.724941,104.664917,634.608,0.567796
2.075,270.272558,214.828603,104.715177,634.916,0.56807
2.076,270.402876,214.932266,104.765438,635.224,0.568343
2.077,270.533193,215.035928,104.815698,635.532,0.568617
2.078,270.663511,215.139591,104.865959,635.841,0.568891
2.079,270.793828,215.243253,104.916219,636.149,0.569165
2.08,270.924145,215.346916,104.966479,636.457,0.569438
2.081,271.054463,215.450579,105.01674,636.765,0.569712
2.082,271.18478,215.554241,105.067,637.073,0.569986
2.083,271.315098,215.657904,105.117261,637.381,0.57026
2.084,271.445415,215.761566,105.167521,637.689,0.570533
2.085,271.575733,215.865229,105.217781,637.997,0.570807
2.086,271.70605,215.968891,105.268042,638.305,0.571081
2.087,271.836367,216.072554,105.318302,638.613,0.571355
2.088,271.966685,216.176216,105.368563,638.921,0.571629
2.089,272.097002,216.279879,105.418823,639.229,0.571902
2.09,272.22732,216.383542,105.469083,639.537,0.572176
2.091,272.357637,216.487204,105.519344,639.846,0.57245
2.092,272.487954,216.590867,105.569604,640.154,0.572724
2.093,272.618272,216.694529,105.619865,640.462,0.572997
2.094,272.748589,216.798192,105.670125,640.77,0.573271
2.095,272.878907,216.901854,105.720385,641.078,0.573545
2.096,273.009224,217.005517,105.770646,641.386,0.573819
2.097,273.139542,217.10918,105.820906,641.694,0.574092
2.098,273.269859,217.212842,105.871167,642.002,0.574366
2.099,273.400176,217.316505,105.921427,642.31,0.57464
2.1,273.530494,217.420167,105.971688,642.618,0.574914
2.101,273.660811,217.52383,106.021948,642.928,0.575189
2.102,273.791129,217.627492,106.072208,643.236,0.575462
2.103,273.921446,217.731155,106.122469,643.544,0.575736
2.104,274.051764,217.834818,106.172729,643.852,0.57601
2.105,274.182081,217.93848,106.22299,644.16,0.576284
2.106,274.312398,218.042143,106.27325,644.468,0.576557
2.107,274.442716,218.145805,106.32351,644.776,0.576831
2.108,274.573033,218.249468,106.373771,645.084,0.577105
2.109,274.703351,218.35313,106.424031,645.392,0.577379
2.11,274.833668,218.456793,106.474292,645.701,0.577652
2.111,274.963986,218.560456,106.524552,646.009,0.577926
2.112,275.094303,218.664118,106.574813,646.317,0.5782
2.113,275.22462,218.767781,106.625073,646.625,0.578474
2.114,275.354938,218.871443,106.675334,646.933,0.578747
2.115,275.485255,218.975106,106.725594,647.241,0.579021
2.116,275.615573,219.078768,106.775854,647.549,0.579295
2.117,275.74589,219.182431,106.826115,647.857,0.579569
2.118,275.876208,219.286094,106.876375,648.165,0.579842
2.119,276.006525,219.389756,106.926636,648.473,0.580116
2.12,276.136842,219.493419,106.976896,648.781,0.58039
2.121,276.26716,219.597081,107.027157,649.089,0.580663
2.122,276.397477,219.700744,107.077417,649.397,0.580937
2.123,276.527795,219.804406,107.127678,649.705,0.581211
2.124,276.658112,219.908069,107.177938,650.014,0.581485
2.125,276.78843,220.011732,107.228198,650.322,0.581758
2.126,276.918747,220.115394,107.278459,650.63,0.582032
2.127,277.049064,220.219057,107.328719,650.938,0.582306
2.128,277.179382,220.322719,107.37898,651.246,0.58258
2.129,277.309699,220.426382,107.42924,651.554,0.582853
2.13,277.440017,220.530044,107.479501,651.862,0.583127
2.131,277.570334,220.633707,107.529761,652.17,0.583401
2.132,277.700652,220.737369,107.580022,652.478,0.583675
2.133,277.830969,220.841032,107.630282,652.786,0.583948
2.134,277.961286,220.944695,107.680543,653.094,0.584222
2.135,278.091604,221.048357,107.730803,653.402,0.584496
2.136,278.221921,221.15202,107.781063,653.71,0.58477
2.137,278.352239,221.255682,107.831324,654.018,0.585043
2.138,278.482556,221.359345,107.881584,654.327,0.585317
2.139,278.612874,221.463007,107.931845,654.635,0.585591
2.14,278.743191,221.56667,107.982105,654.943,0.585865
2.141,278.873508,221.670333,108.032366,655.251,0.586138
2.142,279.003826,221.773995,108.082626,655.559,0.586412
2.143,279.134143,221.877658,108.132887,655.867,0.586686
2.144,279.264461,221.98132,108.183147,656.175,0.586959
2.145,279.394778,222.084983,108.233408,656.483,0.587233
2.146,279.525096,222.188645,108.283668,656.791,0.587507
2.147,279.655413,222.292308,108.333929,657.099,0.587781
2.148,279.78573,222.395971,108.384189,657.407,0.588054
2.149,279.916048,222.499633,108.43445,657.717,0.58833
2.15,280.046365,222.603296,108.48471,658.025,0.588603
2.151,280.176683,222.706958,108.534971,658.333,0.588877
2.152,280.307,222.810621,108.585231,658.641,0.589151
2.153,280.437318,222.914283,108.635492,658.949,0.589424
2.154,280.567635,223.017946,108.685752,659.257,0.589698
2.155,280.697952,223.121609,108.736013,659.565,0.589972
2.156,280.82827,223.225271,108.786273,659.873,0.590246
2.157,280.958587,223.328934,108.836533,660.181,0.590519
2.158,281.088905,223.432596,108.886794,660.489,0.590793
2.159,281.219222,223.536259,108.937054,660.797,0.591067
2.16,281.34954,223.639921,108.987315,661.105,0.59134
2.161,281.479857,223.743584,109.037575,661.414,0.591614
2.162,281.610174,223.847247,109.087836,661.722,0.591888
2.163,281.740492,223.950909,109.138096,662.03,0.592162
2.164,281.870809,224.054572,109.188357,662.338,0.592435
2.165,282.001127,224.158234,109.238617,662.646,0.592709
2.166,282.131444,224.261897,109.288878,662.954,0.592983
2.167,282.261761,224.365559,109.339138,663.262,0.593256
2.168,282.392079,224.469222,109.389399,663.57,0.59353
2.169,282.522396,224.572884,109.439659,663.878,0.593804
2.17,282.652714,224.676547,109.48992,664.186,0.594078
2.171,282.783031,224.78021,109.54018,664.494,0.594351
2.172,282.913349,224.883872,109.590441,664.802,0.594625
2.173,283.043666,224.987535,109.640701,665.11,0.594899
2.174,283.173983,225.091197,109.690962,665.42,0.595174
2.175,283.304301,225.19486,109.741222,665.728,0.595448
2.176,283.434618,225.298522,109.791483,666.036,0.595721
2.177,283.564936,225.402185,109.841743,666.344,0.595995
2.178,283.695253,225.505848,109.892004,666.652,0.596268
2.179,283.825571,225.60951,109.942265,666.96,0.596542
2.18,283.955888,225.713173,109.992525,667.268,0.596816
2.181,284.086205,225.816835,110.042786,667.576,0.597089
2.182,284.216523,225.920498,110.093046,667.884,0.597363
2.183,284.34684,226.02416,110.143307,668.192,0.597637
2.184,284.477158,226.127823,110.193567,668.5,0.59791
2.185,284.607475,226.231486,110.243828,668.808,0.598184
2.186,284.737793,226.335148,110.294088,669.115,0.598458
2.187,284.86811,226.438811,110.344349,669.425,0.598733
2.188,284.998427,226.542473,110.394609,669.733,0.599006
2.189,285.128745,226.646136,110.44487,670.041,0.59928
2.19,285.259062,226.749798,110.49513,670.349,0.599553
2.191,285.38938,226.853461,110.545391,670.657,0.599827
2.192,285.519697,226.957124,110.595651,670.964,0.600101
2.193,285.650015,227.060786,110.645912,671.272,0.600374
2.194,285.780332,227.164449,110.696172,671.582,0.600649
2.195,285.910649,227.268111,110.746433,671.889,0.600922
2.196,286.040967,227.371774,110.796693,672.197,0.601196
2.197,286.171284,227.475436,110.846954,672.506,0.60147
2.198,286.301602,227.579099,110.897214,672.813,0.601743
2.199,286.431919,227.682762,110.947475,673.12,0.602016
2.2,286.562237,227.786424,110.997736,673.427,0.602289
2.201,286.692554,227.890087,111.047996,673.734,0.602562
2.202,286.822871,227.993749,111.098257,674.041,0.602835
2.203,286.953189,228.097412,111.148517,674.349,0.603108
2.204,287.083506,228.201074,111.198778,674.658,0.603382
2.205,287.213824,228.304737,111.249038,674.965,0.603655
2.206,287.344141,228.408399,111.299299,675.273,0.603929
2.207,287.474459,228.512062,111.349559,675.582,0.604204
2.208,287.604776,228.615725,111.39982,675.89,0.604477
2.209,287.735093,228.719387,111.45008,676.198,0.604751
2.21,287.865411,228.82305,111.500341,676.506,0.605024
2.211,287.995728,228.926712,111.550602,676.813,0.605298
2.212,288.126046,229.030375,111.600862,677.121,0.605571
2.213,288.256363,229.134037,111.651123,677.429,0.605845
2.214,288.386681,229.2377,111.701383,677.739,0.60612
2.215,288.516998,229.341363,111.751644,678.047,0.606394
2.216,288.647315,229.445025,111.801904,678.355,0.606667
2.217,288.777633,229.548688,111.852165,678.663,0.606941
2.218,288.90795,229.65235,111.902425,678.971,0.607215
2.219,289.038268,229.756013,111.952686,679.279,0.607488
2.22,289.168585,229.859675,112.002947,679.587,0.607762
2.221,289.298903,229.963338,112.053207,679.895,0.608036
2.222,289.42922,230.067001,112.103468,680.202,0.608309
2.223,289.559537,230.170663,112.153728,680.51,0.608583
2.224,289.689855,230.274326,112.203989,680.818,0.608857
2.225,289.820172,230.377988,112.254249,681.126,0.60913
2.226,289.95049,230.481651,112.30451,681.434,0.609404
2.227,290.080807,230.585313,112.35477,681.742,0.609678
2.228,290.211125,230.688976,112.405031,682.052,0.609953
2.229,290.341442,230.792639,112.455292,682.36,0.610226
2.23,290.471759,230.896301,112.505552,682.668,0.6105
2.231,290.602077,230.999964,112.555813,682.976,0.610774
2.232,290.732394,231.103626,112.606073,683.284,0.611048
2.233,290.862712,231.207289,112.656334,683.592,0.611321
2.234,290.993029,231.310951,112.706594,683.9,0.611595
2.235,291.123347,231.414614,112.756855,684.208,0.611869
2.236,291.253664,231.518277,112.807116,684.516,0.612142
2.237,291.383981,231.621939,112.857376,684.824,0.612416
2.238,291.514299,231.725602,112.907637,685.132,0.61269
2.239,291.644616,231.829264,112.957897,685.44,0.612964
2.24,291.774934,231.932927,113.008158,685.748,0.613237
2.241,291.905251,232.036589,113.058418,686.056,0.613511
2.242,292.035568,232.140252,113.108679,686.364,0.613785
2.243,292.165886,232.243915,113.15894,686.672,0.614058
2.244,292.296203,232.347577,113.2092,686.98,0.614332
2.245,292.426521,232.45124,113.259461,687.288,0.614606
2.246,292.556838,232.554902,113.309721,687.596,0.61488
2.247,292.687156,232.658565,113.359982,687.904,0.615153
2.248,292.817473,232.762227,113.410243,688.212,0.615427
2.249,292.94779,232.86589,113.460503,688.521,0.615701
2.25,293.078108,232.969552,113.510764,688.829,0.615974
2.251,293.208425,233.073215,113.561024,689.137,0.616248
2.252,293.338743,233.176878,113.611285,689.445,0.616522
2.253,293.46906,233.28054,113.661546,689.753,0.616796
2.254,293.599378,233.384203,113.711806,690.061,0.617069
2.255,293.729695,233.487865,113.762067,690.37,0.617345
2.256,293.860012,233.591528,113.812327,690.678,0.617618
2.257,293.99033,233.69519,113.862588,690.986,0.617892
2.258,294.120647,233.798853,113.912849,691.294,0.618166
2.259,294.250965,233.902516,113.963109,691.603,0.618439
2.26,294.381282,234.006178,114.01337,691.911,0.618713
2.261,294.5116,234.109841,114.06363,692.219,0.618987
2.262,294.641917,234.213503,114.113891,692.527,0.619261
2.263,294.772234,234.317166,114.164152,692.835,0.619534
2.264,294.902552,234.420828,114.214412,693.143,0.619808
2.265,295.032869,234.524491,114.264673,693.451,0.620082
2.266,295.163187,234.628154,114.314933,693.759,0.620356
2.267,295.293504,234.731816,114.365194,694.067,0.620629
2.268,295.423822,234.835479,114.415455,694.375,0.620903
2.269,295.554139,234.939141,114.465715,694.683,0.621177
2.27,295.684456,235.042804,114.515976,694.991,0.621451
2.271,295.814774,235.146466,114.566236,695.299,0.621724
2.272,295.945091,235.250129,114.616497,695.607,0.621998
2.273,296.075409,235.353792,114.666758,695.915,0.622272
2.274,296.205726,235.457454,114.717018,696.223,0.622546
2.275,296.336044,235.561117,114.767279,696.531,0.622819
2.276,296.466361,235.664779,114.817539,696.839,0.623093
2.277,296.596678,235.768442,114.8678,697.147,0.623367
2.278,296.726996,235.872104,114.918061,697.455,0.623641
2.279,296.857313,235.975767,114.968321,697.763,0.623914
2.28,296.987631,236.07943,115.018582,698.071,0.624188
2.281,297.117948,236.183092,115.068843,698.379,0.624462
2.282,297.248266,236.286755,115.119103,698.687,0.624735
2.283,297.378583,236.390417,115.169364,698.995,0.625009
2.284,297.5089,236.49408,115.219624,699.303,0.625283
2.285,297.639218,236.597742,115.269885,699.611,0.625557
2.286,297.769535,236.701405,115.320146,699.919,0.62583
2.287,297.899853,236.805067,115.370406,700.227,0.626104
2.288,298.03017,236.90873,115.420667,700.535,0.626378
2.289,298.160488,237.012393,115.470928,700.843,0.626652
2.29,298.290805,237.116055,115.521188,701.151,0.626925
2.291,298.421122,237.219718,115.571449,701.459,0.627199
2.292,298.55144,237.32338,115.621709,701.767,0.627473
2.293,298.681757,237.427043,115.67197,702.075,0.627747
2.294,298.812075,237.530705,115.722231,702.383,0.62802
