#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    ps1x_rate_bcm4a[f,12]/    ptrig1_rate_bcm4a[f,13]/     ptrig2_rate_bcm4a[f,14]/     ptrig3_rate_bcm4a[f,15]/     ptrig6_rate_bcm4a[f,15]/   pedtm_rate_bcm4a[f,16]/   p_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     ps1x_rate_bcm4b[f,28]/      ptrig1_rate_bcm4b[f,29]/     ptrig2_rate_bcm4b[f,30]/     ptrig3_rate_bcm4b[f,31]/   ptrig6_rate_bcm4b[f,31]/     pedtm_rate_bcm4b[f,32]/   p_eTrkEff_bcm4b[f,33]/
3288     54.000000     54.814704      1969.800366     3.722113     1847.230177     3.586713     1599.370317     3.388808     0.982616     0.920845     146.131560     827305.634097    80372.963836    30813.313643     21053.348539     110.973741     2.999716     0.969901    54.699503    1974.034647    3.731448     1851.224509     3.595736     1602.821728     3.397326     0.982614     0.920911     145.713755     827380.694374    80381.915357    30815.729182     21054.983671     110.978457    2.999742    0.969897
3371     60.000000     59.739253      806.987486     4.092822     737.443376     3.811599     429.774645     2.950730     0.991912     0.942802     51.173036     680646.977858    45306.975957    12056.539646     6467.886464     51.209040     3.000210     0.972450    59.582961    809.104298    4.103558     739.377758     3.821597     430.901985     2.958470     0.991912     0.942802     51.039155     680646.977858    45306.975957    12056.539646     6467.886464     51.209040    3.000210    0.972450
3374     59.500000     59.596075      6447.221479     11.116915     5937.701327     10.969143     5504.780533     10.798483     0.938622     0.844352     52.575362     1352027.014806    271991.748092    146572.492163     116228.128493     387.229565     3.000470     0.956624    59.540789    6453.208008    11.127238     5943.214697     10.979328     5509.891951     10.808510     0.938622     0.844352     52.526588     1352027.014806    271991.748092    146572.492163     116228.128493     387.229565    3.000470    0.956624
3377     60.000000     59.641718      16972.379087     21.140678     14627.516666     21.260835     3823.221069     11.210876     0.849612     0.740470     38.088119     1984955.649174    634447.165032    387689.257261     315211.188959     1015.260528     2.998675     0.940027    59.542574    17000.639912    21.175880     14651.872966     21.296237     3829.587154     11.229544     0.849612     0.740470     38.024804     1984955.649174    634447.165032    387689.257261     315211.188959     1015.260528    2.998675    0.940027
