#-------------------------------------
         #Cut Limits Set             
#-------------------------------------
#Missing Energy:(-0.020000, 0.040000) GeV
#HMS Delta:(-8.000000, 8.000000) 
#SHMS Delta:(-10.000000, 22.000000) 
#ZtarDiff:(-2.000000,2.000000) cm
#Q2: (4.000000,5.000000) GeV2
#SHMS EcalTotTrackNorm: (0.700000,5.000000)
#Coincidence  Time: (10.500000,14.500000) ns
#HMS Collimator Scale: 1.000000
#--------------------------------------
#!Run[i,0]/             charge[f,1]/              cpuLT[f,2]/          cpuLT_err[f,3]/                tLT[f,3]/            hTrkEff[f,4]/        hTrkEff_err[f,5]/            eTrkEff[f,5]/        eTrkEff_err[f,5]/     tgtBoil_factor[f,6]/        avg_current[f,6]/          pS1X_rate[f,7]/        ptrig1_rate[f,8]/        ptrig2_rate[f,9]/       ptrig3_rate[f,10]/       ptrig4_rate[f,11]/       ptrig6_rate[f,12]/       coin_scaler[f,13]/         HMS_Angle[f,13]/          HMS_Pcen[f,14]/        SHMS_Angle[f,15]/         SHMS_Pcen[f,16]/           HMS_Xmp[f,17]/           HMS_Ymp[f,18]/          SHMS_Xmp[f,19]/          SHMS_Ymp[f,20]/              xBPM[f,21]/              yBPM[f,22]/
3357                  130.324                 0.396897               0.00566303                 0.925562                 0.996815               0.00318471                 0.966443               0.00750358                 0.961119                  48.5839                  946.834                  128.924                  50.3371                  33.1644                 0.117942               0.00161381                     4329                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026254                 0.016997
3358                  171.416                 0.396054               0.00494951                 0.933372                 0.983425               0.00676655                 0.976834               0.00546028                 0.960546                  49.2994                  2193.21                  131.266                  51.1663                  33.6713                 0.119675               0.00164968                     5736                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026463                 0.016887
3359                  176.788                 0.427846               0.00505628                 0.928197                 0.987928               0.00492855                 0.959572               0.00693336                 0.958761                  51.5302                   2252.5                  140.137                  53.4598                  35.1249                 0.125224               0.00187801                     6443                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026513                 0.016795
3360                  201.768                 0.502067               0.00512607                 0.915926                 0.989111               0.00444553                   0.9625                  0.00625                 0.953184                  58.4991                  1128.41                  168.657                  61.1049                  39.7657                 0.141734               0.00253952                     8759                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026194                 0.017291
3361                  165.385                  0.48901               0.00557351                 0.923077                 0.985944               0.00531275                  0.96124               0.00707652                 0.954278                   57.132                  1101.56                  163.777                  59.5972                  38.8512                 0.138218               0.00243818                     7058                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027402                 0.016592
3362                   144.49                 0.491564               0.00604433                 0.914954                 0.987685               0.00550756                 0.961111               0.00734931                 0.953391                  58.2398                  2852.98                  167.745                  60.7726                  39.6294                  0.14114               0.00242326                     6012                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026437                 0.017682
3363                   197.47                 0.495488               0.00515909                 0.921849                 0.983707               0.00576054                 0.962225               0.00629591                 0.953275                  58.3849                  1125.09                  168.159                   60.942                  39.7641                 0.141281               0.00250398                     8469                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026703                 0.016731
3364                  169.608                 0.483289               0.00544398                 0.926331                 0.994253                0.0033181                 0.954386               0.00730409                 0.955025                  56.1982                  1084.09                  160.804                  58.7211                  38.2973                 0.136436               0.00240322                     7253                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026381                 0.016726
3365                   176.62                 0.501036               0.00544637                 0.920649                 0.984762               0.00538748                 0.963139               0.00662041                 0.953524                  58.0737                  1117.81                  166.928                  60.6782                  39.5319                 0.140507               0.00255384                     7767                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026457                 0.016727
3366                  163.346                 0.483398               0.00560992                 0.921973                 0.994036               0.00344344                 0.961634                0.0068908                 0.954263                  57.1499                  1102.83                  164.115                  59.7583                  38.9904                 0.138388               0.00237421                     6786                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026534                 0.016684
3367                  196.798                 0.499282               0.00515436                 0.920566                  0.99341               0.00329489                 0.950378               0.00731643                 0.953547                  58.0456                  2384.05                  167.126                  60.7192                  39.5986                 0.140815               0.00254277                     8621                  -58.394                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026596                 0.017235
