#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
35.000000   0.020000   7.218048743894e-07   7.218048743894e-07
35.000000   0.060000   1.856286164048e-07   1.856286164048e-07
35.000000   0.100000   4.085680731714e-08   4.085680731714e-08
35.000000   0.140000   1.050257878530e-08   1.050257878530e-08
35.000000   0.180000   3.343550094997e-09   3.343550094997e-09
35.000000   0.220000   1.204826305613e-09   1.204826305613e-09
35.000000   0.260000   4.967939944895e-10   4.967939944895e-10
35.000000   0.300000   2.353871496268e-10   2.353871496268e-10
35.000000   0.340000   1.283826292407e-10   1.283826292407e-10
35.000000   0.380000   7.334281858451e-11   7.334281858451e-11
35.000000   0.420000   5.256102009801e-11   5.256102009801e-11
35.000000   0.460000   3.929301084430e-11   3.929301084430e-11
35.000000   0.500000   2.902025030815e-11   2.902025030815e-11
35.000000   0.540000   2.241532968437e-11   2.241532968437e-11
35.000000   0.580000   1.732445864678e-11   1.732445864678e-11
35.000000   0.620000   1.322747091505e-11   1.322747091505e-11
35.000000   0.660000   9.986093017532e-12   9.986093017532e-12
35.000000   0.700000   7.460850477410e-12   7.460850477410e-12
35.000000   0.740000   5.520994521497e-12   5.520994521497e-12
35.000000   0.780000   4.028676358343e-12   4.028676358343e-12
35.000000   0.820000   2.907960379164e-12   2.907960379164e-12
35.000000   0.860000   2.072702765606e-12   2.072702765606e-12
35.000000   0.900000   1.457985811343e-12   1.457985811343e-12
35.000000   0.940000   1.008865571683e-12   1.008865571683e-12
35.000000   0.980000   6.868471383271e-13   6.868471383271e-13
35.000000   1.020000   4.597503729400e-13   4.597503729400e-13
35.000000   1.060000   3.022525481917e-13   3.022525481917e-13
35.000000   1.100000   1.932430791437e-13   1.932430791437e-13
35.000000   1.140000   1.214043908804e-13   1.214043908804e-13
35.000000   1.180000   7.771760477961e-14   7.771760477961e-14
