#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
6   1   55.000000   0.020000   0.031717   2449.765926  1.742454710000e-03   1.742454710000e-03    7.112739594860e-07   7.112739594860e-07   80
6   2   55.000000   0.060000   0.062179   2393.338512  4.228420100000e-04   4.228420100000e-04    1.766745522541e-07   1.766745522541e-07   80
6   3   55.000000   0.100000   0.099276   2295.564445  8.549886320000e-05   8.549886320000e-05    3.724524632111e-08   3.724524632111e-08   80
6   4   55.000000   0.140000   0.138326   2171.170679  2.031419180000e-05   2.031419180000e-05    9.356331124256e-09   9.356331124256e-09   80
6   5   55.000000   0.180000   0.178549   2081.889565  5.742000100000e-06   5.742000100000e-06    2.758071415762e-09   2.758071415762e-09   80
6   6   55.000000   0.220000   0.218425   2026.440551  1.937196370000e-06   1.937196370000e-06    9.559601287312e-10   9.559601287312e-10   80
6   7   55.000000   0.260000   0.258683   1961.633292  7.389005420000e-07   7.389005420000e-07    3.766761835728e-10   3.766761835728e-10   80
6   8   55.000000   0.300000   0.298811   1911.210187  3.281823100000e-07   3.281823100000e-07    1.717143997203e-10   1.717143997203e-10   80
6   9   55.000000   0.340000   0.338861   1875.464841  1.698972280000e-07   1.698972280000e-07    9.058939644500e-11   9.058939644500e-11   80
6   10   55.000000   0.380000   0.379081   1854.924087  1.005874870000e-07   1.005874870000e-07    5.422727954473e-11   5.422727954473e-11   80
6   11   55.000000   0.420000   0.419002   1839.559466  6.585655360000e-08   6.585655360000e-08    3.580017651900e-11   3.580017651900e-11   80
6   12   55.000000   0.460000   0.458809   1836.274929  4.603780430000e-08   4.603780430000e-08    2.507130254459e-11   2.507130254459e-11   80
6   12   55.000000   0.460000   0.469776   7049.917519  1.704513280000e-07   1.704513280000e-07    2.417777619960e-11   2.417777619960e-11   580_set1
6   12   55.000000   0.460000   0.473040   7129.035848  1.677614900000e-07   1.677614900000e-07    2.353214285590e-11   2.353214285590e-11   580_set2
6   13   55.000000   0.500000   0.498534   1839.983238  3.333967180000e-08   3.333967180000e-08    1.811955191300e-11   1.811955191300e-11   80
6   13   55.000000   0.500000   0.505825   6832.999337  1.245877970000e-07   1.245877970000e-07    1.823325173257e-11   1.823325173257e-11   580_set1
