#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
2   1   15.000000   0.020000   2371.831012  1.693372440000e-03   1.693372440000e-03    7.139515553311e-07   7.139515553311e-07   80
2   2   15.000000   0.060000   2112.479989  3.928791810000e-04   3.928791810000e-04    1.859800722590e-07   1.859800722590e-07   80
2   3   15.000000   0.100000   1790.029039  7.722937770000e-05   7.722937770000e-05    4.314420381870e-08   4.314420381870e-08   80
2   4   15.000000   0.140000   1420.999236  1.686078070000e-05   1.686078070000e-05    1.186543966587e-08   1.186543966587e-08   80
2   5   15.000000   0.180000   1234.109963  4.826088910000e-06   4.826088910000e-06    3.910582569375e-09   3.910582569375e-09   80
2   6   15.000000   0.220000   1134.300837  1.663230060000e-06   1.663230060000e-06    1.466304181172e-09   1.466304181172e-09   80
2   7   15.000000   0.260000   1060.742465  6.663550140000e-07   6.663550140000e-07    6.281967923289e-10   6.281967923289e-10   80
2   8   15.000000   0.300000   1007.965263  3.018507660000e-07   3.018507660000e-07    2.994654449714e-10   2.994654449714e-10   80
2   9   15.000000   0.340000   943.798813  1.586801410000e-07   1.586801410000e-07    1.681292017052e-10   1.681292017052e-10   80
2   11   15.000000   0.420000   3648.759050  1.597664950000e-07   1.597664950000e-07    4.378652928590e-11   4.378652928590e-11   580_set1
2   11   15.000000   0.420000   3692.228705  1.609283240000e-07   1.609283240000e-07    4.358568681893e-11   4.358568681893e-11   580_set2
2   12   15.000000   0.460000   3193.042146  1.000740230000e-07   1.000740230000e-07    3.134127844988e-11   3.134127844988e-11   580_set1
2   12   15.000000   0.460000   3180.312032  9.803521630000e-08   9.803521630000e-08    3.082565965653e-11   3.082565965653e-11   580_set2
2   13   15.000000   0.500000   2749.902637  6.065738570000e-08   6.065738570000e-08    2.205801212154e-11   2.205801212154e-11   580_set2
2   13   15.000000   0.500000   2738.160928  6.009487810000e-08   6.009487810000e-08    2.194716807383e-11   2.194716807383e-11   580_set1
2   14   15.000000   0.540000   2334.571841  3.600318730000e-08   3.600318730000e-08    1.542175171811e-11   1.542175171811e-11   580_set1
2   14   15.000000   0.540000   2328.449695  3.573589770000e-08   3.573589770000e-08    1.534750687410e-11   1.534750687410e-11   580_set2
2   15   15.000000   0.580000   1998.699866  2.174458090000e-08   2.174458090000e-08    1.087936276471e-11   1.087936276471e-11   580_set1
2   15   15.000000   0.580000   1995.716154  2.170342950000e-08   2.170342950000e-08    1.087500818015e-11   1.087500818015e-11   580_set2
