#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
65.000000   0.020000   7.325835144231e-07   7.325835144231e-07
65.000000   0.060000   1.857458502053e-07   1.857458502053e-07
65.000000   0.100000   4.022931577646e-08   4.022931577646e-08
65.000000   0.140000   1.035589890888e-08   1.035589890888e-08
65.000000   0.180000   3.152858596281e-09   3.152858596281e-09
65.000000   0.220000   1.121627657714e-09   1.121627657714e-09
65.000000   0.260000   4.441931914860e-10   4.441931914860e-10
65.000000   0.300000   1.997295206645e-10   1.997295206645e-10
65.000000   0.340000   9.980664034462e-11   9.980664034462e-11
65.000000   0.380000   5.489223019537e-11   5.489223019537e-11
65.000000   0.420000   3.241793092394e-11   3.241793092394e-11
65.000000   0.460000   2.011643522757e-11   2.011643522757e-11
65.000000   0.500000   1.296946410584e-11   1.296946410584e-11
65.000000   0.540000   8.550680279933e-12   8.550680279933e-12
65.000000   0.580000   5.716098630121e-12   5.716098630121e-12
65.000000   0.620000   3.873208141196e-12   3.873208141196e-12
65.000000   0.660000   2.627023139594e-12   2.627023139594e-12
65.000000   0.700000   1.755084625051e-12   1.755084625051e-12
65.000000   0.740000   1.200359037763e-12   1.200359037763e-12
65.000000   0.780000   8.476806787339e-13   8.476806787339e-13
