#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
65.000000   0.031158   7.283744276037e-07
65.000000   0.061567   1.815819531970e-07
65.000000   0.098469   3.840573598039e-08
65.000000   0.137522   9.603741983090e-09
65.000000   0.177716   2.825275447263e-09
65.000000   0.217850   9.706781661800e-10
65.000000   0.258873   3.754946564044e-10
65.000000   0.299371   1.701360448971e-10
65.000000   0.339830   8.945656444032e-11
65.000000   0.379859   5.385146585738e-11
65.000000   0.419719   3.564988283564e-11
65.000000   0.459623   2.499524656514e-11
65.000000   0.499139   1.813008286320e-11
65.000000   0.538416   1.335272178499e-11
65.000000   0.577658   9.900610039275e-12
65.000000   0.616164   7.398768382273e-12
65.000000   0.654701   5.522898708759e-12
65.000000   0.693899   4.070392030236e-12
65.000000   0.730680   3.030135211129e-12
65.000000   0.761703   2.351009737354e-12
