#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
75.000000   0.020000   7.004928596429e-07   7.004928596429e-07
75.000000   0.060000   1.850801883618e-07   1.850801883618e-07
75.000000   0.100000   3.995073753316e-08   3.995073753316e-08
75.000000   0.140000   9.974440881618e-09   9.974440881618e-09
75.000000   0.180000   2.990151242831e-09   2.990151242831e-09
75.000000   0.220000   1.027729665001e-09   1.027729665001e-09
75.000000   0.260000   4.006518324908e-10   4.006518324908e-10
75.000000   0.300000   1.784177765539e-10   1.784177765539e-10
75.000000   0.340000   9.491412248166e-11   9.491412248166e-11
75.000000   0.380000   5.731933964000e-11   5.731933964000e-11
75.000000   0.420000   3.816913553903e-11   3.816913553903e-11
75.000000   0.460000   2.697857403245e-11   2.697857403245e-11
75.000000   0.500000   1.964542907208e-11   1.964542907208e-11
75.000000   0.540000   1.449726434051e-11   1.449726434051e-11
75.000000   0.580000   1.076785954803e-11   1.076785954803e-11
75.000000   0.620000   8.000567631735e-12   8.000567631735e-12
75.000000   0.660000   5.979853070530e-12   5.979853070530e-12
75.000000   0.700000   4.385750973243e-12   4.385750973243e-12
75.000000   0.740000   3.130510211233e-12   3.130510211233e-12
