#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
5.000000   0.020000   7.017975412112e-07   7.017975412112e-07
5.000000   0.060000   1.911240486303e-07   1.911240486303e-07
5.000000   0.100000   4.255037521489e-08   4.255037521489e-08
5.000000   0.140000   1.180499559675e-08   1.180499559675e-08
5.000000   0.180000   3.926986203327e-09   3.926986203327e-09
5.000000   0.220000   1.567509484324e-09   1.567509484324e-09
5.000000   0.260000   6.985126896963e-10   6.985126896963e-10
