#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
25.000000   0.020000   7.140051870214e-07   7.140051870214e-07
25.000000   0.060000   1.836819567736e-07   1.836819567736e-07
25.000000   0.100000   4.127102718960e-08   4.127102718960e-08
25.000000   0.140000   1.103217248110e-08   1.103217248110e-08
25.000000   0.180000   3.528390454522e-09   3.528390454522e-09
25.000000   0.220000   1.278511461501e-09   1.278511461501e-09
25.000000   0.260000   5.304612579371e-10   5.304612579371e-10
25.000000   0.300000   2.527577549449e-10   2.527577549449e-10
25.000000   0.340000   1.408129585912e-10   1.408129585912e-10
25.000000   0.380000   7.937726356962e-11   7.937726356962e-11
25.000000   0.420000   5.521683218776e-11   5.521683218776e-11
25.000000   0.460000   4.273026317398e-11   4.273026317398e-11
25.000000   0.500000   3.134265951532e-11   3.134265951532e-11
25.000000   0.540000   2.483845957386e-11   2.483845957386e-11
25.000000   0.580000   1.952771523183e-11   1.952771523183e-11
25.000000   0.620000   1.515278970007e-11   1.515278970007e-11
25.000000   0.660000   1.167225935995e-11   1.167225935995e-11
25.000000   0.700000   8.886080181825e-12   8.886080181825e-12
25.000000   0.740000   6.689264276964e-12   6.689264276964e-12
25.000000   0.780000   4.976624707125e-12   4.976624707125e-12
25.000000   0.820000   3.642218470541e-12   3.642218470541e-12
25.000000   0.860000   2.622474659745e-12   2.622474659745e-12
25.000000   0.900000   1.864649932434e-12   1.864649932434e-12
25.000000   0.940000   1.302274810622e-12   1.302274810622e-12
25.000000   0.980000   9.116642255720e-13   9.116642255720e-13
25.000000   1.020000   6.078925375595e-13   6.078925375595e-13
25.000000   1.060000   4.056741529784e-13   4.056741529784e-13
25.000000   1.100000   2.648235823723e-13   2.648235823723e-13
25.000000   1.140000   1.698449737545e-13   1.698449737545e-13
25.000000   1.180000   1.067005040994e-13   1.067005040994e-13
