#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
55.000000   0.031717   7.112739594860e-07
55.000000   0.062179   1.766745522541e-07
55.000000   0.099276   3.724524632111e-08
55.000000   0.138326   9.356331124256e-09
55.000000   0.178549   2.758071415762e-09
55.000000   0.218425   9.559601287312e-10
55.000000   0.258683   3.766761835728e-10
55.000000   0.298811   1.717143997203e-10
55.000000   0.338861   9.058939644500e-11
55.000000   0.379081   5.422727954473e-11
55.000000   0.419002   3.580017651900e-11
55.000000   0.467208   2.426040720003e-11
55.000000   0.503668   1.815898120908e-11
55.000000   0.541721   1.356635038691e-11
55.000000   0.580031   1.014184940522e-11
55.000000   0.624813   7.308849865986e-12
55.000000   0.661084   5.515242595978e-12
55.000000   0.697013   4.164881343011e-12
55.000000   0.740432   2.957367205880e-12
55.000000   0.779733   2.131889389951e-12
55.000000   0.818995   1.522922388136e-12
55.000000   0.858469   1.075016273250e-12
55.000000   0.897297   7.551152478572e-13
55.000000   0.936886   5.207768800308e-13
55.000000   0.976838   3.530683557111e-13
55.000000   1.015170   2.397236664150e-13
55.000000   1.056004   1.559110311434e-13
55.000000   1.092107   1.049170213265e-13
55.000000   1.132664   6.566208092136e-14
55.000000   1.172577   4.019313268656e-14
