#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
45.000000   0.031473   7.188274311168e-07
45.000000   0.062411   1.748855224485e-07
45.000000   0.099207   3.736250333225e-08
45.000000   0.138440   9.327894130890e-09
45.000000   0.178375   2.773639225847e-09
45.000000   0.218252   9.608680848345e-10
45.000000   0.257816   3.839008599987e-10
45.000000   0.297900   1.745438797581e-10
45.000000   0.337974   9.179335914679e-11
45.000000   0.378275   5.476204339346e-11
45.000000   0.426548   3.440545004361e-11
45.000000   0.463456   2.500476874656e-11
45.000000   0.501495   1.846298245972e-11
45.000000   0.546284   1.324606281370e-11
45.000000   0.582744   1.005323768590e-11
45.000000   0.621049   7.513536671990e-12
45.000000   0.659422   5.583291866141e-12
45.000000   0.696996   4.161693588647e-12
45.000000   0.739832   2.981338851480e-12
45.000000   0.779405   2.146582220551e-12
45.000000   0.819129   1.529379808280e-12
45.000000   0.858869   1.078689428826e-12
45.000000   0.898569   7.528807203200e-13
45.000000   0.938345   5.188588629371e-13
45.000000   0.978177   3.525643113603e-13
45.000000   1.017958   2.361539817708e-13
45.000000   1.057689   1.555247259600e-13
45.000000   1.097505   1.003063931296e-13
45.000000   1.137054   6.335133141082e-14
45.000000   1.173010   4.074120520790e-14
