#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
4   1   35.000000   0.020000   2375.212472  1.714439940000e-03   1.714439940000e-03    7.218048743894e-07   7.218048743894e-07   80
4   2   35.000000   0.060000   2208.504852  4.099617000000e-04   4.099617000000e-04    1.856286164048e-07   1.856286164048e-07   80
4   3   35.000000   0.100000   1953.318706  7.980636600000e-05   7.980636600000e-05    4.085680731714e-08   4.085680731714e-08   80
4   4   35.000000   0.140000   1686.923294  1.771704480000e-05   1.771704480000e-05    1.050257878530e-08   1.050257878530e-08   80
4   5   35.000000   0.180000   1485.022081  4.965245720000e-06   4.965245720000e-06    3.343550094997e-09   3.343550094997e-09   80
4   6   35.000000   0.220000   1343.873538  1.619134190000e-06   1.619134190000e-06    1.204826305613e-09   1.204826305613e-09   80
4   7   35.000000   0.260000   1223.910872  6.080315710000e-07   6.080315710000e-07    4.967939944895e-10   4.967939944895e-10   80
4   8   35.000000   0.300000   1119.415828  2.634961010000e-07   2.634961010000e-07    2.353871496268e-10   2.353871496268e-10   80
4   9   35.000000   0.340000   1032.536121  1.325597020000e-07   1.325597020000e-07    1.283826292407e-10   1.283826292407e-10   80
4   10   35.000000   0.380000   965.055899  7.754104580000e-08   7.754104580000e-08    8.034876102032e-11   8.034876102032e-11   80
4   10   35.000000   0.380000   4864.169069  3.398778140000e-07   3.398778140000e-07    6.987376655267e-11   6.987376655267e-11   580_set1
4   10   35.000000   0.380000   4810.673402  3.358135220000e-07   3.358135220000e-07    6.980592818053e-11   6.980592818053e-11   580_set2
4   11   35.000000   0.420000   919.194039  5.024686080000e-08   5.024686080000e-08    5.466404117967e-11   5.466404117967e-11   80
4   11   35.000000   0.420000   4304.787962  2.228560300000e-07   2.228560300000e-07    5.176933962073e-11   5.176933962073e-11   580_set1
4   11   35.000000   0.420000   4276.974318  2.191935630000e-07   2.191935630000e-07    5.124967949363e-11   5.124967949363e-11   580_set2
4   12   35.000000   0.460000   888.694047  3.517136350000e-08   3.517136350000e-08    3.957645898353e-11   3.957645898353e-11   80
4   12   35.000000   0.460000   3956.561448  1.549183730000e-07   1.549183730000e-07    3.915480020620e-11   3.915480020620e-11   580_set2
4   12   35.000000   0.460000   3945.727223  1.544664350000e-07   1.544664350000e-07    3.914777334318e-11   3.914777334318e-11   580_set1
4   13   35.000000   0.500000   859.045893  2.581378260000e-08   2.581378260000e-08    3.004936384697e-11   3.004936384697e-11   80
4   13   35.000000   0.500000   3670.343665  1.099565030000e-07   1.099565030000e-07    2.995809467340e-11   2.995809467340e-11   580_set2
4   13   35.000000   0.500000   3671.352067  1.098450120000e-07   1.098450120000e-07    2.991949831980e-11   2.991949831980e-11   580_set1
4   13   35.000000   0.500000   4831.657803  1.370140610000e-07   1.370140610000e-07    2.835756723395e-11   2.835756723395e-11   750_set2
4   13   35.000000   0.500000   5057.193528  1.408991520000e-07   1.408991520000e-07    2.786113507816e-11   2.786113507816e-11   750_set3
