#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
85.000000   0.030713   7.430625577249e-07
85.000000   0.061080   1.862412676085e-07
85.000000   0.098387   3.886167508216e-08
85.000000   0.137084   9.933832196467e-09
85.000000   0.176686   3.018913609028e-09
85.000000   0.216791   1.056127120657e-09
85.000000   0.257164   4.175458920057e-10
85.000000   0.297715   1.848338602728e-10
85.000000   0.337714   9.192299571412e-11
85.000000   0.377337   5.034898542943e-11
85.000000   0.415198   3.026541132565e-11
85.000000   0.452612   1.917931361722e-11
85.000000   0.489415   1.264743867360e-11
