#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
45.000000   0.031473   7.198765538254e-07
45.000000   0.062411   1.755699646560e-07
45.000000   0.099207   3.773896336736e-08
45.000000   0.138440   9.531518348621e-09
45.000000   0.178375   2.884369139939e-09
45.000000   0.218252   1.018579436145e-09
45.000000   0.257816   4.107056466015e-10
45.000000   0.297900   1.833873573012e-10
45.000000   0.337974   9.096442508911e-11
45.000000   0.378275   4.923757775496e-11
45.000000   0.426548   2.675995950561e-11
45.000000   0.463456   1.729904059483e-11
45.000000   0.501495   1.137014564846e-11
45.000000   0.546284   7.184123800413e-12
45.000000   0.582744   4.950187863017e-12
45.000000   0.621049   3.367208166277e-12
45.000000   0.659422   2.289830189253e-12
45.000000   0.696996   1.573299546244e-12
45.000000   0.739832   1.030130408608e-12
45.000000   0.779405   6.857902515126e-13
45.000000   0.819129   4.530006740127e-13
45.000000   0.858869   2.974088983102e-13
45.000000   0.898569   1.940600923872e-13
45.000000   0.938345   1.257362597104e-13
45.000000   0.978177   8.095111400798e-14
45.000000   1.017958   5.190500092974e-14
45.000000   1.057689   3.321969936142e-14
45.000000   1.097505   2.124750225323e-14
45.000000   1.137054   1.368541469516e-14
45.000000   1.173010   9.228432604523e-15
