#-------------------------------------
         #Cut Limits Set             
#-------------------------------------
#Missing Energy:(-0.020000, 0.040000) GeV
#HMS Delta:(-8.000000, 8.000000) 
#SHMS Delta:(-10.000000, 22.000000) 
#ZtarDiff:(-2.000000,2.000000) cm
#Q2: (4.000000,5.000000) GeV2
#SHMS EcalTotTrackNorm: (0.700000,5.000000)
#HMS Collimator Scale: 1.000000
#--------------------------------------
#!Run[i,0]/             charge[f,1]/              cpuLT[f,2]/          cpuLT_err[f,3]/                tLT[f,3]/            hTrkEff[f,4]/        hTrkEff_err[f,5]/            eTrkEff[f,5]/        eTrkEff_err[f,5]/     tgtBoil_factor[f,6]/        avg_current[f,6]/          pS1X_rate[f,7]/        ptrig1_rate[f,8]/        ptrig2_rate[f,9]/       ptrig3_rate[f,10]/       ptrig4_rate[f,11]/       ptrig6_rate[f,12]/       coin_scaler[f,13]/         HMS_Angle[f,13]/          HMS_Pcen[f,14]/        SHMS_Angle[f,15]/         SHMS_Pcen[f,16]/           HMS_Xmp[f,17]/           HMS_Ymp[f,18]/          SHMS_Xmp[f,19]/          SHMS_Ymp[f,20]/              xBPM[f,21]/              yBPM[f,22]/
3291                  146.963                  1.08527                 0.012327                 0.927235                 0.991525               0.00378995                 0.966394               0.00552476                 0.959778                  50.2779                  996.247                  139.873                  51.3557                   33.565                 0.147238               0.00244337                     7142                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                   0.0264                 0.017445
3292                  151.515                  1.07573                0.0116228                 0.930176                 0.983287               0.00482465                 0.960996               0.00568934                  0.95977                  50.2876                  992.637                  141.902                  51.5098                  33.5745                 0.147491               0.00264291                     7963                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026251                 0.016606
3293                  133.631                  1.08782                0.0132759                 0.932949                 0.990809               0.00411042                 0.974052               0.00508884                 0.962282                  47.1472                  2448.61                  127.921                  48.4243                  31.5685                  0.13759               0.00217758                     6172                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027043                 0.017493
3294                  146.899                  1.08465                0.0124639                 0.931446                 0.990228                0.0039894                 0.963426               0.00571198                 0.960702                  49.1228                  972.777                  133.727                  50.5316                  32.9375                 0.144044               0.00233476                     6982                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026484                 0.016845
3295                  176.051                  1.08056                0.0113983                 0.933542                  0.98153               0.00493622                 0.967958               0.00488632                 0.960003                  49.9959                  989.436                  136.154                  51.3563                  33.5287                  0.14644                0.0023619                     8317                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                  0.02795                  0.01769
3296                  145.594                  1.07572                0.0116609                 0.919894                 0.991597               0.00343066                 0.958333               0.00607771                 0.956059                  54.9266                   1086.1                  157.613                  56.6813                  36.7876                 0.161035               0.00298449                     7911                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026755                 0.016703
3297                  136.486                   1.0908                0.0130115                 0.925885                    0.995               0.00288675                 0.973988               0.00500593                 0.960263                  49.6717                  987.217                  136.683                  51.1995                  33.3318                 0.145872               0.00234481                     6443                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027232                 0.016311
3298                  151.496                  1.09804                0.0127808                 0.925914                 0.981043               0.00547251                 0.969808               0.00525578                  0.96068                    49.15                  976.295                  132.685                  50.6454                   33.056                 0.144628               0.00218082                     6722                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026292                 0.016676
3299                  152.167                  1.08571                0.0126127                 0.934625                 0.992331               0.00342955                   0.9678               0.00536673                 0.961115                  48.6058                  964.887                  130.779                  50.0279                  32.6786                 0.142243               0.00218006                     6825                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026431                 0.016678
3300                  73.3584                  1.09115                0.0179993                 0.929483                 0.996575               0.00342466                 0.967308               0.00792905                 0.960584                  49.2696                  978.869                  133.281                  50.7519                  33.1566                 0.144222               0.00226204                     3368                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026689                   0.0171
3301                  111.847                  1.09013                0.0147598                 0.934405                  0.99435               0.00326187                 0.963051               0.00663619                 0.962125                  47.3443                  2753.06                  126.127                  48.8855                  31.8809                 0.138257               0.00211817                     5004                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026836                 0.016733
3304                  9.37355                  1.08114                0.0486921                 0.928709                        1                        0                 0.954545                0.0262432                 0.956592                  54.2605                  1071.96                  152.495                  55.7405                  36.4107                 0.160948               0.00263964                      456                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.031618                 0.014315
3305                  151.458                  1.07757                0.0119634                 0.930185                 0.988858               0.00393931                 0.961672               0.00577809                 0.959135                  51.0818                  2449.73                   142.03                  52.5736                  34.3189                  0.14916               0.00253928                     7529                  -54.992                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026132                 0.015647
