Run,Q1_set,Q2_set,Q3_set,D_set,NMR_set,Collimator,Target,Raster,TFE,Angle
1558,769.93,619.58,296.96,1904.14,1.61522,Large_Coll,LH2,2x2,10.5979,20.995   
1559,769.93,619.58,296.96,1931.1,1.61522,Large_Coll,LH2,2x2,10.598,20.995     
1562,743.326,596.048,286.912,1817.94,1.56047,Large_Coll,LH2,2x2,10.5979,20.995
1563,743.326,596.048,286.912,1836.63,1.57217,Large_Coll,LH2,2x2,10.5981,20.995
1565,743.326,596.048,286.912,1836.63,1.57217,Large_Coll,LH2,2x2,10.5979,20.995
1571,743.326,596.048,286.912,1836.63,1.57217,Large_Coll,LH2,2x2,10.5978,20.995
1572,743.326,596.048,286.912,1836.63,1.57217,Large_Coll,LH2,2x2,10.5978,20.995
1644,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976,58.985
1645,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5975,58.985
1646,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5984,58.985
1647,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5981,58.985
1648,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5981,58.985
1649,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.598,58.985
1650,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.598,58.985
1651,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5979,58.985
1658,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976,58.985
1659,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5975,58.985
1660,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5975,58.985
1661,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5975,58.985
1662,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5975,58.985
1663,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5975,58.985
1664,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5974,58.985
1674,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5963,58.985
1675,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.597,58.985
1676,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5975,58.985
1677,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5974,58.985
1686,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5974,58.985
