#! Run[i,0]/  sHB_set[f,1]/  sQ1_set[f,2]/  sQ2_set[f,3]/  sQ3_set[f,4]/   sD_set[f,5]/  Collimator[s,6]/  Target[s,7]/   Raster[s,8]/   TFE[f,9]/   Polarity[s,10]/    Angle[f,11]/
2747     1042.54     660.512     1109.4     731.3     1004.03     Coll     LH2     2x2     10.5979  neg    32.975
2748     1042.54     660.512     1109.4     731.3     1004.03     Coll     LH2     2x2     10.5978  neg    32.975
2751     1042.54     660.512     1109.4     731.3     1004.03     Coll     LH2     2x2     10.5976  neg    32.975
2752     1042.54     660.512     1109.4     731.3     1004.03     Coll     LH2     2x2     10.5979  neg    32.975
2753     1042.54     660.512     1109.4     731.3     1004.03     Coll     LH2     2x2     10.5978  neg    32.975
2754     1042.54     660.512     1109.4     731.3     1004.03     Coll     LH2     2x2     10.5979    neg  32.975
2902     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5975  neg   28.990
2903     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5975  neg   28.990
2904     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5975  neg   28.990
2905     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5973  neg   28.990
2906     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5969  neg   28.990
2907     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5966  neg   28.990
2908     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5961  neg   28.990
2909     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5958  neg   28.990
2910     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5954  neg   28.990
2911     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5951  neg   28.990
2912     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5947  neg   28.990
2913     1207.18     763.74     1282.74     846.501     1161.09     Coll     LH2     2x2     10.5943  neg   28.990
3026     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5976  neg   24.980
3027     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5984  neg   24.980
3028     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5981  neg   24.980
3029     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5981  neg   24.980
3030     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5976  neg   24.980
3031     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5977  neg   24.980
3032     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5978  neg   24.980
3033     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5977  neg   24.980
3034     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5976  neg   24.980
3122     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5975  neg   24.980
3123     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5977  neg   24.980
3148     3358.54     2066.55     3397.52     2276.47     3079.08     Coll     LH2     2x2     10.5974  neg   8.02
3149     3358.54     2066.55     3397.52     2276.47     3079.08     Coll     LH2     2x2     10.5974  neg   8.02
3150     3358.54     2066.55     3397.52     2276.47     3079.08     Coll     LH2     2x2     10.5974  neg   8.02
3151     3358.54     2066.55     3397.52     2276.47     3079.08     Coll     LH2     2x2     10.5974  neg   8.02
3206     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5978  neg   24.955
3207     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5978  neg   24.955
3208     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5978  neg   24.955
3209     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5979  neg   24.955
3210     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5978  neg   24.955
3211     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5978  neg   24.955
3212     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5978  neg   24.955
3213     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5979  neg   24.955
3214     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5977  neg   24.955
3215     1439.27     908.237     1525.42     1008.38     1381     Coll     LH2     2x2     10.5976  neg   24.955
												    
												    
