#-------------------------------------
         #Cut Limits Set             
#-------------------------------------
#Missing Energy:(-0.020000, 0.040000) GeV
#HMS Delta:(-8.000000, 8.000000) 
#SHMS Delta:(-10.000000, 22.000000) 
#ZtarDiff:(-2.500000,2.500000) cm
#Q2: (4.000000,5.000000) GeV2
#SHMS EcalTotTrackNorm: (0.700000,5.000000)
#Coincidence  Time: (10.500000,14.500000) ns
#HMS Collimator Scale: 1.000000
#--------------------------------------
#!Run[i,0]/             charge[f,1]/              cpuLT[f,2]/          cpuLT_err[f,3]/                tLT[f,3]/            hTrkEff[f,4]/        hTrkEff_err[f,5]/            eTrkEff[f,5]/        eTrkEff_err[f,5]/     tgtBoil_factor[f,6]/        avg_current[f,6]/          pS1X_rate[f,7]/        ptrig1_rate[f,8]/        ptrig2_rate[f,9]/       ptrig3_rate[f,10]/       ptrig4_rate[f,11]/       ptrig6_rate[f,12]/       coin_scaler[f,13]/         HMS_Angle[f,13]/          HMS_Pcen[f,14]/        SHMS_Angle[f,15]/         SHMS_Pcen[f,16]/           HMS_Xmp[f,17]/           HMS_Ymp[f,18]/          SHMS_Xmp[f,19]/          SHMS_Ymp[f,20]/              xBPM[f,21]/              yBPM[f,22]/
3306                  158.083                  1.10431                0.0131512                 0.918802                 0.978469               0.00717703                 0.954606               0.00778498                 0.955609                  55.4892                  1085.17                  158.655                  57.2704                  37.2032                 0.134704               0.00224122                     6385                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027181                 0.017427
3307                  141.741                  1.09834                0.0134174                 0.918136                 0.988796               0.00560224                 0.959538               0.00764668                 0.955234                  55.9571                  1091.14                  160.316                  57.6752                  37.5331                 0.135932               0.00240857                     6101                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026334                 0.016488
3308                   127.93                  1.10193                0.0145993                 0.924601                 0.990881               0.00526459                  0.95107               0.00864962                 0.957763                  52.7963                  1031.14                  149.589                   54.366                  35.4561                 0.128333               0.00213364                     5170                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.028468                 0.017241
3309                  158.135                  1.09589                 0.012844                 0.921893                 0.995893               0.00290393                 0.963245                0.0068253                 0.955751                  55.3114                  1077.78                  158.451                  57.0137                  37.1432                 0.134157               0.00232354                     6643                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027315                 0.017566
3310                  143.582                  1.08891                0.0134148                  0.92777                 0.992084               0.00457005                 0.962373               0.00737919                 0.955552                  55.5604                  1082.27                  159.221                  57.2803                  37.3072                 0.134668                0.0023415                     6051                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                  0.02677                   0.0173
3311                  139.807                  1.11048                0.0149629                 0.932751                 0.989446               0.00527704                 0.971098               0.00646262                 0.960888                  48.8896                  960.342                  132.402                  50.4226                  32.9649                 0.118723               0.00173448                     4960                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027005                  0.01715
3312                  175.559                  1.09717                0.0123676                   0.9227                 0.989474               0.00470751                 0.961982               0.00661816                 0.955076                  56.1556                  1094.33                  160.453                  58.0247                  37.7494                 0.135742               0.00229441                     7173                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026378                 0.016628
3313                   163.32                  1.09247                0.0124855                 0.919635                 0.982646               0.00613542                 0.967175                0.0062034                 0.953603                  57.9958                  2652.31                  167.724                  59.8947                  38.9658                 0.140382               0.00248858                     7008                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026561                 0.016972
3314                   184.58                  1.10081                0.0118744                 0.914148                 0.993644                0.0036696                 0.958705                0.0067888                 0.953676                  57.9048                  2471.17                  167.427                  59.9563                  38.9203                  0.14069               0.00244914                     7807                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026436                 0.016996
3315                  177.557                  1.09649                 0.012072                  0.91844                 0.987633               0.00467447                 0.964203               0.00642929                 0.954206                  57.2423                  2496.98                  165.117                  59.3428                  38.5098                 0.138979               0.00242566                     7524                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026309                 0.016924
3316                  196.379                  1.08977                0.0112425                 0.920493                 0.992857               0.00357143                  0.95966               0.00654396                 0.953845                  57.6931                  1123.99                  166.892                  59.9402                  38.8399                 0.140114               0.00253301                     8622                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026636                 0.017052
3317                  164.065                  1.09409                0.0126631                 0.923448                 0.977427               0.00713832                 0.965517               0.00640329                 0.955813                  55.2339                  1078.68                  158.135                  57.1991                   37.232                 0.134311               0.00229702                     6823                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026622                 0.016735
3318                  134.674                  1.09843                0.0140203                 0.922754                 0.984277               0.00703166                 0.959248               0.00799219                 0.956272                  54.6601                  1068.26                  156.584                   56.498                  36.9181                 0.132871                 0.002268                     5588                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026139                 0.017813
3320                  165.222                  1.08988                0.0124397                   0.9249                  0.98998                0.0044811                 0.956407               0.00758859                 0.954806                  56.4921                  1100.64                  162.778                  58.3195                  38.1057                 0.137337               0.00240812                     7043                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026443                 0.016729
3321                  174.097                  1.09408                 0.012276                 0.922344                 0.986742               0.00501089                 0.962963               0.00676201                 0.955242                   55.947                  2471.87                  161.282                  57.8929                  37.8165                  0.13637               0.00233304                     7260                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027112                 0.017279
3322                  166.241                  1.09839                0.0123901                 0.915322                 0.990458               0.00426731                 0.956835               0.00719424                 0.954338                  57.0773                  1114.43                  165.265                  59.1505                  38.6004                 0.139125                0.0024566                     7155                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.029878                  0.01968
3323                  141.137                  1.09104                0.0133662                 0.920524                 0.986547               0.00549213                 0.961821               0.00748755                 0.954673                  56.6594                  2829.66                  163.896                  58.9063                  38.3712                 0.138047               0.00245164                     6107                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.025454                 0.016391
3324                  189.422                  1.09007                0.0114802                 0.924821                 0.988189               0.00482183                 0.961945               0.00634249                 0.955951                  55.0609                  2321.48                  158.639                  57.2194                  37.2281                 0.134065               0.00240421                     8271                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027821                 0.014475
3325                  179.562                  1.09513                0.0121734                 0.924694                 0.986817               0.00498258                 0.959158               0.00710961                 0.956026                  54.9678                  1070.61                  156.493                  56.9843                  37.1519                 0.133617               0.00226223                     7390                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026865                 0.017273
3327                  217.833                  1.12183                0.0122351                 0.928268                 0.984746               0.00508475                 0.971074               0.00546643                 0.960398                  49.5023                  968.995                   133.23                  51.1418                  33.5656                  0.11992                 0.001703                     7494                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026495                  0.01636
3328                  194.049                  1.11686                0.0129188                 0.932665                 0.986056               0.00527042                 0.961998               0.00642354                 0.961432                  48.2104                  3072.25                  129.113                  49.8238                   32.715                  0.11699               0.00166259                     6692                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026469                 0.016921
3329                  153.111                  1.12227                0.0145971                 0.928586                 0.992754                0.0041837                  0.97274                0.0062538                 0.961471                  48.1609                  3641.03                  128.689                  49.7369                  32.6547                 0.116484               0.00165673                     5267                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026777                 0.016979
3330                   147.82                  1.11752                0.0148567                 0.932511                 0.986945                0.0058383                 0.966374               0.00701145                 0.960944                  48.8201                  2371.92                  129.883                  50.4468                  33.1326                 0.117978               0.00167214                     5063                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                  0.02683                 0.016449
3331                  93.3849                  1.13131                 0.019517                 0.934119                  0.98419               0.00790514                 0.979798               0.00714249                 0.963807                  45.2412                  2963.47                  118.981                  46.7927                  30.7363                 0.110019               0.00143884                     2970                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027546                 0.017481
3332                  119.293                  1.12713                0.0169115                 0.930346                 0.984227               0.00705384                 0.962162               0.00825689                 0.961127                  48.5909                  2693.89                  129.116                   50.242                  32.9913                 0.118018               0.00160526                     3941                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026401                 0.017079
3333                  154.059                  1.12711                 0.014869                 0.931134                 0.994667               0.00377124                 0.969274               0.00655086                 0.961892                  47.6354                  932.332                  126.053                  49.1811                  32.3433                 0.115799               0.00157631                     5098                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026208                 0.016714
3334                  162.083                  1.11673                0.0143276                  0.93511                 0.993007               0.00403741                 0.973404               0.00594699                 0.961168                  48.5395                  950.039                  128.979                  50.1603                  32.9564                 0.117946               0.00162913                     5440                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.028231                 0.017845
3335                   145.04                  1.12258                 0.015195                  0.93214                 0.989305               0.00534759                 0.958209               0.00789777                 0.961778                  47.7781                  934.126                  126.617                  49.2603                  32.4547                  0.11589                0.0016016                     4862                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027368                  0.01724
3336                  169.609                  1.13246                0.0140583                 0.922866                 0.982927               0.00645305                  0.96802               0.00627186                 0.960054                  49.9325                  974.731                  134.042                  51.4851                  33.8898                 0.121007                0.0016869                     5730                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026321                 0.017506
3337                   194.39                  1.09629                0.0114872                  0.91649                 0.986644               0.00472192                 0.960638               0.00647102                 0.952772                  59.0351                  1140.67                  170.898                  61.2212                  39.8936                 0.143009               0.00252309                     8308                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026549                 0.016738
3338                  142.724                  1.11698                0.0150613                    0.932                 0.987578               0.00621118                 0.971609               0.00669186                  0.96085                  48.9378                  954.135                  132.049                  50.5008                  33.2059                 0.118691               0.00168836                     4924                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                  0.02642                 0.017001
3339                  189.856                   1.1006                 0.011884                 0.919083                 0.983607               0.00518406                 0.970588               0.00546163                 0.955362                  55.7975                   1081.8                   157.79                  57.7561                  37.7959                 0.134848               0.00229032                     7793                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026489                 0.016541
3340                  165.147                  1.10078                0.0130045                 0.926122                  0.98568               0.00584604                 0.955919               0.00745098                 0.957262                  53.4229                  1036.02                  149.565                   55.262                  36.1817                 0.129554               0.00210558                     6509                  -58.391                   2.0915                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.029535                  0.01932
