# exp. cross sections as a function of missing momentum 
#
# theta_nq = 75.0 
#
# Averaged for all contributing bins
#
# p_miss_av     : fm^-1, missing momentum
# delta_rho     : fm^3, total error in reduced cross section (momentum distribution) 
# delta_rho1    : fm^3, total error in reduced cross section including chi2 of averaging 
#
# Kinematics and cross section for each contributing bin: 
#
#  th_e         : electron scattering angle (deg)
#  Ei           : incident energy (MeV)
#  omega        : energy transfer (MeV) 
#  qlab         : 3-momentum transfer in lab (MeV/c)
#  cos_phi      : cos(phi), phi reaction plane angle
#  pf           : final proton momentum (MeV/c)
#  p_miss       : averaged missing momentum (MeV/c)
#  th_nq        : angle between recoiling neutron and qlab
#  sig_exp      : exp. cross section for this bin (nb)
#  dsig_exp     : error in exp cross section for this bin (nb)
#  sig_red_exp  : exp. red. cross section (rho) for this bin (fm^3)
#  dsig_red_exp : error in red. cross section (drho) for this bin (fm^3)
#  bc           : bin centering correction factor sig_exp * bc = exp. cross section at avg. kinematics
#
#! Nr[i,0]/ p_miss_av[f,1]/ rho[f,2]/ delta_rho[f,3]/ delta_rho1[f,4]/ th_e[f,5]/ Ei[f,6]/ omega[f,7]/ qlab[f,8]/ cos_phi[f, 9]/ pf[f,10]/ p_miss[f,11]/ th_nq[f,12]/ sig_red_exp[f,13]/ dsig_red_exp[f,14]/ bc[f,15]/ 
0 0.137  5.935e+00  3.513e-01  3.513e-01 27.348 5008.410 1864.087 2644.832 0.01708 2637.805   28.284  75.317  5.979e+00  3.538e-01 1.01689 
1 0.293  1.496e+00  6.368e-02  2.502e-01 27.464 5008.410 1863.846 2650.236 0.09078 2636.124   57.677  75.232  1.807e+00  1.004e-01 1.16377 
1 0.293  1.496e+00  6.368e-02  2.502e-01 26.908 5008.480 1815.994 2599.992 -0.65552 2585.133   59.816  74.977  1.288e+00  8.252e-02 1.10570 
2 0.502  2.465e-01  9.054e-03  3.193e-02 27.461 5008.410 1854.139 2645.344 0.23999 2622.533   95.699  75.201  3.039e-01  1.821e-02 1.05826 
2 0.502  2.465e-01  9.054e-03  3.193e-02 27.256 5008.480 1836.268 2626.769 -0.70536 2603.337   97.610  75.074  2.782e-01  1.802e-02 1.06681 
2 0.502  2.465e-01  9.054e-03  3.193e-02 26.629 5008.500 1781.826 2569.714 -0.90909 2544.893  102.038  74.816  2.006e-01  1.271e-02 1.08481 
3 0.700  5.585e-02  2.343e-03  3.193e-03 27.497 5008.410 1851.485 2645.792 0.22635 2614.575  135.354  75.235  6.390e-02  5.520e-03 1.05546 
3 0.700  5.585e-02  2.343e-03  3.193e-03 27.511 5008.480 1852.981 2647.237 -0.67037 2616.032  136.226  75.318  5.814e-02  4.959e-03 1.06181 
3 0.700  5.585e-02  2.343e-03  3.193e-03 26.944 5008.500 1803.557 2595.711 -0.88912 2563.009  139.171  74.912  5.227e-02  3.015e-03 1.08479 
4 0.907  1.378e-02  6.359e-04  1.103e-03 27.660 5008.480 1865.333 2660.367 -0.57347 2622.313  175.565  75.629  1.697e-02  2.373e-03 1.06707 
