Run,Q1_set,Q2_set,Q3_set,D_set,NMR_set,hColl,target,raster,TFE
1758,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976
1759,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5977
1760,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976
1761,195.34,155.223,75.815,458.66,0.410653,Large_Coll,LH2,2x2,10.5976
