#! Run[i,0]/   hQ1_set[f,1]/   hQ2_set[f,2]/   hQ3_set[f,3]/    hD_set[f,4]/    NMR_true[f,5]/  sHB_set[f,6]/    sQ1_set[f,7]/   sQ2_set[f,8]/   sQ3_set[f,9]/    sD_set[f,10]/   hms_Collimator[s,11]/  shms_Collimator[s,12]/  Target[s,13]/    Target_Mass[f,14]/    Raster[s,15]/   TFE[f,16]/    hms_Angle[f,17]/    shms_Angle[f,18]/
3243	382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.598                     37.29    12.20
3244    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.598		      37.29    12.20
3245   	382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5987		      37.29    12.20
3246    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5982		      37.29    12.20
3247    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5981		      37.29    12.20
3248    382.755    304.304    148.097    900.6    0.804386    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5981		      37.29    12.20
3249    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5981		      37.29    12.20
3250    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5981		      37.29    12.20
3251    382.755    304.304    148.097    900.6    0.804386    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    LH2    1.00794    2x2    10.5981		      37.29    12.20
3252    382.755    304.304    148.097    900.6    0.804385    2941.44    1811.5    3016.17    2015.45    2732.87    Large_Coll    Coll    Al_Dummy_10cm    26.98    2x2    10.5983	      37.29    12.20
