#!Run[i,0]/             charge[f,1]/              cpuLT[f,2]/                tLT[f,3]/            hTrkEff[f,4]/            eTrkEff[f,5]/        avg_current[f,6]/          pS1X_rate[f,7]/        ptrig1_rate[f,8]/        ptrig2_rate[f,9]/       ptrig3_rate[f,10]/       ptrig4_rate[f,11]/       ptrig6_rate[f,12]/         HMS_Angle[f,13]/          HMS_Pcen[f,14]/        SHMS_Angle[f,15]/         SHMS_Pcen[f,16]/           HMS_Xmp[f,17]/           HMS_Ymp[f,18]/          SHMS_Xmp[f,19]/          SHMS_Ymp[f,20]/              xBPM[f,21]/              yBPM[f,22]/
3371                   51.173                 0.991912                 0.942802                 0.987002                 0.972701                  59.7393                  680.647                   45.307                  12.0565                  6.46789                  281.478                   51.209                  -33.545                  3.47588                    13.93                  8.53596                 0.083545                 0.236799                   -0.126                    -0.06                 0.026435                 0.016402
3288                  145.933                 0.982623                 0.920852                   0.9875                  0.97003                  54.8231                  827.439                  80.3902                   30.818                  21.0565                  381.153                  110.989                  -37.338                  2.93554                   12.194                  8.53596                 0.083188                  0.28602                   -0.126                    -0.06                 0.026316                 0.016888
3374                  52.5754                 0.938622                 0.844352                 0.989445                 0.956853                  59.5961                  1352.03                  271.992                  146.572                  116.228                  1025.54                   387.23                    -42.9                  2.31039                    9.928                  8.53596                 0.088909                    0.324                   -0.126                    -0.06                 0.026541                 0.016522
3377                  38.0881                 0.849612                  0.74047                 0.990597                 0.940737                  59.6417                  1984.96                  634.447                  387.689                  315.211                  2582.41                  1015.26                  -47.605                  1.89123                    8.495                  8.53596                 0.099545                    0.324                   -0.126                    -0.06                 0.026455                 0.017394
