#-------------------------------------
         #Cut Limits Set             
#-------------------------------------
#Missing Energy:(-0.020000, 0.045000) GeV
#HMS Delta:(-8.000000, 8.000000) 
#SHMS Delta:(-10.000000, 22.000000) 
#ZtarDiff:(-2.000000,2.000000) cm
#Q2: (4.000000,5.000000) GeV2
#SHMS EcalTotTrackNorm: (0.700000,5.000000)
#Coincidence  Time: (10.500000,14.500000) ns
#HMS Collimator Scale: 1.000000
#--------------------------------------
#!Run[i,0]/             charge[f,1]/              cpuLT[f,2]/          cpuLT_err[f,3]/                tLT[f,3]/            hTrkEff[f,4]/        hTrkEff_err[f,5]/            eTrkEff[f,5]/        eTrkEff_err[f,5]/     tgtBoil_factor[f,6]/        avg_current[f,6]/          pS1X_rate[f,7]/        ptrig1_rate[f,8]/        ptrig2_rate[f,9]/       ptrig3_rate[f,10]/       ptrig4_rate[f,11]/       ptrig6_rate[f,12]/       coin_scaler[f,13]/         HMS_Angle[f,13]/          HMS_Pcen[f,14]/        SHMS_Angle[f,15]/         SHMS_Pcen[f,16]/           HMS_Xmp[f,17]/           HMS_Ymp[f,18]/          SHMS_Xmp[f,19]/          SHMS_Ymp[f,20]/              xBPM[f,21]/              yBPM[f,22]/
3341                  146.032                  1.08449                0.0124836                 0.929925                 0.996078               0.00277297                 0.968939               0.00517688                 0.959743                  50.3207                  979.217                  137.192                  52.0369                  34.1634                 0.145785               0.00239797                     6959                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.028054                 0.017541
3342                    144.3                  1.08631                0.0127475                 0.930106                  0.98951               0.00428232                 0.959184               0.00615329                 0.959991                  50.0109                  974.472                   135.71                  51.6714                  33.9937                 0.145203               0.00231686                     6685                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026517                 0.017626
3343                  128.536                  1.08084                  0.01352                  0.93602                 0.985537               0.00546643                 0.967526                0.0055692                 0.961145                  48.5688                  947.781                  129.692                  50.1463                  33.0468                 0.141249               0.00223429                     5913                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026248                 0.018731
3344                  160.332                  1.08755                0.0121691                 0.929588                 0.976015               0.00665231                 0.968929                0.0050404                 0.960037                  49.9534                  2307.03                  133.898                  51.6735                  33.9748                 0.144993               0.00228812                     7344                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.021054                 0.016954
3345                  158.676                  1.07175                0.0110221                 0.917673                 0.989781               0.00386241                 0.960452               0.00564972                 0.953554                  58.0576                  2691.54                  166.817                  60.2503                  39.3291                 0.168537               0.00322786                     8822                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026391                 0.016907
3346                  148.266                  1.08098                0.0121092                 0.923771                 0.983942               0.00484179                 0.964004               0.00562171                 0.956595                  54.2558                   1052.2                  151.023                  56.3587                  36.8494                 0.157873               0.00269767                     7372                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026399                 0.016733
3347                  162.523                  1.08022                 0.011424                 0.922436                 0.985673               0.00453048                 0.965232               0.00536485                 0.956651                  54.1867                  1051.61                  150.623                  56.3122                   36.776                 0.157881               0.00275963                     8277                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026982                  0.01695
3350                  115.759                  1.07552                0.0135406                 0.927768                  0.98081               0.00639659                 0.961454               0.00651551                  0.95721                  53.4873                  1039.41                  148.446                  55.6284                  36.3769                 0.155239               0.00271044                     5866                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.027091                  0.01586
3351                  143.004                  1.08139                0.0124702                  0.92858                 0.989848               0.00414465                 0.960695                 0.005994                 0.958663                  51.6707                  1004.23                  142.283                  53.6691                  35.1762                 0.150261               0.00251265                     6954                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026351                 0.016439
3352                  154.935                  1.08377                0.0122705                 0.932541                 0.991582               0.00376442                 0.963145               0.00549402                 0.959801                  50.2484                  2366.48                  135.536                  52.1973                  34.2644                 0.146297               0.00233445                     7198                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026639                 0.016976
3353                  128.267                  1.09539                0.0138846                 0.928517                 0.987315               0.00517863                 0.970438               0.00548946                 0.961189                   48.514                  946.777                  128.859                   50.265                  33.0973                 0.141063               0.00214908                     5682                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026531                 0.017102
3354                  107.138                   1.0882                0.0152634                 0.935522                 0.986911               0.00585358                 0.955357               0.00754602                 0.961621                  47.9735                  937.522                  127.171                  49.6849                   32.754                 0.139652               0.00209155                     4671                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.025935                 0.017227
3355                   103.96                  1.08648                0.0152317                  0.93326                 0.995037               0.00350921                 0.962359                0.0068723                  0.96072                  49.1003                  957.691                  130.687                  50.9182                  33.5254                  0.14285               0.00221177                     4683                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.026208                 0.017483
3356                  130.047                  1.09555                 0.013746                 0.929158                 0.986135               0.00490195                 0.974129               0.00507365                 0.961146                  48.5681                   2547.9                  129.427                  50.4246                   33.153                 0.141588               0.00216535                     5798                      -55                   2.1925                   12.194                  8.53425                    0.107                    0.324                   -0.126                    -0.06                 0.033631                 0.021954
