#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
95.000000   0.020000   7.398383394806e-07   7.104574288336e-07
95.000000   0.060000   1.939446275022e-07   1.812450310526e-07
95.000000   0.100000   3.885018682642e-08   3.480263499919e-08
95.000000   0.140000   9.998218758289e-09   7.979225568800e-09
95.000000   0.180000   3.048741270627e-09   2.285781076427e-09
95.000000   0.220000   1.105384897757e-09   9.157968320974e-10
95.000000   0.260000   4.559041850556e-10   2.925136830794e-10
95.000000   0.300000   2.161627395974e-10   2.006492778595e-10
