#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
15.000000   0.020000   7.139515553311e-07   6.915914336649e-07
15.000000   0.060000   1.859800722590e-07   1.768239462362e-07
15.000000   0.100000   4.314420381870e-08   3.979443827336e-08
15.000000   0.140000   1.186543966587e-08   1.070666571421e-08
15.000000   0.180000   3.910582569375e-09   3.473728531920e-09
15.000000   0.220000   1.466304181172e-09   1.275234102644e-09
15.000000   0.260000   6.281967923289e-10   5.378171901509e-10
15.000000   0.300000   2.994654449714e-10   2.555942346993e-10
15.000000   0.340000   1.681292017052e-10   1.442433897191e-10
15.000000   0.420000   4.368610805241e-11   3.713988703547e-11
15.000000   0.460000   3.108346905320e-11   2.656745104631e-11
15.000000   0.500000   2.200259009769e-11   1.914550508111e-11
15.000000   0.540000   1.538462929611e-11   1.342823867351e-11
15.000000   0.580000   1.087718547243e-11   9.550302074900e-12
15.000000   0.620000   7.646677302441e-12   6.707398771073e-12
15.000000   0.660000   5.398933296702e-12   4.843165432118e-12
15.000000   0.700000   3.826563198248e-12   3.384214111688e-12
15.000000   0.740000   2.719258483601e-12   2.419894204127e-12
15.000000   0.780000   1.948460383371e-12   1.753772220962e-12
15.000000   0.820000   1.329612542504e-12   1.197458751678e-12
15.000000   0.860000   9.441317453789e-13   8.492190478569e-13
15.000000   0.900000   7.027452692852e-13   6.566320198198e-13
