#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
35.000000   0.020000   7.228684087172e-07   6.965848358849e-07
35.000000   0.060000   1.863500239211e-07   1.754392917222e-07
35.000000   0.100000   4.126789542966e-08   3.757196512508e-08
35.000000   0.140000   1.073297598320e-08   9.500768207425e-09
35.000000   0.180000   3.476012529406e-09   2.967509706679e-09
35.000000   0.220000   1.276861923000e-09   1.045799541593e-09
35.000000   0.260000   5.314491683019e-10   4.238709720359e-10
35.000000   0.300000   2.473832271023e-10   2.006486333156e-10
35.000000   0.340000   1.273562099432e-10   1.042415289993e-10
35.000000   0.380000   6.427489832227e-11   5.347562715919e-11
35.000000   0.420000   4.118960229535e-11   3.481944857571e-11
35.000000   0.460000   2.744262248476e-11   2.417920373745e-11
35.000000   0.500000   1.768873340503e-11   1.547507348775e-11
35.000000   0.540000   1.218433833510e-11   1.051827885419e-11
35.000000   0.580000   8.532146284084e-12   7.458310718102e-12
35.000000   0.620000   5.925853009670e-12   5.153826345938e-12
35.000000   0.660000   4.086033087567e-12   3.547388908134e-12
35.000000   0.700000   2.801106980497e-12   2.519116410337e-12
35.000000   0.740000   1.909772706720e-12   1.784490033465e-12
35.000000   0.780000   1.287237928386e-12   1.243115454712e-12
35.000000   0.820000   8.615856206827e-13   9.047066514824e-13
35.000000   0.860000   5.713802649641e-13   6.774988326231e-13
35.000000   0.900000   3.757746599710e-13   5.172943724690e-13
35.000000   0.940000   2.444244957972e-13   4.024430281927e-13
35.000000   0.980000   1.576025602305e-13   3.218482757241e-13
35.000000   1.020000   1.010167882921e-13   2.656567728867e-13
35.000000   1.060000   6.457271299049e-14   2.160738136946e-13
35.000000   1.100000   4.089008542458e-14   1.724427427017e-13
35.000000   1.140000   2.622926530512e-14   1.378007712926e-13
35.000000   1.180000   1.760154663067e-14   1.101840743415e-13
