#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
85.000000   0.020000   7.365792200313e-07   7.121699626174e-07
85.000000   0.060000   1.847166724348e-07   1.746868323823e-07
85.000000   0.100000   3.840252802932e-08   3.296282757839e-08
85.000000   0.140000   9.717800930651e-09   7.638767084872e-09
85.000000   0.180000   2.902795011145e-09   1.952252267819e-09
85.000000   0.220000   9.953075198653e-10   6.005686412997e-10
85.000000   0.260000   3.893462848463e-10   3.336104058269e-10
85.000000   0.300000   1.757513901799e-10   1.732070162150e-10
85.000000   0.340000   9.287450310007e-11   1.472080900521e-10
85.000000   0.380000   5.607049544299e-11   9.560251858696e-11
85.000000   0.420000   3.774484232460e-11   7.354719328465e-11
85.000000   0.460000   2.689972069441e-11   4.579273495198e-11
85.000000   0.500000   1.985298547465e-11   3.299040636318e-11
