#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
55.000000   0.020000   7.180377824761e-07   6.951651565429e-07
55.000000   0.060000   1.821185218381e-07   1.718499652693e-07
55.000000   0.100000   3.935746418131e-08   3.529414965064e-08
55.000000   0.140000   1.014394137884e-08   8.412004979710e-09
55.000000   0.180000   3.067104763029e-09   2.220449561167e-09
55.000000   0.220000   1.088414570817e-09   7.617831901047e-10
55.000000   0.260000   4.383984686421e-10   2.944126146070e-10
55.000000   0.300000   2.040014902186e-10   1.491632738671e-10
55.000000   0.340000   1.096121737630e-10   9.220319074231e-11
55.000000   0.380000   6.667201934154e-11   6.624460741525e-11
55.000000   0.420000   4.465989237528e-11   5.182829888648e-11
55.000000   0.460000   3.141721326864e-11   3.544493899586e-11
55.000000   0.500000   2.373311035055e-11   2.912365198961e-11
55.000000   0.540000   1.790654112505e-11   2.357776664183e-11
55.000000   0.580000   1.349929749319e-11   1.939502840902e-11
55.000000   0.620000   9.931839448124e-12   1.396962590758e-11
55.000000   0.660000   7.518479701186e-12   1.157817395872e-11
55.000000   0.700000   5.676506245779e-12   9.430187917341e-12
55.000000   0.740000   4.087868997991e-12   6.594390496374e-12
55.000000   0.780000   2.950908392469e-12   5.078895954195e-12
55.000000   0.820000   2.108671631922e-12   3.936126841556e-12
55.000000   0.860000   1.488549883721e-12   3.049409619150e-12
55.000000   0.900000   1.044064967456e-12   2.237545197579e-12
55.000000   0.940000   7.184628498043e-13   1.695929546994e-12
55.000000   0.980000   4.856148304760e-13   1.130409504433e-12
55.000000   1.020000   3.283292459408e-13   8.259064880996e-13
55.000000   1.060000   2.124878942616e-13   5.552984433342e-13
55.000000   1.100000   1.421181434866e-13   5.713476886793e-13
55.000000   1.140000   8.898576644749e-14   1.588083590856e-13
55.000000   1.180000   5.404387389860e-14   9.279533321318e-14
