#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
25.000000   0.020000   7.150687692990e-07   6.929651128552e-07
25.000000   0.060000   1.844041665881e-07   1.753851446771e-07
25.000000   0.100000   4.168694269539e-08   3.866947307946e-08
25.000000   0.140000   1.127050632757e-08   1.009484387149e-08
25.000000   0.180000   3.666429282083e-09   3.212163126101e-09
25.000000   0.220000   1.354332675124e-09   1.156359284826e-09
25.000000   0.260000   5.674667722454e-10   4.772128906630e-10
25.000000   0.300000   2.659479601596e-10   2.236220951709e-10
25.000000   0.340000   1.404106810980e-10   1.184983858193e-10
25.000000   0.380000   6.991979740323e-11   5.956120782680e-11
25.000000   0.420000   4.262536459395e-11   3.594966300719e-11
25.000000   0.460000   2.954081360474e-11   2.484601019131e-11
25.000000   0.500000   1.893976072655e-11   1.601342148502e-11
25.000000   0.540000   1.354125788269e-11   1.165577351051e-11
25.000000   0.580000   9.639306907077e-12   8.201987243979e-12
25.000000   0.620000   6.795599937582e-12   5.855603468592e-12
25.000000   0.660000   4.781166772363e-12   4.113694778419e-12
25.000000   0.700000   3.337388093697e-12   2.934516865924e-12
25.000000   0.740000   2.313838224045e-12   1.927970275954e-12
25.000000   0.780000   1.591176245707e-12   1.259952790625e-12
25.000000   0.820000   1.080543571280e-12   8.769811698670e-13
25.000000   0.860000   7.239602112867e-13   6.292978513746e-13
25.000000   0.900000   4.813827237803e-13   4.379463637073e-13
25.000000   0.940000   3.159761794414e-13   3.123379309505e-13
25.000000   0.980000   2.102554983475e-13   2.419627600945e-13
25.000000   1.020000   1.337204846352e-13   1.766505897515e-13
25.000000   1.060000   8.675528124270e-14   1.605350805470e-13
25.000000   1.100000   5.627314300246e-14   1.371534616217e-13
25.000000   1.140000   3.681373798392e-14   1.226069082512e-13
25.000000   1.180000   2.450308635820e-14   1.106971853394e-13
