#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
45.000000   0.020000   7.291732815748e-07   7.039228800502e-07
45.000000   0.060000   1.820730163250e-07   1.720733615170e-07
45.000000   0.100000   4.013842849852e-08   3.660334957064e-08
45.000000   0.140000   1.036450615602e-08   8.973784202551e-09
45.000000   0.180000   3.185204912670e-09   2.583766452101e-09
45.000000   0.220000   1.139933219788e-09   9.017184035977e-10
45.000000   0.260000   4.703319359821e-10   3.637309721936e-10
45.000000   0.300000   2.205515318906e-10   1.680809536504e-10
45.000000   0.340000   1.193345965681e-10   9.986643348047e-11
45.000000   0.380000   7.305994288418e-11   6.603823481855e-11
45.000000   0.420000   4.791264799882e-11   4.398755237619e-11
45.000000   0.460000   3.538001200376e-11   3.362537529113e-11
45.000000   0.500000   2.649580734330e-11   2.590420535603e-11
45.000000   0.540000   1.969693702363e-11   1.910384941161e-11
45.000000   0.580000   1.510085277236e-11   1.477624502824e-11
45.000000   0.620000   1.139170169129e-11   1.142880887333e-11
45.000000   0.660000   8.518318862374e-12   8.784697168662e-12
45.000000   0.700000   6.379876205392e-12   6.734817639867e-12
45.000000   0.740000   4.638524399534e-12   4.791975904651e-12
45.000000   0.780000   3.351012011202e-12   3.543537269062e-12
45.000000   0.820000   2.392080248707e-12   2.683854521394e-12
45.000000   0.860000   1.688773468568e-12   2.042161981789e-12
45.000000   0.900000   1.177725325233e-12   1.541126263720e-12
45.000000   0.940000   8.097119841261e-13   1.132167624381e-12
45.000000   0.980000   5.486136042120e-13   8.875400246106e-13
45.000000   1.020000   3.659896805595e-13   6.078729575716e-13
45.000000   1.060000   2.401210420178e-13   4.328306374460e-13
45.000000   1.100000   1.543804039578e-13   3.147718846423e-13
45.000000   1.140000   9.716169842264e-14   2.144171414112e-13
45.000000   1.180000   6.236220804498e-14   1.486187173054e-13
