#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
75.000000   0.020000   7.015332232173e-07   6.790740719205e-07
75.000000   0.060000   1.857815372268e-07   1.739182340314e-07
75.000000   0.100000   4.034164292707e-08   3.581533284965e-08
75.000000   0.140000   1.018740992878e-08   7.805378928495e-09
75.000000   0.180000   3.107398306606e-09   1.864957644753e-09
75.000000   0.220000   1.089100199597e-09   6.444791250106e-10
75.000000   0.260000   4.287001400770e-10   2.281155337192e-10
75.000000   0.300000   1.871955362378e-10   1.546811069529e-10
75.000000   0.340000   9.378038456535e-11   1.211530001633e-10
75.000000   0.380000   5.136205355269e-11   1.161156795068e-10
75.000000   0.420000   3.037046770947e-11   1.084251252350e-10
75.000000   0.460000   1.896179911054e-11   7.084025382791e-11
75.000000   0.500000   1.223187567712e-11   4.738823569890e-11
75.000000   0.540000   8.053935198723e-12   3.471985402238e-11
75.000000   0.580000   5.386627597807e-12   2.257119628427e-11
75.000000   0.620000   3.632684092939e-12   1.505975330807e-11
75.000000   0.660000   2.486427424830e-12   8.200213673670e-12
75.000000   0.700000   1.669630472949e-12   4.419187572884e-12
75.000000   0.740000   1.092234928052e-12   2.524571218689e-12
