#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
55.000000   0.020000   7.190931461948e-07   6.954534958690e-07
55.000000   0.060000   1.828266263301e-07   1.721812846802e-07
55.000000   0.100000   3.975481399893e-08   3.551375267444e-08
55.000000   0.140000   1.036492251359e-08   8.538346991159e-09
55.000000   0.180000   3.189865399346e-09   2.284682051678e-09
55.000000   0.220000   1.153930570357e-09   7.940392917149e-10
55.000000   0.260000   4.690243479318e-10   3.037880031299e-10
55.000000   0.300000   2.141736553614e-10   1.465268643897e-10
55.000000   0.340000   1.084458921734e-10   8.275117749428e-11
55.000000   0.380000   5.982181083512e-11   5.389356437488e-11
55.000000   0.420000   3.556171806768e-11   3.879875447580e-11
55.000000   0.460000   2.148821532818e-11   2.431340261906e-11
55.000000   0.500000   1.452190048506e-11   1.927385844358e-11
55.000000   0.540000   9.829654572762e-12   1.538859398123e-11
55.000000   0.580000   6.694767908583e-12   1.264583462076e-11
55.000000   0.620000   4.418121339221e-12   8.771285323078e-12
55.000000   0.660000   3.073543598923e-12   7.386862293447e-12
55.000000   0.700000   2.145589141983e-12   6.163446918323e-12
55.000000   0.740000   1.411566792433e-12   4.234488275224e-12
55.000000   0.780000   9.424913932549e-13   3.357062937424e-12
55.000000   0.820000   6.249178985964e-13   2.669948742772e-12
55.000000   0.860000   4.107786107270e-13   2.128974321541e-12
55.000000   0.900000   2.697070265448e-13   1.613528724067e-12
55.000000   0.940000   1.745615016958e-13   1.240418658385e-12
55.000000   0.980000   1.116832020516e-13   8.487926703556e-13
55.000000   1.020000   7.237340077726e-14   6.291275798756e-13
55.000000   1.060000   4.544401958545e-14   4.211339022576e-13
55.000000   1.100000   3.006448104897e-14   5.671037102433e-13
55.000000   1.140000   1.912858500879e-14   1.187971546004e-13
55.000000   1.180000   1.225043615629e-14   7.988863311884e-14
