#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
9   1   85.000000   0.020000   2533.798917  1.866343630000e-03   1.804495480000e-03    7.365792200313e-07   7.121699626174e-07   80
9   2   85.000000   0.060000   2527.498232  4.668710630000e-04   4.415206600000e-04    1.847166724348e-07   1.746868323823e-07   80
9   3   85.000000   0.100000   2570.080637  9.869759370000e-05   8.471712490000e-05    3.840252802932e-08   3.296282757839e-08   80
9   4   85.000000   0.140000   2637.923866  2.563481900000e-05   2.015048600000e-05    9.717800930651e-09   7.638767084872e-09   80
9   5   85.000000   0.180000   2716.688774  7.885990620000e-06   5.303661820000e-06    2.902795011145e-09   1.952252267819e-09   80
9   6   85.000000   0.220000   2805.629139  2.792463780000e-06   1.684972880000e-06    9.953075198653e-10   6.005686412997e-10   80
9   7   85.000000   0.260000   2890.866778  1.125548240000e-06   9.644232390000e-07    3.893462848463e-10   3.336104058269e-10   80
9   8   85.000000   0.300000   2961.686098  5.205204490000e-07   5.129848120000e-07    1.757513901799e-10   1.732070162150e-10   80
9   9   85.000000   0.340000   3018.972319  2.803855540000e-07   4.444171490000e-07    9.287450310007e-11   1.472080900521e-10   80
9   10   85.000000   0.380000   3103.394925  1.740088910000e-07   2.966923710000e-07    5.607049544299e-11   9.560251858696e-11   80
9   11   85.000000   0.420000   3221.065542  1.215786110000e-07   2.369003300000e-07    3.774484232460e-11   7.354719328465e-11   80
9   12   85.000000   0.460000   3370.694831  9.067074950000e-08   1.543533350000e-07    2.689972069441e-11   4.579273495198e-11   80
9   13   85.000000   0.500000   3615.272564  7.177395370000e-08   1.192693110000e-07    1.985298547465e-11   3.299040636318e-11   80
