#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
65.000000   0.020000   7.315267659831e-07   7.077533079329e-07
65.000000   0.060000   1.850390691599e-07   1.754259416980e-07
65.000000   0.100000   3.983426677384e-08   3.549495955592e-08
65.000000   0.140000   1.013801655856e-08   8.224707159336e-09
65.000000   0.180000   3.032699315945e-09   2.269409872382e-09
65.000000   0.220000   1.058166886060e-09   6.195379757152e-10
65.000000   0.260000   4.151699415930e-10   2.579814536363e-10
65.000000   0.300000   1.903264522013e-10   1.290366153761e-10
65.000000   0.340000   1.010568906415e-10   9.902781716611e-11
65.000000   0.380000   6.129238600843e-11   8.841944209440e-11
65.000000   0.420000   4.079631840671e-11   7.793062250213e-11
65.000000   0.460000   2.871328650424e-11   7.176466526528e-11
65.000000   0.500000   2.089227118973e-11   6.208602669165e-11
65.000000   0.540000   1.542499121236e-11   5.889837071291e-11
65.000000   0.580000   1.144848386828e-11   4.511638231516e-11
65.000000   0.620000   8.534778142572e-12   3.565552562185e-11
65.000000   0.660000   6.331581772930e-12   2.147997419622e-11
65.000000   0.700000   4.614312931610e-12   1.160905355517e-11
65.000000   0.740000   3.408360058630e-12   6.406497880006e-12
65.000000   0.780000   2.565141963244e-12   3.094913946278e-12
