#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
95.000000   0.020000   7.387923522835e-07   7.100882909463e-07
95.000000   0.060000   1.932439227688e-07   1.808874362115e-07
95.000000   0.100000   3.847404284270e-08   3.458070896244e-08
95.000000   0.140000   9.793051679473e-09   7.858572614988e-09
95.000000   0.180000   2.936170242974e-09   2.217686419006e-09
95.000000   0.220000   1.044830589608e-09   8.756484078765e-10
95.000000   0.260000   4.261963082270e-10   2.808538232809e-10
95.000000   0.300000   2.040537907139e-10   1.954213424944e-10
