#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
2   1   15.000000   0.020000   2371.831012  1.690848270000e-03   1.639605590000e-03    7.128873268987e-07   6.912826342621e-07   80
2   2   15.000000   0.060000   2112.479989  3.913444520000e-04   3.728165890000e-04    1.852535664422e-07   1.764828973251e-07   80
2   3   15.000000   0.100000   1790.029039  7.647028350000e-05   7.081494140000e-05    4.272013572625e-08   3.956077798579e-08   80
2   4   15.000000   0.140000   1420.999236  1.651127430000e-05   1.500599380000e-05    1.161948147592e-08   1.056017020969e-08   80
2   5   15.000000   0.180000   1234.109963  4.648067470000e-06   4.177993300000e-06    3.766331696003e-09   3.385430330571e-09   80
2   6   15.000000   0.220000   1134.300837  1.571642520000e-06   1.392474530000e-06    1.385560575056e-09   1.227606014717e-09   80
2   7   15.000000   0.260000   1060.742465  6.229323150000e-07   5.481173990000e-07    5.872606552053e-10   5.167299482066e-10   80
2   8   15.000000   0.300000   1007.965263  2.857760190000e-07   2.531279030000e-07    2.835177257492e-10   2.511276055750e-10   80
2   9   15.000000   0.340000   943.798813  1.567001940000e-07   1.403110470000e-07    1.660313531248e-10   1.486662677123e-10   80
2   11   15.000000   0.420000   3648.759050  2.084388140000e-07   1.843218510000e-07    5.712594642280e-11   5.051631211439e-11   580_set1
2   11   15.000000   0.420000   3692.228705  2.102082220000e-07   1.859085710000e-07    5.693261138329e-11   5.035131511443e-11   580_set2
2   12   15.000000   0.460000   3193.042146  1.448412090000e-07   1.283723260000e-07    4.536150867330e-11   4.020376810899e-11   580_set1
2   12   15.000000   0.460000   3180.312032  1.426260620000e-07   1.273893860000e-07    4.484656240171e-11   4.005562495699e-11   580_set2
2   13   15.000000   0.500000   2749.902637  9.830820560000e-08   8.882319180000e-08    3.574970410852e-11   3.230048606263e-11   580_set2
2   13   15.000000   0.500000   2738.160928  9.754478190000e-08   8.827632670000e-08    3.562419611737e-11   3.223927629574e-11   580_set1
2   14   15.000000   0.540000   2334.571841  6.539381300000e-08   5.927326900000e-08    2.801105189892e-11   2.538935318204e-11   580_set1
2   14   15.000000   0.540000   2328.449695  6.499823180000e-08   5.882847310000e-08    2.791481041638e-11   2.526508226754e-11   580_set2
2   15   15.000000   0.580000   1998.699866  4.392866790000e-08   3.984578330000e-08    2.197862152656e-11   1.993585128904e-11   580_set1
2   15   15.000000   0.580000   1995.716154  4.383993150000e-08   3.979429230000e-08    2.196701740983e-11   1.993985578572e-11   580_set2
2   16   15.000000   0.620000   2667.874223  4.816154760000e-08   4.380031300000e-08    1.805240561373e-11   1.641768289614e-11   750_set2
2   16   15.000000   0.620000   1723.711543  2.964684180000e-08   2.664732000000e-08    1.719942174803e-11   1.545926875539e-11   580_set1
2   16   15.000000   0.620000   1724.334242  2.960996520000e-08   2.675445560000e-08    1.717182462587e-11   1.551581761142e-11   580_set2
2   16   15.000000   0.620000   2530.357630  4.217511790000e-08   3.830488400000e-08    1.666765100710e-11   1.513813049423e-11   750_set1
2   16   15.000000   0.620000   2540.774389  4.065137730000e-08   3.730425980000e-08    1.599960133257e-11   1.468224017115e-11   750_set3
2   17   15.000000   0.660000   1520.299229  2.051913920000e-08   1.874077880000e-08    1.349677669277e-11   1.232703302252e-11   580_set1
2   17   15.000000   0.660000   1516.854852  2.046662940000e-08   1.867940090000e-08    1.349280675934e-11   1.231456053648e-11   580_set2
2   17   15.000000   0.660000   2244.488298  2.937232520000e-08   2.787372470000e-08    1.308642385268e-11   1.241874360621e-11   750_set2
2   17   15.000000   0.660000   2239.507099  2.930357870000e-08   2.801064590000e-08    1.308483403026e-11   1.250750484895e-11   750_set1
2   17   15.000000   0.660000   2214.928168  2.846730870000e-08   2.584547180000e-08    1.285247490699e-11   1.166876297543e-11   750_set3
2   18   15.000000   0.700000   1375.837606  1.449790690000e-08   1.319008410000e-08    1.053751317508e-11   9.586948374196e-12   580_set1
2   18   15.000000   0.700000   1376.257856  1.444493420000e-08   1.312260140000e-08    1.049580508262e-11   9.534987460954e-12   580_set2
2   18   15.000000   0.700000   1932.783030  1.949292790000e-08   1.779000830000e-08    1.008541962416e-11   9.204348353576e-12   750_set3
2   18   15.000000   0.700000   1918.915633  1.910165510000e-08   1.735448840000e-08    9.954400689381e-12   9.043903807729e-12   750_set2
2   18   15.000000   0.700000   1914.412848  1.903227160000e-08   1.727647150000e-08    9.941571181933e-12   9.024423085151e-12   750_set1
2   19   15.000000   0.740000   1284.920885  1.048733570000e-08   9.498963130000e-09    8.161853249043e-12   7.392644357244e-12   580_set2
2   19   15.000000   0.740000   1284.833379  1.042481510000e-08   9.438328440000e-09    8.113748654408e-12   7.345955198756e-12   580_set1
2   19   15.000000   0.740000   1681.311571  1.294118630000e-08   1.175095610000e-08    7.697077997449e-12   6.989160309538e-12   750_set3
2   19   15.000000   0.740000   1681.068718  1.288979500000e-08   1.175358430000e-08    7.667619331669e-12   6.991733398016e-12   750_set2
2   19   15.000000   0.740000   1677.261338  1.279800480000e-08   1.172946950000e-08    7.630298576643e-12   6.993227134172e-12   750_set1
2   20   15.000000   0.780000   1231.102867  7.868208920000e-09   7.147628810000e-09    6.391187228061e-12   5.805874554916e-12   580_set1
2   20   15.000000   0.780000   1222.394413  7.680258710000e-09   6.963726130000e-09    6.282962870512e-12   5.696791523212e-12   580_set2
2   20   15.000000   0.780000   1478.023412  8.681990210000e-09   7.966101170000e-09    5.874054591769e-12   5.389698908234e-12   750_set1
2   20   15.000000   0.780000   1485.682226  8.706443940000e-09   7.941954770000e-09    5.860232954015e-12   5.345661831994e-12   750_set3
2   20   15.000000   0.780000   1479.997645  8.671295830000e-09   7.926327180000e-09    5.858992991844e-12   5.355634994946e-12   750_set2
2   21   15.000000   0.820000   1330.871705  5.972824530000e-09   5.374835340000e-09    4.487904061346e-12   4.038582622057e-12   750_set1
2   21   15.000000   0.820000   1328.532877  5.959367850000e-09   5.400725170000e-09    4.485675855803e-12   4.065179916507e-12   750_set2
2   21   15.000000   0.820000   1329.408218  5.933484990000e-09   5.378344100000e-09    4.463252829087e-12   4.045667859712e-12   750_set3
2   22   15.000000   0.860000   1228.766444  4.185441880000e-09   3.756059570000e-09    3.406214338321e-12   3.056772577361e-12   750_set1
2   22   15.000000   0.860000   1228.254490  4.172704180000e-09   3.752165010000e-09    3.397263526389e-12   3.054875875113e-12   750_set2
2   22   15.000000   0.860000   1228.821281  4.162023780000e-09   3.737607040000e-09    3.387004965126e-12   3.041619719475e-12   750_set3
2   23   15.000000   0.900000   1185.858578  3.179251450000e-09   2.825409170000e-09    2.680970150220e-12   2.382585261360e-12   750_set1
2   23   15.000000   0.900000   1181.339781  3.128647110000e-09   2.814286160000e-09    2.648388855027e-12   2.382283408435e-12   750_set2
