#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
11   1   105.000000   0.020000   2618.824619  2.023249270000e-03   1.972265620000e-03    7.725791392524e-07   7.531109970828e-07   80
11   2   105.000000   0.060000   2647.812931  5.225570070000e-04   4.965986330000e-04    1.973542016062e-07   1.875504976904e-07   80
11   3   105.000000   0.100000   2766.694843  1.211006620000e-04   1.103987660000e-04    4.377087784235e-08   3.990276205535e-08   80
11   4   105.000000   0.140000   2968.016304  3.454174040000e-05   2.924138640000e-05    1.163798876490e-08   9.852165016948e-09   80
11   5   105.000000   0.180000   3249.881875  1.330344390000e-05   1.099646850000e-05    4.093516137413e-09   3.383651751958e-09   80
