#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
9   1   85.000000   0.020000   2533.798917  1.869004520000e-03   1.804721800000e-03    7.376293783458e-07   7.122592830440e-07   80
9   2   85.000000   0.060000   2527.498232  4.686281740000e-04   4.422441100000e-04    1.854118701516e-07   1.749730640365e-07   80
9   3   85.000000   0.100000   2570.080637  9.967459110000e-05   8.514044950000e-05    3.878267073221e-08   3.312754015352e-08   80
9   4   85.000000   0.140000   2637.923866  2.618150710000e-05   2.050928500000e-05    9.925042734346e-09   7.774782761680e-09   80
9   5   85.000000   0.180000   2716.688774  8.194167140000e-06   5.487613200000e-06    3.016233297837e-09   2.019963881222e-09   80
9   6   85.000000   0.220000   2805.629139  2.958521130000e-06   1.767974500000e-06    1.054494725933e-09   6.301526012202e-10   80
9   7   85.000000   0.260000   2890.866778  1.204300280000e-06   1.004127620000e-06    4.165879552683e-10   3.473448266941e-10   80
9   8   85.000000   0.300000   2961.686098  5.471048360000e-07   5.076872710000e-07    1.847274889697e-10   1.714183253056e-10   80
9   9   85.000000   0.340000   3018.972319  2.781051700000e-07   4.295617040000e-07    9.211915202062e-11   1.422873940568e-10   80
9   10   85.000000   0.380000   3103.394925  1.569218190000e-07   2.715127770000e-07    5.056456648037e-11   8.748895437470e-11   80
9   11   85.000000   0.420000   3221.065542  9.797868880000e-08   2.117546500000e-07    3.041809845917e-11   6.574055921523e-11   80
9   12   85.000000   0.460000   3370.694831  6.492739920000e-08   1.231496260000e-07    1.926231903371e-11   3.653538281407e-11   80
9   13   85.000000   0.500000   3615.272564  4.585473980000e-08   9.545931970000e-08    1.268361900472e-11   2.640445997089e-11   80
