9.53313,0.0
9.53328,0.0
9.53344,4.54747350886e-13
9.53359,4.54747350886e-13
9.53375,9.09494701773e-13
9.53391,9.09494701773e-13
9.53406,9.09494701773e-13
9.53423,1.36424205266e-12
9.53439,1.36424205266e-12
9.53455,1.81898940355e-12
9.53471,1.81898940355e-12
9.53487,1.81898940355e-12
9.53503,2.27373675443e-12
9.53519,2.27373675443e-12
9.53534,2.72848410532e-12
9.5355,2.72848410532e-12
9.53566,2.72848410532e-12
9.53581,3.18323145621e-12
9.53597,3.18323145621e-12
9.53613,3.63797880709e-12
9.53629,3.63797880709e-12
9.53645,3.63797880709e-12
9.53661,4.09272615798e-12
9.53677,4.09272615798e-12
9.53694,4.54747350886e-12
9.53709,4.54747350886e-12
9.53725,4.54747350886e-12
9.53741,5.00222085975e-12
9.53756,5.00222085975e-12
9.53772,5.45696821064e-12
9.53788,5.45696821064e-12
9.53803,5.45696821064e-12
9.53819,5.91171556152e-12
9.53835,5.91171556152e-12
9.53852,6.36646291241e-12
9.53868,6.36646291241e-12
9.53884,6.36646291241e-12
9.539,6.8212102633e-12
9.53916,6.8212102633e-12
9.53931,7.27595761418e-12
9.53947,7.27595761418e-12
9.53963,7.27595761418e-12
9.53978,7.73070496507e-12
9.53994,7.73070496507e-12
9.5401,8.18545231596e-12
9.54026,8.18545231596e-12
9.54042,8.18545231596e-12
9.54058,8.64019966684e-12
9.54074,8.64019966684e-12
9.5409,9.09494701773e-12
9.54106,9.09494701773e-12
9.54122,9.09494701773e-12
9.54138,9.54969436862e-12
9.54153,9.54969436862e-12
9.54169,1.00044417195e-11
9.54184,1.00044417195e-11
9.542,1.00044417195e-11
9.54216,1.04591890704e-11
9.54232,1.04591890704e-11
9.54248,1.09139364213e-11
9.54265,1.09139364213e-11
9.54281,1.09139364213e-11
9.54297,1.13686837722e-11
9.54313,1.13686837722e-11
9.54328,1.1823431123e-11
9.54344,1.1823431123e-11
9.54359,1.1823431123e-11
9.54375,1.22781784739e-11
9.54391,1.22781784739e-11
9.54406,1.27329258248e-11
9.54423,1.27329258248e-11
9.54439,1.27329258248e-11
9.54455,1.31876731757e-11
9.54471,1.31876731757e-11
9.54487,1.36424205266e-11
9.54503,1.36424205266e-11
9.54519,1.36424205266e-11
9.54534,1.40971678775e-11
9.5455,1.40971678775e-11
9.54566,1.45519152284e-11
9.54581,1.45519152284e-11
9.54597,1.45519152284e-11
9.54613,1.50066625793e-11
9.54629,1.50066625793e-11
9.54645,1.54614099301e-11
9.54661,1.54614099301e-11
9.54677,1.54614099301e-11
9.54694,1.5916157281e-11
9.54709,1.5916157281e-11
9.54725,1.63709046319e-11
9.54741,1.63709046319e-11
9.54756,1.63709046319e-11
9.54772,1.68256519828e-11
9.54788,1.68256519828e-11
9.54803,1.72803993337e-11
9.54819,1.72803993337e-11
9.54835,1.72803993337e-11
9.54852,1.77351466846e-11
9.54868,1.77351466846e-11
9.54884,1.81898940355e-11
