p,HB,Q1,Q2,Q3,D
2.162,702.603,446.237,749.535,493.187,678.073
2.163,702.93,446.444,749.882,493.415,678.386
2.164,703.256,446.65,750.229,493.643,678.7
2.165,703.582,446.856,750.575,493.872,679.014
2.166,703.909,447.063,750.922,494.1,679.328
2.167,704.235,447.269,751.269,494.328,679.642
2.168,704.561,447.476,751.615,494.556,679.956
2.169,704.888,447.682,751.962,494.784,680.27
2.17,705.214,447.888,752.309,495.012,680.584
2.171,705.54,448.095,752.655,495.24,680.897
2.172,705.867,448.301,753.002,495.468,681.211
2.173,706.193,448.508,753.349,495.697,681.525
2.174,706.519,448.714,753.695,495.925,681.839
2.175,706.846,448.92,754.042,496.153,682.153
2.176,707.172,449.127,754.389,496.381,682.467
2.177,707.498,449.333,754.735,496.609,682.781
2.178,707.825,449.54,755.082,496.837,683.095
2.179,708.151,449.746,755.429,497.065,683.408
2.18,708.477,449.952,755.776,497.293,683.724
2.181,708.805,450.159,756.122,497.521,684.038
2.182,709.132,450.365,756.469,497.75,684.352
2.183,709.458,450.572,756.816,497.978,684.665
2.184,709.784,450.778,757.162,498.206,684.979
2.185,710.111,450.984,757.509,498.434,685.293
2.186,710.437,451.191,757.856,498.662,685.607
2.187,710.763,451.397,758.202,498.89,685.921
2.188,711.089,451.604,758.549,499.118,686.234
2.189,711.416,451.81,758.896,499.346,686.548
2.19,711.742,452.016,759.242,499.575,686.862
2.191,712.07,452.223,759.589,499.803,687.176
2.192,712.396,452.429,759.936,500.031,687.49
2.193,712.722,452.636,760.282,500.259,687.803
2.194,713.048,452.842,760.629,500.487,688.117
2.195,713.374,453.048,760.976,500.715,688.431
2.196,713.702,453.255,761.322,500.943,688.745
2.197,714.028,453.461,761.669,501.171,689.059
2.198,714.353,453.668,762.016,501.399,689.372
2.199,714.679,453.874,762.363,501.628,689.686
2.2,715.005,454.08,762.709,501.856,690.0
2.201,715.331,454.287,763.056,502.084,690.314
2.202,715.656,454.493,763.403,502.312,690.628
2.203,715.982,454.7,763.749,502.54,690.941
2.204,716.308,454.906,764.096,502.768,691.255
2.205,716.634,455.112,764.443,502.996,691.569
2.206,716.961,455.319,764.789,503.224,691.883
2.207,717.288,455.525,765.136,503.452,692.197
2.208,717.614,455.732,765.483,503.681,692.51
2.209,717.94,455.938,765.829,503.909,692.824
2.21,718.268,456.144,766.176,504.137,693.138
2.211,718.594,456.351,766.523,504.365,693.452
2.212,718.92,456.557,766.869,504.593,693.766
2.213,719.247,456.764,767.216,504.821,694.079
2.214,719.573,456.97,767.563,505.049,694.393
2.215,719.899,457.176,767.91,505.277,694.707
2.216,720.226,457.383,768.256,505.506,695.021
2.217,720.552,457.589,768.603,505.734,695.335
2.218,720.878,457.796,768.95,505.962,695.648
2.219,721.205,458.002,769.296,506.19,695.962
2.22,721.533,458.208,769.643,506.418,696.276
2.221,721.859,458.415,769.99,506.646,696.59
2.222,722.186,458.621,770.336,506.874,696.905
2.223,722.512,458.828,770.683,507.102,697.219
2.224,722.839,459.034,771.03,507.33,697.533
2.225,723.165,459.24,771.376,507.559,697.847
2.226,723.491,459.447,771.723,507.787,698.161
2.227,723.818,459.653,772.07,508.015,698.475
2.228,724.144,459.86,772.416,508.243,698.789
2.229,724.471,460.066,772.763,508.471,699.102
2.23,724.797,460.272,773.11,508.699,699.416
2.231,725.124,460.479,773.456,508.927,699.73
2.232,725.45,460.685,773.803,509.155,700.044
2.233,725.776,460.892,774.15,509.384,700.358
2.234,726.103,461.098,774.497,509.612,700.672
2.235,726.429,461.304,774.843,509.84,700.986
2.236,726.756,461.511,775.19,510.068,701.3
2.237,727.082,461.717,775.537,510.296,701.614
2.238,727.409,461.924,775.883,510.524,701.927
2.239,727.737,462.13,776.23,510.752,702.241
2.24,728.064,462.337,776.577,510.98,702.555
2.241,728.39,462.543,776.923,511.208,702.869
2.242,728.717,462.749,777.27,511.437,703.183
2.243,729.043,462.956,777.617,511.665,703.497
2.244,729.37,463.162,777.963,511.893,703.812
2.245,729.696,463.369,778.31,512.121,704.126
2.246,730.023,463.575,778.657,512.349,704.44
2.247,730.349,463.781,779.003,512.577,704.754
2.248,730.676,463.988,779.35,512.805,705.068
2.249,731.002,464.194,779.697,513.033,705.382
2.25,731.329,464.401,780.044,513.261,705.696
2.251,731.655,464.607,780.39,513.49,706.01
2.252,731.982,464.813,780.737,513.718,706.324
2.253,732.308,465.02,781.084,513.946,706.638
2.254,732.635,465.226,781.43,514.174,706.952
2.255,732.961,465.433,781.777,514.402,707.266
2.256,733.288,465.639,782.124,514.63,707.58
2.257,733.614,465.845,782.47,514.858,707.894
2.258,733.941,466.052,782.817,515.086,708.207
2.259,734.268,466.258,783.164,515.315,708.521
2.26,734.594,466.465,783.51,515.543,708.835
2.261,734.921,466.671,783.857,515.771,709.149
2.262,735.247,466.877,784.204,515.999,709.463
2.263,735.574,467.084,784.55,516.227,709.777
2.264,735.9,467.29,784.897,516.455,710.091
2.265,736.227,467.497,785.244,516.683,710.405
2.266,736.553,467.703,785.591,516.911,710.719
2.267,736.88,467.909,785.937,517.139,711.033
2.268,737.206,468.116,786.284,517.368,711.347
2.269,737.533,468.322,786.631,517.596,711.661
2.27,737.86,468.529,786.977,517.824,711.975
2.271,738.186,468.735,787.324,518.052,712.289
2.272,738.513,468.941,787.671,518.28,712.603
2.273,738.839,469.148,788.017,518.508,712.916
2.274,739.166,469.354,788.364,518.736,713.23
2.275,739.492,469.561,788.711,518.964,713.544
2.276,739.821,469.767,789.057,519.193,713.858
2.277,740.147,469.973,789.404,519.421,714.172
2.278,740.474,470.18,789.751,519.649,714.486
2.279,740.801,470.386,790.097,519.877,714.8
2.28,741.127,470.593,790.444,520.105,715.114
2.281,741.454,470.799,790.791,520.333,715.428
2.282,741.781,471.005,791.137,520.561,715.742
2.283,742.107,471.212,791.484,520.789,716.056
2.284,742.434,471.418,791.831,521.017,716.37
2.285,742.76,471.625,792.178,521.246,716.684
2.286,743.087,471.831,792.524,521.474,716.998
2.287,743.414,472.037,792.871,521.702,717.313
2.288,743.74,472.244,793.218,521.93,717.627
2.289,744.067,472.45,793.564,522.158,717.941
2.29,744.393,472.657,793.911,522.386,718.255
2.291,744.72,472.863,794.258,522.614,718.569
2.292,745.047,473.069,794.604,522.842,718.883
2.293,745.373,473.276,794.951,523.07,719.197
2.294,745.7,473.482,795.298,523.299,719.511
2.295,746.027,473.689,795.644,523.527,719.825
2.296,746.353,473.895,795.991,523.755,720.139
2.297,746.68,474.101,796.338,523.983,720.453
2.298,747.007,474.308,796.684,524.211,720.767
2.299,747.333,474.514,797.031,524.439,721.081
2.3,747.66,474.721,797.378,524.667,721.395
2.301,747.987,474.927,797.725,524.895,721.709
2.302,748.313,475.133,798.071,525.124,722.023
2.303,748.64,475.34,798.418,525.352,722.337
2.304,748.966,475.546,798.765,525.58,722.651
2.305,749.293,475.753,799.111,525.808,722.965
2.306,749.62,475.959,799.458,526.036,723.279
2.307,749.946,476.165,799.805,526.264,723.592
2.308,750.273,476.372,800.151,526.492,723.906
2.309,750.6,476.578,800.498,526.72,724.22
2.31,750.926,476.785,800.845,526.948,724.534
2.311,751.253,476.991,801.191,527.177,724.848
2.312,751.58,477.197,801.538,527.405,725.162
2.313,751.906,477.404,801.885,527.633,725.476
2.314,752.233,477.61,802.231,527.861,725.79
2.315,752.56,477.817,802.578,528.089,726.104
2.316,752.886,478.023,802.925,528.317,726.418
2.317,753.213,478.229,803.271,528.545,726.732
2.318,753.54,478.436,803.618,528.773,727.046
2.319,753.867,478.642,803.965,529.001,727.36
2.32,754.193,478.849,804.312,529.23,727.674
2.321,754.52,479.055,804.658,529.458,727.988
2.322,754.847,479.261,805.005,529.686,728.302
2.323,755.173,479.468,805.352,529.914,728.616
2.324,755.5,479.674,805.698,530.142,728.93
2.325,755.827,479.881,806.045,530.37,729.244
2.326,756.153,480.087,806.392,530.598,729.558
2.327,756.48,480.293,806.738,530.826,729.872
2.328,756.807,480.5,807.085,531.055,730.186
2.329,757.133,480.706,807.432,531.283,730.5
2.33,757.46,480.913,807.778,531.511,730.814
2.331,757.787,481.119,808.125,531.739,731.128
2.332,758.114,481.325,808.472,531.967,731.442
2.333,758.44,481.532,808.818,532.195,731.755
2.334,758.767,481.738,809.165,532.423,732.069
2.335,759.094,481.945,809.512,532.651,732.383
2.336,759.42,482.151,809.859,532.879,732.697
2.337,759.747,482.357,810.205,533.108,733.011
2.338,760.074,482.564,810.552,533.336,733.325
2.339,760.401,482.77,810.899,533.564,733.639
2.34,760.727,482.977,811.245,533.792,733.953
2.341,761.054,483.183,811.592,534.02,734.267
2.342,761.381,483.389,811.939,534.248,734.581
2.343,761.707,483.596,812.285,534.476,734.895
2.344,762.034,483.802,812.632,534.704,735.209
2.345,762.361,484.009,812.979,534.933,735.523
2.346,762.688,484.215,813.325,535.161,735.837
2.347,763.014,484.421,813.672,535.389,736.151
2.348,763.343,484.628,814.019,535.617,736.465
2.349,763.67,484.834,814.365,535.845,736.779
2.35,763.997,485.041,814.712,536.073,737.093
2.351,764.323,485.247,815.059,536.301,737.407
2.352,764.65,485.453,815.406,536.529,737.721
2.353,764.977,485.66,815.752,536.757,738.035
2.354,765.304,485.866,816.099,536.986,738.349
2.355,765.63,486.073,816.446,537.214,738.663
2.356,765.957,486.279,816.792,537.442,738.977
2.357,766.284,486.485,817.139,537.67,739.291
2.358,766.611,486.692,817.486,537.898,739.605
2.359,766.938,486.898,817.832,538.126,739.919
2.36,767.264,487.105,818.179,538.354,740.233
2.361,767.591,487.311,818.526,538.582,740.547
2.362,767.918,487.517,818.872,538.81,740.861
2.363,768.245,487.724,819.219,539.039,741.174
2.364,768.571,487.93,819.566,539.267,741.488
2.365,768.898,488.137,819.912,539.495,741.802
2.366,769.225,488.343,820.259,539.723,742.116
2.367,769.552,488.549,820.606,539.951,742.43
2.368,769.879,488.756,820.952,540.179,742.744
2.369,770.205,488.962,821.299,540.407,743.058
2.37,770.532,489.169,821.646,540.635,743.372
2.371,770.859,489.375,821.993,540.864,743.686
2.372,771.186,489.581,822.339,541.092,744.0
2.373,771.513,489.788,822.686,541.32,744.314
2.374,771.839,489.994,823.033,541.548,744.628
2.375,772.166,490.201,823.379,541.776,744.944
2.376,772.493,490.407,823.726,542.004,745.258
2.377,772.82,490.613,824.073,542.232,745.572
2.378,773.147,490.82,824.419,542.46,745.886
2.379,773.473,491.026,824.766,542.688,746.2
2.38,773.8,491.233,825.113,542.917,746.514
2.381,774.127,491.439,825.459,543.145,746.828
2.382,774.454,491.645,825.806,543.373,747.142
2.383,774.781,491.852,826.153,543.601,747.456
2.384,775.108,492.058,826.499,543.829,747.77
2.385,775.434,492.265,826.846,544.057,748.084
2.386,775.761,492.471,827.193,544.285,748.398
2.387,776.088,492.677,827.54,544.513,748.712
2.388,776.415,492.884,827.886,544.742,749.026
2.389,776.742,493.09,828.233,544.97,749.34
2.39,777.069,493.297,828.58,545.198,749.654
2.391,777.395,493.503,828.926,545.426,749.968
2.392,777.722,493.709,829.273,545.654,750.282
2.393,778.049,493.916,829.62,545.882,750.596
2.394,778.376,494.122,829.966,546.11,750.91
2.395,778.703,494.329,830.313,546.338,751.224
2.396,779.03,494.535,830.66,546.566,751.538
2.397,779.356,494.741,831.006,546.795,751.852
2.398,779.683,494.948,831.353,547.023,752.166
2.399,780.01,495.154,831.7,547.251,752.48
2.4,780.337,495.361,832.046,547.479,752.794
2.401,780.664,495.567,832.393,547.707,753.108
2.402,780.991,495.773,832.74,547.935,753.422
2.403,781.318,495.98,833.086,548.163,753.736
2.404,781.645,496.186,833.433,548.391,754.05
2.405,781.971,496.393,833.78,548.619,754.364
2.406,782.298,496.599,834.127,548.848,754.678
2.407,782.625,496.805,834.473,549.076,754.992
2.408,782.952,497.012,834.82,549.304,755.305
2.409,783.279,497.218,835.167,549.532,755.619
2.41,783.606,497.425,835.513,549.76,755.933
2.411,783.933,497.631,835.86,549.988,756.247
2.412,784.26,497.837,836.207,550.216,756.561
2.413,784.586,498.044,836.553,550.444,756.875
2.414,784.913,498.25,836.9,550.673,757.189
2.415,785.24,498.457,837.247,550.901,757.503
2.416,785.567,498.663,837.593,551.129,757.817
2.417,785.894,498.869,837.94,551.357,758.131
2.418,786.221,499.076,838.287,551.585,758.445
2.419,786.548,499.282,838.633,551.813,758.759
2.42,786.875,499.489,838.98,552.041,759.073
2.421,787.202,499.695,839.327,552.269,759.387
2.422,787.528,499.901,839.674,552.497,759.701
2.423,787.855,500.108,840.02,552.726,760.015
2.424,788.182,500.314,840.367,552.954,760.329
2.425,788.509,500.521,840.714,553.182,760.643
2.426,788.836,500.727,841.06,553.41,760.957
2.427,789.163,500.933,841.407,553.638,761.271
2.428,789.49,501.14,841.754,553.866,761.585
2.429,789.817,501.346,842.1,554.094,761.899
2.43,790.144,501.553,842.447,554.322,762.213
2.431,790.471,501.759,842.794,554.551,762.527
2.432,790.798,501.965,843.14,554.779,762.841
2.433,791.125,502.172,843.487,555.007,763.155
2.434,791.451,502.378,843.834,555.235,763.469
2.435,791.778,502.585,844.18,555.463,763.783
2.436,792.105,502.791,844.527,555.691,764.097
2.437,792.432,502.997,844.874,555.919,764.411
2.438,792.759,503.204,845.221,556.147,764.725
2.439,793.086,503.41,845.567,556.375,765.039
2.44,793.413,503.617,845.914,556.604,765.353
2.441,793.74,503.823,846.261,556.832,765.667
2.442,794.067,504.029,846.607,557.06,765.981
2.443,794.394,504.236,846.954,557.288,766.295
2.444,794.721,504.442,847.301,557.516,766.609
2.445,795.048,504.649,847.647,557.744,766.923
2.446,795.375,504.855,847.994,557.972,767.237
2.447,795.702,505.061,848.341,558.2,767.551
2.448,796.029,505.268,848.687,558.428,767.865
2.449,796.356,505.474,849.034,558.657,768.179
2.45,796.683,505.681,849.381,558.885,768.493
2.451,797.01,505.887,849.727,559.113,768.807
2.452,797.337,506.093,850.074,559.341,769.121
2.453,797.663,506.3,850.421,559.569,769.435
2.454,797.99,506.506,850.767,559.797,769.749
2.455,798.317,506.713,851.114,560.025,770.063
2.456,798.644,506.919,851.461,560.253,770.377
2.457,798.971,507.125,851.808,560.482,770.691
2.458,799.298,507.332,852.154,560.71,771.005
2.459,799.625,507.538,852.501,560.938,771.319
2.46,799.952,507.745,852.848,561.166,771.633
2.461,800.279,507.951,853.194,561.394,771.947
2.462,800.606,508.157,853.541,561.622,772.261
2.463,800.933,508.364,853.888,561.85,772.575
2.464,801.26,508.57,854.234,562.078,772.889
2.465,801.587,508.777,854.581,562.306,773.203
2.466,801.914,508.983,854.928,562.535,773.517
2.467,802.241,509.189,855.274,562.763,773.831
2.468,802.568,509.396,855.621,562.991,774.145
2.469,802.895,509.602,855.968,563.219,774.459
2.47,803.222,509.809,856.314,563.447,774.773
2.471,803.549,510.015,856.661,563.675,775.087
2.472,803.876,510.221,857.008,563.903,775.401
2.473,804.203,510.428,857.355,564.131,775.715
2.474,804.53,510.634,857.701,564.36,776.029
2.475,804.857,510.841,858.048,564.588,776.343
2.476,805.184,511.047,858.395,564.816,776.657
2.477,805.511,511.253,858.741,565.044,776.971
2.478,805.838,511.46,859.088,565.272,777.285
2.479,806.165,511.666,859.435,565.5,777.599
2.48,806.492,511.873,859.781,565.728,777.913
2.481,806.819,512.079,860.128,565.956,778.227
2.482,807.146,512.285,860.475,566.184,778.541
2.483,807.473,512.492,860.821,566.413,778.855
2.484,807.8,512.698,861.168,566.641,779.169
2.485,808.127,512.905,861.515,566.869,779.483
2.486,808.457,513.111,861.861,567.097,779.797
2.487,808.784,513.317,862.208,567.325,780.111
2.488,809.111,513.524,862.555,567.553,780.425
2.489,809.438,513.73,862.901,567.781,780.739
2.49,809.765,513.937,863.248,568.009,781.053
2.491,810.092,514.143,863.595,568.237,781.367
2.492,810.419,514.349,863.942,568.466,781.681
2.493,810.746,514.556,864.288,568.694,781.995
2.494,811.073,514.762,864.635,568.922,782.309
2.495,811.4,514.969,864.982,569.15,782.623
2.496,811.727,515.175,865.328,569.378,782.937
2.497,812.054,515.381,865.675,569.606,783.251
2.498,812.381,515.588,866.022,569.834,783.565
2.499,812.708,515.794,866.368,570.062,783.879
2.5,813.035,516.001,866.715,570.291,784.193
2.501,813.362,516.207,867.062,570.519,784.507
2.502,813.69,516.413,867.408,570.747,784.821
2.503,814.017,516.62,867.755,570.975,785.135
2.504,814.344,516.826,868.102,571.203,785.449
2.505,814.671,517.033,868.448,571.431,785.763
2.506,814.998,517.239,868.795,571.659,786.077
2.507,815.325,517.445,869.142,571.887,786.391
2.508,815.652,517.652,869.489,572.115,786.705
2.509,815.979,517.858,869.835,572.344,787.019
2.51,816.306,518.065,870.182,572.572,787.333
2.511,816.633,518.271,870.529,572.8,787.647
2.512,816.96,518.477,870.875,573.028,787.961
2.513,817.288,518.684,871.222,573.256,788.275
2.514,817.615,518.89,871.569,573.484,788.589
2.515,817.942,519.097,871.915,573.712,788.903
2.516,818.269,519.303,872.262,573.94,789.217
2.517,818.596,519.509,872.609,574.169,789.531
2.518,818.923,519.716,872.955,574.397,789.845
2.519,819.25,519.922,873.302,574.625,790.159
2.52,819.577,520.129,873.649,574.853,790.473
2.521,819.904,520.335,873.995,575.081,790.787
2.522,820.232,520.541,874.342,575.309,791.101
2.523,820.559,520.748,874.689,575.537,791.415
2.524,820.886,520.954,875.036,575.765,791.729
2.525,821.213,521.161,875.382,575.993,792.043
2.526,821.54,521.367,875.729,576.222,792.357
2.527,821.867,521.573,876.076,576.45,792.671
2.528,822.194,521.78,876.422,576.678,792.985
2.529,822.521,521.986,876.769,576.906,793.299
2.53,822.849,522.193,877.116,577.134,793.613
2.531,823.176,522.399,877.462,577.362,793.927
2.532,823.503,522.605,877.809,577.59,794.241
2.533,823.83,522.812,878.156,577.818,794.555
2.534,824.157,523.018,878.502,578.046,794.869
2.535,824.484,523.225,878.849,578.275,795.183
2.536,824.811,523.431,879.196,578.503,795.497
2.537,825.139,523.637,879.542,578.731,795.811
2.538,825.466,523.844,879.889,578.959,796.125
2.539,825.793,524.05,880.236,579.187,796.439
2.54,826.12,524.257,880.582,579.415,796.753
2.541,826.447,524.463,880.929,579.643,797.067
2.542,826.774,524.669,881.276,579.871,797.381
2.543,827.101,524.876,881.623,580.1,797.695
2.544,827.429,525.082,881.969,580.328,798.009
2.545,827.756,525.289,882.316,580.556,798.323
2.546,828.083,525.495,882.663,580.784,798.637
2.547,828.41,525.701,883.009,581.012,798.951
2.548,828.737,525.908,883.356,581.24,799.265
2.549,829.065,526.114,883.703,581.468,799.579
2.55,829.392,526.321,884.049,581.696,799.893
2.551,829.719,526.527,884.396,581.924,800.207
2.552,830.046,526.733,884.743,582.153,800.521
2.553,830.373,526.94,885.089,582.381,800.835
2.554,830.7,527.146,885.436,582.609,801.149
2.555,831.028,527.353,885.783,582.837,801.463
2.556,831.355,527.559,886.129,583.065,801.777
2.557,831.682,527.765,886.476,583.293,802.091
2.558,832.009,527.972,886.823,583.521,802.405
2.559,832.336,528.178,887.17,583.749,802.722
2.56,832.664,528.385,887.516,583.978,803.036
2.561,832.991,528.591,887.863,584.206,803.35
2.562,833.318,528.797,888.21,584.434,803.664
2.563,833.645,529.004,888.556,584.662,803.978
2.564,833.972,529.21,888.903,584.89,804.292
2.565,834.3,529.417,889.25,585.118,804.606
2.566,834.627,529.623,889.596,585.346,804.92
2.567,834.954,529.829,889.943,585.574,805.234
2.568,835.281,530.036,890.29,585.802,805.548
2.569,835.608,530.242,890.636,586.031,805.862
2.57,835.936,530.449,890.983,586.259,806.176
2.571,836.263,530.655,891.33,586.487,806.49
2.572,836.59,530.861,891.676,586.715,806.804
2.573,836.917,531.068,892.023,586.943,807.118
2.574,837.245,531.274,892.37,587.171,807.432
2.575,837.572,531.481,892.716,587.399,807.746
2.576,837.899,531.687,893.063,587.627,808.06
2.577,838.226,531.893,893.41,587.855,808.374
2.578,838.554,532.1,893.757,588.084,808.688
2.579,838.881,532.306,894.103,588.312,809.002
2.58,839.208,532.513,894.45,588.54,809.316
