p,HB,Q1,Q2,Q3,D
2.0,649.748,412.8,693.372,456.232,627.214
2.001,650.074,413.007,693.719,456.461,627.528
2.002,650.4,413.213,694.065,456.689,627.842
2.003,650.726,413.42,694.412,456.917,628.156
2.004,651.052,413.626,694.759,457.145,628.47
2.005,651.378,413.832,695.105,457.373,628.784
2.006,651.704,414.039,695.452,457.601,629.098
2.007,652.03,414.245,695.799,457.829,629.412
2.008,652.357,414.452,696.146,458.057,629.725
2.009,652.683,414.658,696.492,458.285,630.039
2.01,653.009,414.864,696.839,458.514,630.353
2.011,653.335,415.071,697.186,458.742,630.667
2.012,653.661,415.277,697.532,458.97,630.981
2.013,653.987,415.484,697.879,459.198,631.295
2.014,654.313,415.69,698.226,459.426,631.609
2.015,654.639,415.896,698.572,459.654,631.923
2.016,654.966,416.103,698.919,459.882,632.237
2.017,655.292,416.309,699.266,460.11,632.551
2.018,655.618,416.516,699.612,460.339,632.865
2.019,655.944,416.722,699.959,460.567,633.178
2.02,656.27,416.928,700.306,460.795,633.492
2.021,656.596,417.135,700.652,461.023,633.806
2.022,656.922,417.341,700.999,461.251,634.12
2.023,657.249,417.548,701.346,461.479,634.434
2.024,657.575,417.754,701.692,461.707,634.748
2.025,657.901,417.96,702.039,461.935,635.062
2.026,658.227,418.167,702.386,462.163,635.376
2.027,658.553,418.373,702.733,462.392,635.69
2.028,658.879,418.58,703.079,462.62,636.004
2.029,659.205,418.786,703.426,462.848,636.318
2.03,659.532,418.992,703.773,463.076,636.631
2.031,659.858,419.199,704.119,463.304,636.945
2.032,660.184,419.405,704.466,463.532,637.259
2.033,660.51,419.612,704.813,463.76,637.573
2.034,660.836,419.818,705.159,463.988,637.889
2.035,661.162,420.024,705.506,464.216,638.203
2.036,661.489,420.231,705.853,464.445,638.517
2.037,661.815,420.437,706.199,464.673,638.83
2.038,662.141,420.644,706.546,464.901,639.144
2.039,662.467,420.85,706.893,465.129,639.458
2.04,662.793,421.056,707.239,465.357,639.772
2.041,663.12,421.263,707.586,465.585,640.086
2.042,663.446,421.469,707.933,465.813,640.4
2.043,663.772,421.676,708.28,466.041,640.714
2.044,664.1,421.882,708.626,466.27,641.028
2.045,664.426,422.088,708.973,466.498,641.342
2.046,664.752,422.295,709.32,466.726,641.656
2.047,665.078,422.501,709.666,466.954,641.969
2.048,665.404,422.708,710.013,467.182,642.283
2.049,665.731,422.914,710.36,467.41,642.597
2.05,666.057,423.12,710.706,467.638,642.911
2.051,666.383,423.327,711.053,467.866,643.225
2.052,666.709,423.533,711.4,468.094,643.539
2.053,667.035,423.74,711.746,468.323,643.853
2.054,667.362,423.946,712.093,468.551,644.167
2.055,667.688,424.152,712.44,468.779,644.481
2.056,668.014,424.359,712.786,469.007,644.795
2.057,668.34,424.565,713.133,469.235,645.109
2.058,668.666,424.772,713.48,469.463,645.422
2.059,668.993,424.978,713.827,469.691,645.736
2.06,669.319,425.184,714.173,469.919,646.05
2.061,669.645,425.391,714.52,470.148,646.364
2.062,669.971,425.597,714.867,470.376,646.678
2.063,670.297,425.804,715.213,470.604,646.992
2.064,670.624,426.01,715.56,470.832,647.306
2.065,670.95,426.216,715.907,471.06,647.62
2.066,671.276,426.423,716.253,471.288,647.934
2.067,671.602,426.629,716.6,471.516,648.248
2.068,671.928,426.836,716.947,471.744,648.562
2.069,672.255,427.042,717.293,471.972,648.876
2.07,672.581,427.248,717.64,472.201,649.189
2.071,672.907,427.455,717.987,472.429,649.503
2.072,673.233,427.661,718.333,472.657,649.817
2.073,673.56,427.868,718.68,472.885,650.131
2.074,673.886,428.074,719.027,473.113,650.445
2.075,674.212,428.28,719.373,473.341,650.759
2.076,674.538,428.487,719.72,473.569,651.073
2.077,674.864,428.693,720.067,473.797,651.387
2.078,675.191,428.9,720.414,474.025,651.701
2.079,675.517,429.106,720.76,474.254,652.015
2.08,675.843,429.312,721.107,474.482,652.329
2.081,676.169,429.519,721.454,474.71,652.642
2.082,676.496,429.725,721.8,474.938,652.956
2.083,676.822,429.932,722.147,475.166,653.27
2.084,677.148,430.138,722.494,475.394,653.584
2.085,677.474,430.344,722.84,475.622,653.898
2.086,677.801,430.551,723.187,475.85,654.212
2.087,678.127,430.757,723.534,476.079,654.526
2.088,678.453,430.964,723.88,476.307,654.84
2.089,678.779,431.17,724.227,476.535,655.154
2.09,679.106,431.376,724.574,476.763,655.468
2.091,679.432,431.583,724.92,476.991,655.782
2.092,679.758,431.789,725.267,477.219,656.096
2.093,680.084,431.996,725.614,477.447,656.409
2.094,680.411,432.202,725.961,477.675,656.723
2.095,680.737,432.408,726.307,477.903,657.037
2.096,681.063,432.615,726.654,478.132,657.351
2.097,681.389,432.821,727.001,478.36,657.665
2.098,681.716,433.028,727.347,478.588,657.979
2.099,682.042,433.234,727.694,478.816,658.293
2.1,682.368,433.44,728.041,479.044,658.607
2.101,682.695,433.647,728.387,479.272,658.921
2.102,683.021,433.853,728.734,479.5,659.235
2.103,683.347,434.06,729.081,479.728,659.549
2.104,683.673,434.266,729.427,479.957,659.863
2.105,684.0,434.472,729.774,480.185,660.177
2.106,684.326,434.679,730.121,480.413,660.49
2.107,684.652,434.885,730.467,480.641,660.804
2.108,684.979,435.092,730.814,480.869,661.118
2.109,685.305,435.298,731.161,481.097,661.432
2.11,685.631,435.504,731.507,481.325,661.746
2.111,685.957,435.711,731.854,481.553,662.06
2.112,686.284,435.917,732.201,481.781,662.374
2.113,686.61,436.124,732.548,482.01,662.688
2.114,686.936,436.33,732.894,482.238,663.002
2.115,687.263,436.536,733.241,482.466,663.316
2.116,687.589,436.743,733.588,482.694,663.63
2.117,687.915,436.949,733.934,482.922,663.945
2.118,688.241,437.156,734.281,483.15,664.259
2.119,688.568,437.362,734.628,483.378,664.573
2.12,688.894,437.568,734.974,483.606,664.887
2.121,689.22,437.775,735.321,483.834,665.201
2.122,689.547,437.981,735.668,484.063,665.515
2.123,689.875,438.188,736.014,484.291,665.829
2.124,690.201,438.394,736.361,484.519,666.143
2.125,690.527,438.6,736.708,484.747,666.456
2.126,690.854,438.807,737.054,484.975,666.77
2.127,691.18,439.013,737.401,485.203,667.084
2.128,691.506,439.22,737.748,485.431,667.398
2.129,691.833,439.426,738.095,485.659,667.712
2.13,692.159,439.632,738.441,485.888,668.026
2.131,692.485,439.839,738.788,486.116,668.34
2.132,692.811,440.045,739.135,486.344,668.654
2.133,693.138,440.252,739.481,486.572,668.968
2.134,693.464,440.458,739.828,486.8,669.282
2.135,693.79,440.664,740.175,487.028,669.596
2.136,694.117,440.871,740.521,487.256,669.909
2.137,694.443,441.077,740.868,487.484,670.223
2.138,694.769,441.284,741.215,487.712,670.537
2.139,695.096,441.49,741.561,487.941,670.851
2.14,695.422,441.696,741.908,488.169,671.165
2.141,695.748,441.903,742.255,488.397,671.479
2.142,696.075,442.109,742.601,488.625,671.793
2.143,696.401,442.316,742.948,488.853,672.107
2.144,696.727,442.522,743.295,489.081,672.421
2.145,697.054,442.728,743.642,489.309,672.735
2.146,697.38,442.935,743.988,489.537,673.048
2.147,697.706,443.141,744.335,489.766,673.362
2.148,698.033,443.348,744.682,489.994,673.676
2.149,698.359,443.554,745.028,490.222,673.99
2.15,698.685,443.76,745.375,490.45,674.304
2.151,699.012,443.967,745.722,490.678,674.618
2.152,699.338,444.173,746.068,490.906,674.932
2.153,699.664,444.38,746.415,491.134,675.246
2.154,699.991,444.586,746.762,491.362,675.56
2.155,700.317,444.792,747.108,491.59,675.874
2.156,700.643,444.999,747.455,491.819,676.188
2.157,700.97,445.205,747.802,492.047,676.502
2.158,701.296,445.412,748.148,492.275,676.815
2.159,701.622,445.618,748.495,492.503,677.131
2.16,701.949,445.824,748.842,492.731,677.445
2.161,702.275,446.031,749.188,492.959,677.759
