	Run	Q1	Q2	Q3	NMR	Pq1_true	Pq2_true	Pq3_true	Pnmr_true
0	1149	300.9	239.063	116.038	0.63214	2.310021839053999	2.308781561405709	2.300282630322324	2.3090547445255476
1	1150	297.613	236.588	114.8	0.62777	2.284798815205881	2.284906021492929	2.275651034619976	2.29307326007326
2	1151	294.375	233.85	113.525	0.61841	2.2599517944704064	2.258493396872558	2.2502832471150023	2.258886446886447
3	1152	143.092	113.741	55.1993	0.3006	1.0990709807622951	1.0998398657187232	1.0897891031661389	1.098
4	1153	288.125	229.008	111.138	0.60526	2.2119919734802562	2.211784156352797	2.2027907481098286	2.2108576642335764
5	1154	284.979	226.495	109.92	0.59867	2.1878509250519893	2.1875420404777066	2.1785570123952964	2.186763636363636
6	1157	282.113	224.263	108.813	0.59271	2.165858468196782	2.1660106403503696	2.1565317747711896	2.165
7	1158	208.484	165.873	80.5317	0.43867	1.6008611232609715	1.6027407825432656	1.5938323501029656	1.6023333333333332
8	1159	276.25	219.494	106.551	0.58039	2.120868322104391	2.120005604753912	2.111526213167267	2.120003663003663
9	1160	273.522	217.381	105.488	0.57461	2.099934820976381	2.0996221662711503	2.090376375320825	2.0988795620437957
10	1161	270.763	215.225	104.438	0.56885	2.078763438384861	2.0788239181185006	2.069485177079188	2.0778649635036492
11	1162	268.05	213.05	103.375	0.56309	2.057945041705994	2.0578423819721787	2.0483353096834525	2.0568211678832116
12	1163	265.425	210.927	102.363	0.5576	2.0378019214684193	2.0373624664775907	2.028200139275766	2.0367700729927005
13	1164	262.825	208.844	101.375	0.55215	2.017850634601513	2.0172684275006514	2.008542488211536	2.0168467153284673
14	1165	260.35	206.834	100.429	0.54694	1.998858546018202	1.9978785958210337	1.9897204735376046	1.9978175182481757
15	1166	257.888	204.9	99.4876	0.54175	1.979966213416412	1.9792219038799177	1.970989966215813	1.9788467153284668
16	1167	255.425	202.997	98.5126	0.5365	1.9610662077856307	1.960864270417318	1.9515909288064912	1.9596923076923078
17	1168	253.063	201.102	97.5761	0.53162	1.9429412360533462	1.942583801200054	1.9329578951138275	1.9418576642335765
18	1169	250.731	199.238	96.6649	0.52674	1.9250464709403152	1.924602384650261	1.9148282298916441	1.9240401459854017
19	1170	248.353	197.349	95.7682	0.52178	1.9067987154498993	1.9063797979992863	1.8969870533742403	1.9058978102189779
20	1171	246.145	195.546	94.8994	0.51712	1.8898554754943713	1.8889868226850466	1.879700979504617	1.8889120879120878
