#This table containes the kinematics derivatives, where ds_dkin is the derivative of the cross section
#with respect to the kinematic variable in units of %/mrad or %/MeV
#There are also the relative systematic errors of individual kinematic variables, and the total error added in quadrature
#to see which is the dominant source of the systematics errors
#!ib[i,0]/  pm_bin[f,1]/   thnq_bin[f,2]/   ds_dthe[f,3]/   ds_dphe[f,4]/   ds_def[f,5]/   ds_dthp[f,6]/   ds_dphp[f,7]/  ds_dthb[f,8]/   ds_dphb[f,9]/    ds_dE[f,10]/    sig_the[f,11]/   sig_phe[f,12]/   sig_ef[f,13]/   sig_thp[f,14]/   sig_php[f,15]/  sig_thb[f,16]/   sig_phb[f,17]/    sig_E[f,18]/    sig_the_thp[f,19]/    sig_the_Ef[f,20]/     sig_the_Eb[f,21]/      sig_thp_Ef[f,22]/      sig_thp_Eb[f,23]/      sig_Ef_Eb[f,24]/      sig_tot[f,25]/ 
505   0.940000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
526   0.980000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
547   1.020000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
568   1.060000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
589   1.100000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
610   1.140000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
631   1.180000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
23   0.020000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
44   0.060000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
65   0.100000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
86   0.140000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
107   0.180000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
128   0.220000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
149   0.260000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
170   0.300000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
191   0.340000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
212   0.380000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
233   0.420000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
254   0.460000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
275   0.500000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
296   0.540000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
317   0.580000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
338   0.620000   15.000000   -1.295e+01   -6.222e-01   -4.212e-01   -1.287e+00   -1.389e-01   -7.196e-01   1.275e+01   -2.579e-01   -2.149e+00   -0.000e+00   -5.412e-01   -3.050e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.050e+00  2.813e-01   -2.286e+00   -8.593e+00   -1.070e-01   -4.412e-01   2.216e+00   5.258e-01
359   0.660000   15.000000   -1.402e+01   -1.174e+00   -4.829e-01   -1.404e+00   -2.908e-01   -1.354e+00   1.376e+01   -2.840e-01   -2.326e+00   -0.000e+00   -6.262e-01   -3.327e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.257e+00  3.321e-01   -2.862e+00   -1.024e+01   -1.351e-01   -5.299e-01   2.823e+00   6.283e-01
380   0.700000   15.000000   -1.489e+01   -1.302e+00   -5.229e-01   -1.601e+00   -3.328e-01   -1.507e+00   1.481e+01   -3.129e-01   -2.469e+00   -0.000e+00   -6.933e-01   -3.792e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.487e+00  4.019e-01   -3.365e+00   -1.198e+01   -1.705e-01   -6.655e-01   3.444e+00   7.572e-01
401   0.740000   15.000000   -1.603e+01   -1.601e+00   -5.671e-01   -1.786e+00   -4.232e-01   -1.856e+00   1.584e+01   -3.416e-01   -2.660e+00   -0.000e+00   -7.654e-01   -4.231e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.715e+00  4.829e-01   -4.000e+00   -1.409e+01   -2.100e-01   -8.106e-01   4.151e+00   8.586e-01
422   0.780000   15.000000   -1.721e+01   -1.749e+00   -6.238e-01   -2.023e+00   -4.717e-01   -2.032e+00   1.699e+01   -3.778e-01   -2.855e+00   -0.000e+00   -8.568e-01   -4.791e-01   -0.000e+00   -0.000e+00   0.000e+00   -3.003e+00  5.871e-01   -4.807e+00   -1.673e+01   -2.662e-01   -1.015e+00   5.139e+00   1.022e+00
443   0.820000   15.000000   -1.841e+01   -2.198e+00   -6.854e-01   -2.279e+00   -6.096e-01   -2.559e+00   1.833e+01   -4.182e-01   -3.055e+00   -0.000e+00   -9.551e-01   -5.399e-01   -0.000e+00   -0.000e+00   0.000e+00   -3.324e+00  7.079e-01   -5.734e+00   -1.981e+01   -3.344e-01   -1.266e+00   6.341e+00   1.221e+00
464   0.860000   15.000000   -1.970e+01   -2.752e+00   -7.267e-01   -2.492e+00   -7.809e-01   -3.206e+00   1.984e+01   -4.497e-01   -3.269e+00   -0.000e+00   -1.024e+00   -5.903e-01   -0.000e+00   -0.000e+00   0.000e+00   -3.574e+00  8.280e-01   -6.577e+00   -2.279e+01   -3.920e-01   -1.489e+00   7.310e+00   1.322e+00
485   0.900000   15.000000   -2.078e+01   -4.090e-01   -7.286e-01   -2.857e+00   -8.021e-02   -4.802e-01   2.081e+01   -4.768e-01   -3.448e+00   -0.000e+00   -1.032e+00   -6.769e-01   -0.000e+00   -0.000e+00   0.000e+00   -3.790e+00  1.001e+00   -6.991e+00   -2.549e+01   -4.530e-01   -1.810e+00   7.812e+00   1.358e+00
506   0.940000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
527   0.980000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
548   1.020000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
569   1.060000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
590   1.100000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
611   1.140000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
632   1.180000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
24   0.020000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
45   0.060000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
66   0.100000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
87   0.140000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
108   0.180000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
129   0.220000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
150   0.260000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
171   0.300000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
192   0.340000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
213   0.380000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
234   0.420000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
255   0.460000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
276   0.500000   25.000000   -9.889e+00   -1.051e+00   -1.185e-01   -1.299e+00   -2.438e-01   -1.207e+00   9.196e+00   -1.753e-01   -1.641e+00   -0.000e+00   -1.488e-01   -3.077e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.393e+00  2.166e-01   -4.797e-01   -4.459e+00   -2.969e-02   -3.025e-01   4.141e-01   3.310e-01
297   0.540000   25.000000   -1.008e+01   -1.410e+00   -1.237e-01   -1.348e+00   -3.414e-01   -1.618e+00   9.351e+00   -1.821e-01   -1.673e+00   -0.000e+00   -1.570e-01   -3.192e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.447e+00  2.292e-01   -5.162e-01   -4.723e+00   -3.251e-02   -3.261e-01   4.539e-01   3.245e-01
318   0.580000   25.000000   -1.029e+01   -1.684e+00   -1.245e-01   -1.415e+00   -4.230e-01   -1.934e+00   9.631e+00   -1.905e-01   -1.707e+00   -0.000e+00   -1.602e-01   -3.351e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.514e+00  2.455e-01   -5.374e-01   -5.042e+00   -3.481e-02   -3.581e-01   4.845e-01   3.201e-01
339   0.620000   25.000000   -1.076e+01   -2.028e+00   -1.232e-01   -1.536e+00   -5.190e-01   -2.334e+00   9.866e+00   -2.000e-01   -1.785e+00   -0.000e+00   -1.611e-01   -3.639e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.590e+00  2.788e-01   -5.651e-01   -5.535e+00   -3.802e-02   -4.082e-01   5.115e-01   3.399e-01
360   0.660000   25.000000   -1.136e+01   -2.316e+00   -1.271e-01   -1.691e+00   -6.068e-01   -2.675e+00   1.028e+01   -2.151e-01   -1.884e+00   -0.000e+00   -1.693e-01   -4.007e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.710e+00  3.239e-01   -6.269e-01   -6.283e+00   -4.400e-02   -4.834e-01   5.783e-01   3.555e-01
381   0.700000   25.000000   -1.192e+01   -2.586e+00   -1.342e-01   -1.880e+00   -6.967e-01   -2.990e+00   1.089e+01   -2.340e-01   -1.978e+00   -0.000e+00   -1.825e-01   -4.455e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.860e+00  3.781e-01   -7.093e-01   -7.176e+00   -5.271e-02   -5.847e-01   6.779e-01   3.695e-01
402   0.740000   25.000000   -1.254e+01   -2.857e+00   -1.318e-01   -2.061e+00   -7.861e-01   -3.316e+00   1.136e+01   -2.493e-01   -2.080e+00   -0.000e+00   -1.828e-01   -4.882e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.981e+00  4.357e-01   -7.472e-01   -8.038e+00   -5.788e-02   -6.827e-01   7.236e-01   3.954e-01
423   0.780000   25.000000   -1.337e+01   -3.221e+00   -1.367e-01   -2.295e+00   -9.041e-01   -3.748e+00   1.203e+01   -2.715e-01   -2.218e+00   -0.000e+00   -1.934e-01   -5.437e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.158e+00  5.174e-01   -8.426e-01   -9.334e+00   -6.818e-02   -8.280e-01   8.335e-01   4.298e-01
444   0.820000   25.000000   -1.412e+01   -3.720e+00   -1.373e-01   -2.535e+00   -1.069e+00   -4.336e+00   1.281e+01   -2.956e-01   -2.343e+00   -0.000e+00   -1.972e-01   -6.005e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.349e+00  6.038e-01   -9.081e-01   -1.074e+01   -7.680e-02   -9.956e-01   9.256e-01   4.690e-01
465   0.860000   25.000000   -1.490e+01   -4.275e+00   -1.258e-01   -2.739e+00   -1.243e+00   -4.997e+00   1.343e+01   -3.130e-01   -2.471e+00   -0.000e+00   -1.833e-01   -6.488e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.488e+00  6.881e-01   -8.904e-01   -1.199e+01   -7.714e-02   -1.139e+00   9.111e-01   5.007e-01
486   0.900000   25.000000   -1.580e+01   -5.043e+00   -1.081e-01   -2.999e+00   -1.482e+00   -5.907e+00   1.411e+01   -3.342e-01   -2.622e+00   -0.000e+00   -1.596e-01   -7.106e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.656e+00  7.994e-01   -8.223e-01   -1.358e+01   -7.355e-02   -1.332e+00   8.469e-01   5.418e-01
507   0.940000   25.000000   -1.659e+01   -5.987e+00   -8.721e-02   -3.252e+00   -1.800e+00   -7.019e+00   1.503e+01   -3.591e-01   -2.753e+00   -0.000e+00   -1.304e-01   -7.704e-01   -0.000e+00   -0.000e+00   0.000e+00   -2.854e+00  9.101e-01   -7.052e-01   -1.533e+01   -6.513e-02   -1.552e+00   7.432e-01   5.828e-01
528   0.980000   25.000000   -1.764e+01   -7.196e+00   -7.396e-02   -3.460e+00   -2.184e+00   -8.451e+00   1.601e+01   -3.842e-01   -2.926e+00   -0.000e+00   -1.120e-01   -8.196e-01   -0.000e+00   -0.000e+00   0.000e+00   -3.054e+00  1.029e+00   -6.438e-01   -1.743e+01   -5.951e-02   -1.766e+00   6.830e-01   6.196e-01
549   1.020000   25.000000   -2.307e+01   -1.034e+01   -6.599e-02   -4.518e+00   -3.126e+00   -1.224e+01   1.922e+01   -4.855e-01   -3.828e+00   -0.000e+00   -1.013e-01   -1.070e+00   -0.000e+00   -0.000e+00   0.000e+00   -3.859e+00  1.758e+00   -7.619e-01   -2.881e+01   -7.031e-02   -2.915e+00   7.808e-01   8.231e-01
570   1.060000   25.000000   -7.838e+01   -3.959e+01   -2.473e-01   -1.579e+01   -1.183e+01   -4.735e+01   5.705e+01   -1.596e+00   -1.300e+01   -0.000e+00   -3.841e-01   -3.741e+00   -0.000e+00   -0.000e+00   0.000e+00   -1.268e+01  2.087e+01   -9.816e+00   -3.218e+02   -9.318e-01   -3.349e+01   9.733e+00   2.958e+00
591   1.100000   25.000000   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   nan   0.000e+00   0.000e+00   0.000e+00   0.000e+00   nan  0.000e+00   nan   nan   nan   nan   nan   nan
612   1.140000   25.000000   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   nan   0.000e+00   0.000e+00   0.000e+00   0.000e+00   nan  0.000e+00   nan   nan   nan   nan   nan   nan
633   1.180000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
25   0.020000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
46   0.060000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
67   0.100000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
88   0.140000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
109   0.180000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
130   0.220000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
151   0.260000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
172   0.300000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
193   0.340000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
214   0.380000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
235   0.420000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
256   0.460000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan  nan   nan   nan   nan   nan   nan   nan
277   0.500000   35.000000   -8.491e+00   -1.306e+00   5.795e-02   -1.467e+00   -3.144e-01   -1.503e+00   7.380e+00   -1.424e-01   -1.409e+00   -0.000e+00   7.515e-02   -3.475e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.132e+00  2.100e-01   2.080e-01   -3.110e+00   1.693e-02   -2.775e-01   -1.699e-01   5.189e-01
298   0.540000   35.000000   -8.377e+00   -1.505e+00   9.075e-02   -1.549e+00   -3.734e-01   -1.735e+00   7.168e+00   -1.415e-01   -1.390e+00   -0.000e+00   1.202e-01   -3.670e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.125e+00  2.189e-01   3.281e-01   -3.049e+00   2.860e-02   -2.913e-01   -2.699e-01   5.576e-01
319   0.580000   35.000000   -8.371e+00   -1.863e+00   1.106e-01   -1.604e+00   -4.762e-01   -2.151e+00   7.145e+00   -1.430e-01   -1.389e+00   -0.000e+00   1.487e-01   -3.801e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.137e+00  2.265e-01   4.057e-01   -3.079e+00   3.664e-02   -3.048e-01   -3.375e-01   5.784e-01
340   0.620000   35.000000   -8.537e+00   -2.292e+00   1.402e-01   -1.730e+00   -5.976e-01   -2.652e+00   7.116e+00   -1.468e-01   -1.416e+00   -0.000e+00   1.914e-01   -4.098e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.167e+00  2.490e-01   5.327e-01   -3.223e+00   5.086e-02   -3.374e-01   -4.461e-01   6.304e-01
361   0.660000   35.000000   -8.801e+00   -2.696e+00   1.684e-01   -1.876e+00   -7.139e-01   -3.127e+00   7.214e+00   -1.517e-01   -1.460e+00   -0.000e+00   2.336e-01   -4.444e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.206e+00  2.784e-01   6.702e-01   -3.434e+00   6.731e-02   -3.781e-01   -5.626e-01   6.920e-01
382   0.700000   35.000000   -8.995e+00   -3.136e+00   2.001e-01   -2.022e+00   -8.549e-01   -3.643e+00   7.357e+00   -1.585e-01   -1.492e+00   -0.000e+00   2.827e-01   -4.790e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.260e+00  3.068e-01   8.290e-01   -3.667e+00   8.781e-02   -4.258e-01   -7.113e-01   7.366e-01
403   0.740000   35.000000   -9.236e+00   -3.511e+00   2.281e-01   -2.169e+00   -9.746e-01   -4.094e+00   7.443e+00   -1.649e-01   -1.532e+00   -0.000e+00   3.291e-01   -5.139e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.311e+00  3.379e-01   9.909e-01   -3.917e+00   1.097e-01   -4.753e-01   -8.616e-01   7.888e-01
424   0.780000   35.000000   -9.597e+00   -3.956e+00   2.637e-01   -2.369e+00   -1.120e+00   -4.629e+00   7.615e+00   -1.738e-01   -1.592e+00   -0.000e+00   3.889e-01   -5.611e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.381e+00  3.834e-01   1.217e+00   -4.290e+00   1.415e-01   -5.470e-01   -1.073e+00   8.606e-01
445   0.820000   35.000000   -9.941e+00   -4.394e+00   3.042e-01   -2.579e+00   -1.275e+00   -5.157e+00   7.838e+00   -1.836e-01   -1.649e+00   -0.000e+00   4.584e-01   -6.111e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.459e+00  4.325e-01   1.485e+00   -4.694e+00   1.816e-01   -6.293e-01   -1.336e+00   9.341e-01
466   0.860000   35.000000   -1.026e+01   -4.812e+00   3.415e-01   -2.767e+00   -1.415e+00   -5.671e+00   7.941e+00   -1.901e-01   -1.701e+00   -0.000e+00   5.255e-01   -6.556e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.511e+00  4.787e-01   1.757e+00   -5.015e+00   2.234e-01   -6.990e-01   -1.586e+00   1.021e+00
487   0.900000   35.000000   -1.071e+01   -5.341e+00   3.936e-01   -3.036e+00   -1.595e+00   -6.320e+00   8.113e+00   -2.003e-01   -1.777e+00   -0.000e+00   6.179e-01   -7.191e-01   -0.000e+00   -0.000e+00   0.000e+00   -1.592e+00  5.482e-01   2.157e+00   -5.517e+00   2.881e-01   -8.079e-01   -1.965e+00   1.137e+00
