#This table containes the kinematics derivatives, where ds_dkin is the derivative of the cross section
#with respect to the kinematic variable in units of %/mrad or %/MeV
#There are also the relative systematic errors of individual kinematic variables, and the total error added in quadrature
#to see which is the dominant source of the systematics errors
#!ib[i,0]/  pm_bin[f,1]/   thnq_bin[f,2]/   ds_dthe[f,3]/   ds_dphe[f,4]/   ds_def[f,5]/   ds_dthp[f,6]/   ds_dphp[f,7]/  ds_dthb[f,8]/   ds_dphb[f,9]/    ds_dE[f,10]/    sig_the[f,11]/   sig_phe[f,12]/   sig_ef[f,13]/   sig_thp[f,14]/   sig_php[f,15]/  sig_thb[f,16]/   sig_phb[f,17]/    sig_E[f,18]/    sig_tot[f,19]/ 
379   0.700000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
400   0.740000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
421   0.780000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
442   0.820000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
463   0.860000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
484   0.900000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
505   0.940000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
526   0.980000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
547   1.020000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
568   1.060000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
589   1.100000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
610   1.140000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
631   1.180000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
23   0.020000   15.000000   -2.868e+01   -1.387e+01   -1.825e+00   3.279e-01   -3.917e+00   -1.808e+01   2.578e+01   -6.797e-01   2.868e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.868e+01
44   0.060000   15.000000   -3.013e+01   -1.280e+01   -2.071e+00   7.718e-02   -4.067e+00   -1.626e+01   3.791e+01   -7.920e-01   3.013e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   3.013e+01
65   0.100000   15.000000   -2.763e+01   -1.077e+01   -1.920e+00   4.469e-01   -3.564e+00   -1.357e+01   3.682e+01   -7.337e-01   2.763e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.763e+01
86   0.140000   15.000000   -2.557e+01   -9.110e+00   -1.856e+00   9.104e-01   -3.130e+00   -1.144e+01   3.492e+01   -7.047e-01   2.557e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.557e+01
107   0.180000   15.000000   -2.453e+01   -7.609e+00   -1.885e+00   1.581e+00   -2.626e+00   -9.517e+00   3.462e+01   -6.878e-01   2.453e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.453e+01
128   0.220000   15.000000   -2.421e+01   -5.679e+00   -1.997e+00   2.373e+00   -1.906e+00   -7.087e+00   3.517e+01   -6.852e-01   2.421e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.421e+01
149   0.260000   15.000000   -2.306e+01   -3.462e+00   -2.009e+00   2.730e+00   -1.110e+00   -4.335e+00   3.440e+01   -6.642e-01   2.306e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.306e+01
170   0.300000   15.000000   -2.094e+01   -2.180e+00   -1.822e+00   2.624e+00   -6.715e-01   -2.731e+00   3.124e+01   -5.937e-01   2.094e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.094e+01
191   0.340000   15.000000   -1.831e+01   -1.867e+00   -1.576e+00   2.339e+00   -5.735e-01   -2.315e+00   2.641e+01   -5.126e-01   1.831e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.831e+01
212   0.380000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
233   0.420000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
254   0.460000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
275   0.500000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
296   0.540000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
317   0.580000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
338   0.620000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
359   0.660000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
380   0.700000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
401   0.740000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
422   0.780000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
443   0.820000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
464   0.860000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
485   0.900000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
506   0.940000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
527   0.980000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
548   1.020000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
569   1.060000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
590   1.100000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
611   1.140000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
632   1.180000   15.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
24   0.020000   25.000000   -2.648e+01   -1.787e+01   -1.447e+00   -1.053e+00   -5.798e+00   -2.273e+01   2.083e+01   -6.042e-01   2.648e+01   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.648e+01
45   0.060000   25.000000   -2.838e+01   -1.806e+01   -1.787e+00   -3.472e-01   -6.194e+00   -2.238e+01   3.289e+01   -7.115e-01   2.838e+01   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.838e+01
66   0.100000   25.000000   -2.673e+01   -1.552e+01   -1.867e+00   8.113e-01   -5.399e+00   -1.917e+01   3.540e+01   -7.031e-01   2.673e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.673e+01
87   0.140000   25.000000   -2.515e+01   -1.318e+01   -1.892e+00   1.611e+00   -4.676e+00   -1.626e+01   3.508e+01   -6.886e-01   2.515e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.515e+01
108   0.180000   25.000000   -2.441e+01   -1.084e+01   -1.979e+00   2.508e+00   -3.814e+00   -1.339e+01   3.572e+01   -6.828e-01   2.441e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.441e+01
129   0.220000   25.000000   -2.410e+01   -8.142e+00   -2.088e+00   3.300e+00   -2.782e+00   -1.006e+01   3.625e+01   -6.816e-01   2.410e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.410e+01
150   0.260000   25.000000   -2.251e+01   -6.257e+00   -2.027e+00   3.425e+00   -2.114e+00   -7.701e+00   3.461e+01   -6.477e-01   2.251e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.251e+01
171   0.300000   25.000000   -2.040e+01   -4.650e+00   -1.814e+00   3.195e+00   -1.538e+00   -5.716e+00   3.093e+01   -5.759e-01   2.040e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.040e+01
192   0.340000   25.000000   -1.803e+01   -3.866e+00   -1.568e+00   2.846e+00   -1.269e+00   -4.740e+00   2.654e+01   -5.019e-01   1.803e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.803e+01
213   0.380000   25.000000   -1.585e+01   -3.406e+00   -1.357e+00   2.538e+00   -1.122e+00   -4.159e+00   2.288e+01   -4.409e-01   1.585e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.585e+01
234   0.420000   25.000000   -1.447e+01   -2.424e+00   -1.219e+00   2.425e+00   -7.895e-01   -2.967e+00   2.059e+01   -3.994e-01   1.447e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.447e+01
255   0.460000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
276   0.500000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
297   0.540000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
318   0.580000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
339   0.620000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
360   0.660000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
381   0.700000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
402   0.740000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
423   0.780000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
444   0.820000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
465   0.860000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
486   0.900000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
507   0.940000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
528   0.980000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
549   1.020000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
570   1.060000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
591   1.100000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
612   1.140000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
633   1.180000   25.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
25   0.020000   35.000000   -2.570e+01   -2.205e+01   -1.359e+00   -7.764e-01   -7.471e+00   -2.749e+01   2.028e+01   -5.647e-01   2.570e+01   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.570e+01
46   0.060000   35.000000   -2.628e+01   -2.244e+01   -1.582e+00   -3.583e-01   -8.096e+00   -2.737e+01   2.847e+01   -6.442e-01   2.628e+01   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.628e+01
67   0.100000   35.000000   -2.445e+01   -1.956e+01   -1.580e+00   5.296e-01   -7.024e+00   -2.385e+01   3.017e+01   -6.183e-01   2.445e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.445e+01
88   0.140000   35.000000   -2.368e+01   -1.668e+01   -1.758e+00   1.879e+00   -6.033e+00   -2.035e+01   3.253e+01   -6.326e-01   2.368e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.368e+01
109   0.180000   35.000000   -2.332e+01   -1.387e+01   -1.906e+00   3.002e+00   -4.924e+00   -1.695e+01   3.418e+01   -6.396e-01   2.332e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.332e+01
130   0.220000   35.000000   -2.290e+01   -1.125e+01   -1.980e+00   3.666e+00   -3.925e+00   -1.376e+01   3.438e+01   -6.358e-01   2.290e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.290e+01
151   0.260000   35.000000   -2.127e+01   -9.133e+00   -1.904e+00   3.751e+00   -3.166e+00   -1.114e+01   3.272e+01   -6.029e-01   2.127e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.127e+01
172   0.300000   35.000000   -1.906e+01   -7.540e+00   -1.662e+00   3.345e+00   -2.590e+00   -9.196e+00   2.859e+01   -5.321e-01   1.906e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.906e+01
193   0.340000   35.000000   -1.671e+01   -6.303e+00   -1.418e+00   2.916e+00   -2.150e+00   -7.672e+00   2.433e+01   -4.618e-01   1.671e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.671e+01
214   0.380000   35.000000   -1.434e+01   -5.360e+00   -1.160e+00   2.453e+00   -1.827e+00   -6.509e+00   2.053e+01   -3.901e-01   1.434e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.434e+01
235   0.420000   35.000000   -1.261e+01   -4.977e+00   -9.498e-01   2.043e+00   -1.693e+00   -6.039e+00   1.722e+01   -3.341e-01   1.261e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.261e+01
256   0.460000   35.000000   -1.148e+01   -5.108e+00   -7.941e-01   1.702e+00   -1.731e+00   -6.194e+00   1.491e+01   -2.960e-01   1.148e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.148e+01
277   0.500000   35.000000   -1.095e+01   -5.184e+00   -7.247e-01   1.558e+00   -1.766e+00   -6.285e+00   1.389e+01   -2.808e-01   1.095e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.095e+01
298   0.540000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
319   0.580000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
340   0.620000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
361   0.660000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
382   0.700000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
403   0.740000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
424   0.780000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
445   0.820000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
466   0.860000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
487   0.900000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
508   0.940000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
529   0.980000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
550   1.020000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
571   1.060000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
592   1.100000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
613   1.140000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
634   1.180000   35.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
26   0.020000   45.000000   -2.057e+01   -2.433e+01   -6.728e-01   -2.531e+00   -8.629e+00   -3.016e+01   9.179e+00   -3.956e-01   2.057e+01   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.057e+01
47   0.060000   45.000000   -2.095e+01   -2.528e+01   -7.918e-01   -2.260e+00   -9.442e+00   -3.060e+01   1.640e+01   -4.502e-01   2.095e+01   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.095e+01
68   0.100000   45.000000   -2.080e+01   -2.263e+01   -1.099e+00   -3.171e-01   -8.348e+00   -2.738e+01   2.224e+01   -4.905e-01   2.080e+01   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.080e+01
89   0.140000   45.000000   -2.087e+01   -1.968e+01   -1.404e+00   1.467e+00   -7.248e+00   -2.382e+01   2.664e+01   -5.318e-01   2.087e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.087e+01
110   0.180000   45.000000   -2.072e+01   -1.690e+01   -1.568e+00   2.623e+00   -6.102e+00   -2.049e+01   2.869e+01   -5.441e-01   2.072e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.072e+01
131   0.220000   45.000000   -2.011e+01   -1.477e+01   -1.588e+00   3.074e+00   -5.263e+00   -1.792e+01   2.846e+01   -5.339e-01   2.011e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.011e+01
152   0.260000   45.000000   -1.847e+01   -1.272e+01   -1.481e+00   3.044e+00   -4.533e+00   -1.542e+01   2.667e+01   -4.989e-01   1.847e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.847e+01
173   0.300000   45.000000   -1.638e+01   -1.090e+01   -1.256e+00   2.636e+00   -3.857e+00   -1.323e+01   2.299e+01   -4.361e-01   1.638e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.638e+01
194   0.340000   45.000000   -1.419e+01   -9.196e+00   -1.030e+00   2.214e+00   -3.238e+00   -1.114e+01   1.930e+01   -3.722e-01   1.419e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.419e+01
215   0.380000   45.000000   -1.207e+01   -7.620e+00   -8.134e-01   1.796e+00   -2.672e+00   -9.248e+00   1.617e+01   -3.109e-01   1.207e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.207e+01
236   0.420000   45.000000   -1.072e+01   -6.635e+00   -6.665e-01   1.502e+00   -2.303e+00   -8.062e+00   1.377e+01   -2.698e-01   1.072e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   1.072e+01
257   0.460000   45.000000   -9.901e+00   -6.176e+00   -5.736e-01   1.311e+00   -2.143e+00   -7.494e+00   1.236e+01   -2.463e-01   9.901e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   9.901e+00
278   0.500000   45.000000   -9.368e+00   -6.005e+00   -5.019e-01   1.164e+00   -2.078e+00   -7.311e+00   1.155e+01   -2.301e-01   9.368e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   9.368e+00
299   0.540000   45.000000   -9.190e+00   -6.119e+00   -4.613e-01   1.079e+00   -2.114e+00   -7.460e+00   1.111e+01   -2.240e-01   9.190e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   9.190e+00
320   0.580000   45.000000   -9.167e+00   -6.366e+00   -4.372e-01   1.026e+00   -2.231e+00   -7.741e+00   1.102e+01   -2.246e-01   9.167e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   9.167e+00
341   0.620000   45.000000   -9.104e+00   -6.641e+00   -4.014e-01   9.500e-01   -2.330e+00   -8.119e+00   1.088e+01   -2.217e-01   9.104e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   9.104e+00
362   0.660000   45.000000   -9.259e+00   -7.024e+00   -3.821e-01   8.812e-01   -2.472e+00   -8.606e+00   1.091e+01   -2.248e-01   9.259e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   9.259e+00
383   0.700000   45.000000   -9.465e+00   -7.511e+00   -3.578e-01   7.546e-01   -2.668e+00   -9.213e+00   1.094e+01   -2.302e-01   9.465e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   9.465e+00
404   0.740000   45.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
