#This table containes the kinematics derivatives, where ds_dkin is the derivative of the cross section
#with respect to the kinematic variable in units of %/mrad or %/MeV
#There are also the relative systematic errors of individual kinematic variables, and the total error added in quadrature
#to see which is the dominant source of the systematics errors
#!ib[i,0]/  pm_bin[f,1]/   thnq_bin[f,2]/   ds_dthe[f,3]/   ds_dphe[f,4]/   ds_def[f,5]/   ds_dthp[f,6]/   ds_dphp[f,7]/  ds_dthb[f,8]/   ds_dphb[f,9]/    ds_dE[f,10]/    sig_the[f,11]/   sig_phe[f,12]/   sig_ef[f,13]/   sig_thp[f,14]/   sig_php[f,15]/  sig_thb[f,16]/   sig_phb[f,17]/    sig_E[f,18]/    sig_tot[f,19]/ 
22   0.020000   5.000000   -2.868e+01   -8.445e+00   -1.638e+00   -9.431e-01   -1.945e+00   -1.173e+01   2.610e+01   -6.713e-01   2.868e+01   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.868e+01
43   0.060000   5.000000   -3.091e+01   -7.219e+00   -2.132e+00   7.924e-02   -1.879e+00   -9.643e+00   3.963e+01   -8.085e-01   3.091e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   3.091e+01
64   0.100000   5.000000   -2.807e+01   -5.775e+00   -1.952e+00   2.514e-01   -1.701e+00   -7.546e+00   3.758e+01   -7.542e-01   2.807e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.807e+01
85   0.140000   5.000000   -2.549e+01   -4.969e+00   -1.777e+00   3.402e-01   -1.574e+00   -6.423e+00   3.391e+01   -7.014e-01   2.549e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.549e+01
106   0.180000   5.000000   -2.412e+01   -4.394e+00   -1.724e+00   6.171e-01   -1.422e+00   -5.618e+00   3.244e+01   -6.691e-01   2.412e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.412e+01
127   0.220000   5.000000   -2.337e+01   -3.699e+00   -1.755e+00   1.118e+00   -1.203e+00   -4.705e+00   3.190e+01   -6.573e-01   2.337e+01   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   -0.000e+00   0.000e+00   -0.000e+00   2.337e+01
148   0.260000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
169   0.300000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
190   0.340000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
211   0.380000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
232   0.420000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
253   0.460000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
274   0.500000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
295   0.540000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
316   0.580000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
337   0.620000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
358   0.660000   5.000000   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
