#! Run[i,0]/    dataY[f,1]/     dataY_err[f,2]/     simcY[f,3]/     simcY_err[f,4]/
3288   895.352877    2.580879    978.576116    6.328165
3371   367.562678    2.793075    404.217557    2.565022
3374   3034.361714    8.490125    3459.023297    22.395511
3377   7950.694453    16.494613    9738.528370    62.767821
