#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2093     60.000000     59.875315      2276.004592     9.468890     1089.801495     6.543024     860.004999     5.836212     0.981169     0.981567     25.944587     28430.144911    332.293091    139.281268     80.727379     3.004775    0.991856    59.781166    2279.589050     9.483802     1091.517823     6.553329     861.359413     5.845403     0.981169     0.981567     25.903792    28430.144911    332.293091     139.281268     80.727379    3.004775    0.991856
2094     50.000000     49.928071      2285.079487     8.423090     1096.543272     5.803522     861.145851     5.166018     0.984934     0.986412     33.054868     23637.634197    276.927826    117.090897     68.156509     3.001285    0.991111    49.897993    2286.456947     8.428168     1097.204288     5.807021     861.664958     5.169132     0.984934     0.986412     33.034954    23637.634197    276.927826     117.090897     68.156509    3.001285    0.991111
2095     35.000000     34.957705      2281.159025     6.407283     1097.315660     4.387648     864.220685     3.910821     0.988595     0.989493     57.656655     16792.825243    193.742765    82.744704     48.712623     3.000619    0.991336    34.958195    2281.127083     6.407194     1097.300311     4.387587     864.208583     3.910766     0.988595     0.989493     57.657463    16792.825243    193.742765     82.744704     48.712623    3.000619    0.991336
