Run,PS1_factor,PS1_CPU_LT,PS1_Total_LT,hT1_rate,edtm_rate,phy_rate
2173,1,97.6692,0.0,0.143,0.0,0.143
2174,1,81.193,0.0,1.51,0.0,1.51
2175,1,74.6635,0.0,2.23,0.0,2.23
2177,1,67.5475,0.0,3.183,0.0,3.183
2178,1,61.2218,0.0,4.178,0.0,4.178
2180,1,56.2256,0.0,5.145,0.0,5.145
2187,1,38.5323,0.0,10.562,0.0,10.562
2188,1,98.6114,0.0,1.11,0.0,1.11
2189,1,94.4513,0.0,2.429,0.0,2.429
2190,1,85.274,0.0,4.325,0.0,4.325
2191,1,58.2622,0.0,9.812,0.0,9.812
2192,1,99.9398,0.0,1.109,0.0,1.109
2193,1,99.3154,0.0,2.114,0.0,2.114
2194,1,91.2958,0.0,5.021,0.0,5.021
2195,1,56.8409,0.0,10.826,0.0,10.826
2201,1,99.9688,0.0,1.401,0.0,1.401
2202,1,99.8858,0.0,2.057,0.0,2.057
2203,1,89.7442,0.0,6.104,0.0,6.104
2204,1,58.4887,0.0,10.583,0.0,10.583
2206,1,99.9895,0.0,1.193,0.0,1.193
2207,1,99.9684,0.0,2.149,0.0,2.149
2208,1,95.9716,0.0,5.44,0.0,5.44
2209,1,58.582,0.0,10.703,0.0,10.703
2213,1,99.9968,0.0,1.119,0.0,1.119
2214,1,99.9805,0.0,2.028,0.0,2.028
2215,1,97.4321,0.0,5.426,0.0,5.426
2216,1,63.8565,0.0,10.111,0.0,10.111
2219,1,99.9907,0.0,1.301,0.0,1.301
2220,1,99.9817,0.0,2.224,0.0,2.224
2221,1,97.1544,0.0,5.617,0.0,5.617
2222,1,64.6175,0.0,9.957,0.0,9.957
2225,1,99.9898,0.0,1.296,0.0,1.296
2226,1,99.9888,0.0,2.037,0.0,2.037
2227,1,97.9831,0.0,5.51,0.0,5.51
2228,1,59.9483,0.0,10.621,0.0,10.621
2252,1,99.9875,0.0,1.32,0.0,1.32
2253,1,99.9802,0.0,2.212,0.0,2.212
2254,1,98.9517,0.0,5.387,0.0,5.387
2255,1,62.8148,0.0,10.056,0.0,10.056
2256,1,99.9865,0.0,1.282,0.0,1.282
2257,1,99.9785,0.0,2.328,0.0,2.328
2258,1,99.7443,0.0,5.074,0.0,5.074
2259,1,62.5777,0.0,10.203,0.0,10.203
2263,1,99.9923,0.0,1.214,0.0,1.214
2264,1,99.9812,0.0,2.182,0.0,2.182
2265,1,99.5191,0.0,5.249,0.0,5.249
