#! Run[i,0]/   Ydata[f,0]/  Ydata_err[f,1]/   Ysimc[f,2]/   Ysimc_err[f,3]/   R[f,4]/   R_err[f,5]/
3288   934.922   2.74644    958.287   1.38851    0.975619    0.00319565
3371   371.475   2.92936    392.418   0.565775    0.946631    0.00758865
3374   3110.92   8.96533    3342.25   4.85345    0.930785    0.00300372
3377   7346.72   16.4464    9074.86   13.3799    0.809569    0.00217006
