#theta_nq = 15 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03223  4.08370   3.73180   5.53200  27.92140   28.46410
0.06248  5.28700   3.73180   6.47140  8.42130   10.62060
0.09853  5.20570   3.73180   6.40510  6.36620   9.03070
0.13669  5.18500   3.73180   6.38830  8.78820   10.86480
0.17523  5.34030   3.73180   6.51500  17.23010   18.42070
0.21438  5.58910   3.73180   6.72050  33.63420   34.29910
0.25299  5.50780   3.73180   6.65300  71.06320   71.37390
0.29149  nan   3.73180   nan  nan   nan
0.32604  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
0.43084  nan   3.73180   nan  nan   nan
0.46440  nan   3.73180   nan  nan   nan
0.50080  0.54690   3.73180   3.77170  100.44040   100.51110
0.54056  0.85410   3.73180   3.82830  71.07760   71.18060
0.58030  nan   3.73180   nan  nan   nan
0.61963  nan   3.73180   nan  nan   nan
0.66018  nan   3.73180   nan  nan   nan
0.69967  1.04750   3.73180   3.87600  100.08940   100.16450
0.73815  nan   3.73180   nan  nan   nan
0.77476  nan   3.73180   nan  nan   nan
0.81650  nan   3.73180   nan  nan   nan
0.85270  nan   3.73180   nan  nan   nan
0.88304  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
