#theta_nq = 65 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
9  0.0639  0.0847
0.1777  0.3754  5.4225  5.4355  0.0985  0.1125
0.2178  0.4586  5.4225  5.4419  0.1733  0.1817
0.2589  0.6714  5.4225  5.4639  0.2419  0.2480
0.2994  0.6594  5.4225  5.4625  0.3238  0.3284
0.3398  0.5601  5.4225  5.4514  0.3342  0.3386
0.3799  0.4479  5.4225  5.4410  0.4087  0.4124
0.4197  0.3596  5.4225  5.4344  nan  nan
0.4596  0.2926  5.4225  5.4304  nan  nan
0.4991  0.2462  5.4225  5.4281  nan  nan
0.5384  0.2191  5.4225  5.4270  nan  nan
0.5777  0.2103  5.4225  5.4266  nan  nan
0.6162  0.0000  0.0000  0.0000  nan  nan
0.6547  0.0000  0.0000  0.0000  nan  nan
0.6939  0.0000  0.0000  0.0000  nan  nan
0.7307  0.0000  0.0000  0.0000  nan  nan
0.7617  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
