#theta_nq = 95 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
9  0.1795  0.1974
0.1752  5.2266  5.4225  7.5313  0.2677  0.2781
0.2136  4.5481  5.4225  7.0774  0.4609  0.4663
0.2514  0.0000  0.0000  0.0000  nan  nan
0.2875  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
nan  0.0000  0.0000  0.0000  nan  nan
