#theta_nq = 35 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03181  2.52470   3.73180   4.50560  20.91120   21.39110
0.06217  3.36320   3.73180   5.02370  6.31770   8.07160
0.09914  4.09330   3.73180   5.53910  4.60290   7.20200
0.13875  4.75780   3.73180   6.04670  5.77260   8.35980
0.17780  5.22480   3.73180   6.42060  10.12420   11.98850
0.21766  5.45510   3.73180   6.60940  15.71950   17.05250
0.25754  5.24670   3.73180   6.43850  28.92300   29.63090
0.29743  4.60010   3.73180   5.92340  57.76450   58.06740
0.33737  3.88910   3.73180   5.39000  70.74080   70.94580
0.38766  3.17300   3.73180   4.89840  100.03350   100.15330
0.42406  nan   3.73180   nan  nan   nan
0.46038  0.71840   3.73180   3.80030  45.41050   45.56930
0.50522  0.70730   3.73180   3.79820  28.20000   28.45460
0.54507  0.71640   3.73180   3.79990  23.09600   23.40650
0.58242  1.09220   3.73180   3.88830  26.65160   26.93380
0.62089  1.32830   3.73180   3.96110  18.75660   19.17030
0.66017  1.26030   3.73180   3.93890  21.68250   22.03740
0.69960  1.52340   3.73180   4.03080  18.34960   18.78710
0.73908  1.63010   3.73180   4.07230  19.12810   19.55680
0.77892  1.63400   3.73180   4.07380  18.11210   18.56460
0.81867  1.90520   3.73180   4.19000  23.61390   23.98270
0.85839  2.05950   3.73180   4.26240  22.31020   22.71370
0.89810  1.97100   3.73180   4.22030  31.34140   31.62420
0.93788  2.17080   3.73180   4.31730  35.39430   35.65670
0.97768  1.41830   3.73180   3.99220  50.01240   50.17150
1.01733  2.85320   3.73180   4.69760  61.15320   61.33340
1.05688  12.54340   3.73180   13.08670  53.71300   55.28430
1.09702  nan   3.73180   nan  nan   nan
1.13649  0.00000   3.73180   3.73180  51.59500   51.72980
1.17206  0.00000   3.73180   3.73180  100.02830   100.09780
