#theta_nq = 75 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03205  4.72450   3.73180   6.02060  29.29890   29.91110
0.06131  5.59510   3.73180   6.72540  8.83210   11.10120
0.09788  4.58190   3.73180   5.90930  6.34130   8.66790
0.13715  3.55120   3.73180   5.15140  7.43030   9.04140
0.17692  2.57880   3.73180   4.53610  10.83350   11.74490
0.21724  1.75310   3.73180   4.12310  17.60780   18.08410
0.25809  1.22950   3.73180   3.92910  22.42440   22.76600
0.29969  0.91740   3.73180   3.84290  35.02880   35.23890
0.33965  0.72300   3.73180   3.80120  38.01270   38.20230
0.37969  0.58390   3.73180   3.77720  35.62310   35.82280
0.41934  0.49820   3.73180   3.76490  70.73840   70.83850
0.45863  0.46820   3.73180   3.76110  100.02480   100.09550
0.49812  0.45430   3.73180   3.75930  57.79390   57.91600
0.53763  0.48220   3.73180   3.76280  100.05370   100.12450
0.57688  0.54850   3.73180   3.77190  100.09230   100.16330
0.61586  nan   3.73180   nan  nan   nan
0.65361  nan   3.73180   nan  nan   nan
0.69332  nan   3.73180   nan  nan   nan
0.73493  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
nan  nan   3.73180   nan  nan   nan
