#theta_nq = 45 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
8  0.0564  0.0867
0.1784  4.2448  5.4225  6.8864  0.0857  0.1099
0.2183  4.3581  5.4225  6.9568  0.1675  0.1814
0.2578  4.1048  5.4225  6.8010  0.2431  0.2524
0.2979  3.4932  5.4225  6.4503  nan  nan
0.3380  2.8495  5.4225  6.1256  nan  nan
0.3783  2.2521  5.4225  5.8716  nan  nan
0.4265  0.8748  5.0582  5.1333  nan  nan
0.4635  1.8289  7.4155  7.6377  nan  nan
0.5015  1.2153  7.1568  7.2593  0.3986  0.4052
0.5463  1.2541  7.1568  7.2659  0.2586  0.2686
0.5827  1.5906  8.7531  8.8964  0.2256  0.2425
0.6210  1.6915  8.7864  8.9477  0.1920  0.2119
0.6594  2.3726  11.3264  11.5723  0.1955  0.2272
0.6970  2.5607  11.3264  11.6123  0.1385  0.1807
0.7398  2.7425  11.3264  11.6537  0.1645  0.2016
0.7794  2.9867  11.3264  11.7136  0.1502  0.1905
0.8191  3.2510  11.3264  11.7838  0.1546  0.1944
0.8589  3.4957  11.3264  11.8536  0.2051  0.2369
0.8986  3.8537  11.3264  11.9641  0.1745  0.2116
0.9383  3.8341  10.1343  10.8353  0.2314  0.2555
0.9782  4.1403  10.1147  10.9293  0.1968  0.2251
1.0180  6.4943  11.3264  13.0562  0.2522  0.2840
1.0577  21.7112  8.7531  23.4093  0.4374  0.4961
1.0975  0.0000  11.3264  11.3264  0.3304  0.3493
1.1371  0.0000  10.1318  10.1318  0.3662  0.3800
1.1730  0.0000  7.1475  7.1475  nan  nan
