#theta_nq = 25 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03215  3.15050   3.73180   4.88380  24.01160   24.50330
0.06256  4.60930   3.73180   5.93060  6.82260   9.03990
0.09921  4.88460   3.73180   6.14700  5.06420   7.96440
0.13785  5.20590   3.73180   6.40530  6.81620   9.35350
0.17685  5.58590   3.73180   6.71780  10.90560   12.80860
0.21664  5.80570   3.73180   6.90170  17.84470   19.13290
0.25638  5.62910   3.73180   6.75380  44.80380   45.31000
0.29613  4.92810   3.73180   6.18160  100.05210   100.24290
0.33470  nan   3.73180   nan  nan   nan
0.38644  nan   3.73180   nan  nan   nan
0.42848  nan   3.73180   nan  nan   nan
0.46337  0.28590   3.73180   3.74270  100.09750   100.16740
0.50791  0.39880   3.73180   3.75310  57.28460   57.40740
0.54391  0.40870   3.73180   3.75410  42.50960   42.67500
0.58139  0.54340   3.73180   3.77120  39.24360   39.42430
0.62026  0.75130   3.73180   3.80670  30.99590   31.22880
0.65945  0.62400   3.73180   3.78360  40.98840   41.16260
0.69914  0.78720   3.73180   3.81390  53.50010   53.63590
0.73868  0.72440   3.73180   3.80150  35.55420   35.75680
0.77812  0.74400   3.73180   3.80520  42.54770   42.71750
0.81752  0.66370   3.73180   3.79040  84.98570   85.07010
0.85706  0.50070   3.73180   3.76520  70.73560   70.83570
0.89633  0.54160   3.73180   3.77090  100.01900   100.09010
0.93577  0.82440   3.73180   3.82180  58.28440   58.40960
0.97340  nan   3.73180   nan  nan   nan
1.01571  nan   3.73180   nan  nan   nan
1.05485  nan   3.73180   nan  nan   nan
1.09380  nan   3.73180   nan  nan   nan
1.13226  nan   3.73180   nan  nan   nan
1.17066  nan   3.73180   nan  nan   nan
