pm_avg in GeV/c :: redXsec in fm^3 :: R = redXsec_HallA / redXsec_CD-Bonn_PWIA
Conv. factor: 1 fm^-1 = 0.1973 GeV
#!pm_avg[f,0]/   redXsec_HallA[f,1]/   redXsec_CD-Bonn_PWIA[f,2]/   R[f,3]/
0.02644  6.0050000000   6.2092295002   0.9671087209
0.05643  1.6410000000   2.1569136752   0.7608093077
0.09293  0.3140000000   0.4704816911   0.6674011038
0.14580  0.0484200000   0.0637904873   0.7590473448
0.17954  0.0168300000   0.0217332525   0.7743893839
0.21762  0.0056180000   0.0080494794   0.6979333350
0.25610  0.0024140000   0.0033574015   0.7190084319
0.30009  0.0008364000   0.0013696294   0.6106761411
0.34232  0.0004455000   0.0006641150   0.6708175153
0.38099  0.0003285000   0.0003684658   0.8915346466
0.41907  0.0001815000   0.0002322863   0.7813633562
0.45793  0.0001369000   0.0001437357   0.9524428107
0.49680  0.0001136000   0.0000929454   1.2222229735
0.53626  0.0000766600   0.0000623710   1.2290974505
